Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaliyah Portales;F;SBD;Single-ply;19.5;20-23;19-23;F-C;57.98;60;165;172.5;177.5;;177.5;90;95;-97.5;;95;160;167.5;-170;;167.5;440;3;498.55;503.81;445.36;83.45;Yes;USA;TX;USAPL;;2022-03-26;USA;IL;Lombard;Collegiate Nationals
Aaliyah Portales;F;SBD;Single-ply;18.5;18-19;19-23;F-C;59.6;63;162.5;172.5;-182.5;;172.5;87.5;95;100;;100;162.5;-170;170;;170;442.5;1;492.61;495.90;438.20;82.52;Yes;USA;;USAPL;;2021-12-04;USA;TX;;Collegiate Cup
Aaliyah Portales;F;SBD;Single-ply;18.5;18-19;19-23;F-C;60.8;63;160;172.5;-182.5;;172.5;90;95;-100;;95;162.5;177.5;-182.5;;177.5;445;1;489.22;491.07;433.81;82.01;Yes;USA;TX;USAPL;IPF;2021-04-08;USA;LA;Baton Rouge;Collegiate and Junior Nationals
Aaliyah Portales;F;SBD;Single-ply;18.5;18-19;19-23;F-C;60.5;63;140;152.5;160;;160;85;90;92.5;;92.5;162.5;177.5;-182.5;;177.5;430;2;474.19;476.33;420.82;79.47;Yes;USA;TX;USAPL;IPF;2021-02-14;USA;NE;;Midwest Collegiate Regionals
Aaliyah Portales;F;SBD;Raw;17.5;18-19;14-18;FR-C;61.5;63;120;127.5;132.5;;132.5;-70;72.5;80;;80;155;165;-172.5;;165;377.5;1;412.06;412.93;364.73;83.91;Yes;USA;TX;USAPL;IPF;2020-11-14;USA;NE;;Warrior Collegiate Open
Aaliyah Portales;F;SBD;Single-ply;17.5;18-19;14-18;Girls;51.71;51.9;;;;;170.1;;;;;88.45;;;;;158.76;417.3;1;510.63;522.47;463.23;85.31;Yes;USA;;THSWPA;;2020-03-02;USA;TX;Seagraves;Region 1 Division 3 Girls
Aaliyah Portales;F;SBD;Single-ply;17.5;18-19;14-18;Girls;51.89;51.9;;;;;174.63;;;;;92.99;;;;;151.95;419.57;1;512.17;523.91;464.44;85.57;Yes;USA;;THSWPA;;2020-02-20;USA;TX;San Angelo Lincoln Middle School;Lake View Invitational
Aaliyah Portales;F;SBD;Single-ply;17.5;18-19;14-18;Girls;53.16;56;;;;;172.37;;;;;88.45;;;;;147.42;408.23;1;490.07;500.28;443.11;81.90;Yes;USA;;THSWPA;;2020-02-15;USA;TX;Eldorado Gym;Eldorado Invitational
Aaliyah Portales;F;SBD;Single-ply;17.5;18-19;14-18;Girls;51.85;51.9;;;;;170.1;;;;;90.72;;;;;147.42;408.23;1;498.59;510.05;452.17;83.30;Yes;USA;;THSWPA;;2020-01-25;USA;TX;Reagan County Gym;Reagan County Classic
Aaliyah Portales;F;SBD;Single-ply;17.5;18-19;14-18;Girls;54.79;56;;;;;170.1;;;;;83.91;;;;;145.15;399.16;1;469.46;477.76;422.81;78.48;Yes;USA;;THSWPA;;2020-01-11;USA;TX;Ward County Event Center;Sandhills Invitational
