Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Butler;M;SBD;Single-ply;;;;Boys;50.71;51.7;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2019-03-08;USA;TX;Malakoff;Reg 3 Div 3 Regional Meet
Aaron Butler;M;SBD;Single-ply;;;;Boys;55.07;55.7;;;;;147.42;;;;;92.99;;;;;154.22;394.63;1;358.51;365.23;358.45;60.69;Yes;USA;;THSPA;;2019-02-21;USA;TX;Maud;Maud Last Chance Powerlifting Meet
Aaron Butler;M;SBD;Single-ply;;;;Boys;55.7;55.7;;;;;142.88;;;;;92.99;;;;;154.22;390.09;2;350.81;356.99;350.12;59.44;Yes;USA;;THSPA;;2019-02-16;USA;TX;Maud;Maud Powerlifting Invitational
Aaron Butler;M;SBD;Single-ply;;;;Boys;51.71;51.7;;;;;138.35;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2019-02-09;USA;TX;Honey Grove ISD;Iron Warrior Classic
Aaron Butler;M;SBD;Single-ply;;;;Boys;51.62;51.7;;;;;136.08;;;;;83.91;;;;;147.42;367.41;1;354.36;363.32;357.96;59.65;Yes;USA;;THSPA;;2019-01-12;USA;TX;Santo;Santo Invitational
Aaron Butler;M;SBD;Single-ply;;;;Boys;50.89;51.7;;;;;120.2;;;;;77.11;;;;;129.27;326.59;3;319.34;327.87;323.29;53.67;Yes;USA;;THSPA;;2018-03-03;USA;TX;Elkhart;Region 3 Division 3
Aaron Butler;M;SBD;Single-ply;;;;Boys;51.62;51.7;;;;;120.2;;;;;65.77;;;;;120.2;306.17;1;295.30;302.76;298.29;49.70;Yes;USA;;THSPA;;2018-02-22;USA;TX;Maud;Maud Last Chance Boys Powerlifting Meet
Aaron Butler;M;SBD;Single-ply;;;;Boys;51.26;51.7;;;;;120.2;;;;;65.77;;;;;120.2;306.17;2;297.29;305.01;300.63;50.00;Yes;USA;;THSPA;;2018-02-17;USA;TX;Commerce;Commerce Raising the Bar Invitational
Aaron Butler;M;SBD;Single-ply;;;;Boys;54.57;55.7;;;;;111.13;;;;;70.31;;;;;124.74;306.17;2;280.44;285.95;280.80;47.44;Yes;USA;;THSPA;;2018-01-27;USA;TX;Honey Grove ISD;Iron Warrior Classic
Aaron Butler;M;SBD;Single-ply;;;;Boys;53.98;55.7;;;;;111.13;;;;;65.77;;;;;111.13;288.03;7;266.44;271.97;267.24;45.03;Yes;USA;;THSPA;;2018-01-20;USA;TX;Sadler;S&S Rams Meet
Aaron Butler;M;SBD;Single-ply;;;;Boys;98.52;99.7;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2010-01-16;USA;TX;Van Alstyne;Van Alstyne Meet
Aaron Butler;M;B;Raw;;;;teen;109.32;113.5;;;;;;147.5;162.5;176;182.5;176;;;;;;176;1;104.48;103.77;99.16;77.37;Yes;USA;OH;NASA;;2003-01-11;USA;OH;West Liberty;Ohio State Bench Press Championships
