Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Evans;M;SBD;Raw;40.5;40-44;40-49;MR-M1a;86.35;90;202.5;-210;220;;220;142.5;147.5;150;;150;220;240;242.5;;242.5;612.5;1;404.63;399.69;383.78;83.12;Yes;USA;NC;USAPL;;2022-06-18;USA;NC;;North Carolina State Championships
Aaron Evans;M;SBD;Raw;40.5;40-44;40-49;MR-O;86.35;90;202.5;-210;220;;220;142.5;147.5;150;;150;220;240;242.5;;242.5;612.5;7;404.63;399.69;383.78;83.12;Yes;USA;NC;USAPL;;2022-06-18;USA;NC;;North Carolina State Championships
Aaron Evans;M;SBD;Raw;40.5;40-44;40-49;MR-PF;83.4;90;207.5;215;-227.5;;215;140;142.5;147.5;;147.5;220;232.5;-245;;232.5;595;2;400.60;396.04;380.88;82.16;Yes;USA;NC;USAPL;;2022-03-19;USA;GA;;Military-Police-Firefighter Nationals
Aaron Evans;M;SBD;Raw;40.5;40-44;40-49;MR-MO;83.4;90;207.5;215;-227.5;;215;140;142.5;147.5;;147.5;220;232.5;-245;;232.5;595;4;400.60;396.04;380.88;82.16;Yes;USA;NC;USAPL;;2022-03-19;USA;GA;;Military-Police-Firefighter Nationals
Aaron Evans;M;SBD;Raw;40.5;40-44;40-49;MR-M1;83.4;90;207.5;215;-227.5;;215;140;142.5;147.5;;147.5;220;232.5;-245;;232.5;595;1;400.60;396.04;380.88;82.16;Yes;USA;NC;USAPL;;2022-03-19;USA;GA;;Military-Police-Firefighter Nationals
Aaron Evans;M;SBD;Raw;39.5;35-39;40-49;MR-M1a;84.8;;207.5;212.5;217.5;;217.5;132.5;142.5;147.5;;147.5;215;222.5;-235;;222.5;587.5;5;391.93;387.29;372.18;80.45;Yes;USA;NC;USAPL;;2021-12-04;USA;VA;;Virginia Pro
Aaron Evans;M;SBD;Raw;39.5;35-39;40-49;MR-MO;82.97;83;-195;207.5;215;;215;-135;142.5;-147.5;;142.5;210;220;232.5;;232.5;590;4;398.38;393.91;378.92;81.69;Yes;USA;NC;USAPL;IPF;2021-03-20;USA;FL;;29th Annual Military National Championships
Aaron Evans;M;SBD;Raw;39.5;35-39;40-49;MR-O;82.97;83;-195;207.5;215;;215;-135;142.5;-147.5;;142.5;210;220;232.5;;232.5;590;1;398.38;393.91;378.92;81.69;Yes;USA;NC;USAPL;IPF;2021-03-20;USA;FL;;29th Annual Police/Firefighter National Championships
Aaron Evans;M;SBD;Raw;38.5;35-39;24-39;MR-O;73.97;74;175;182.5;187.5;;187.5;125;130;135;;135;195;207.5;220;;220;542.5;2;392.68;390.34;377.39;79.66;Yes;USA;NC;USAPL;IPF;2020-03-21;USA;FL;;Military-Police-Fire National Championships
Aaron Evans;M;SBD;Raw;;;;Open;85.3;93;140;147.5;152.5;;152.5;100;102.5;105;;105;180;190;-200;;190;447.5;3;297.58;294.02;282.47;61.10;Yes;USA;;PA;IPF;2013-04-27;Australia;WA;Mt Hawthorn;Strength Club Open
Aaron Evans;M;SBD;Single-ply;;;;Boys;123.92;124.7;;;;;226.8;;;;;113.4;;;;;238.14;578.33;3;328.68;330.15;316.14;55.22;Yes;USA;;THSPA;;2013-02-16;USA;TX;Alief Taylor;2nd Annual Southwest Powerlifting Championship
