Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;53.98;55.7;;;;;129.27;;;;;61.23;;;;;142.88;333.39;6;308.40;314.80;309.33;52.13;Yes;USA;;THSPA;;2017-02-25;USA;TX;Brownsville Hanna;Eagle Invitational
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;53.48;55.7;;;;;120.2;;;;;52.16;;;;;127.01;299.37;5;279.31;285.36;280.56;47.17;Yes;USA;;THSPA;;2017-01-28;USA;TX;Pace;Viking Invitational Meet
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;53.25;55.7;;;;;90.72;;;;;56.7;;;;;97.52;244.94;9;229.44;234.51;230.62;38.73;Yes;USA;;THSPA;;2017-01-14;USA;TX;Brownsville Lopez;2nd Annual Lopez Inv. Meet
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;81.28;82.1;;;;;170.1;;;;;104.33;;;;;174.63;449.06;7;306.79;303.56;292.28;52.50;Yes;USA;;THSPA;;2016-03-12;USA;TX;Midland;Boys Region 1 Division 1 Championship
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;80.97;82.1;;;;;181.44;;;;;99.79;;;;;172.37;453.59;3;310.57;307.34;295.98;53.15;Yes;USA;;THSPA;;2016-02-18;USA;TX;Plainview;Plainview Triangular
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;80.92;82.1;;;;;170.1;;;;;97.52;;;;;165.56;433.18;3;296.71;293.63;282.77;50.78;Yes;USA;;THSPA;;2016-02-04;USA;TX;Levelland;Levelland Triangular
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;75.02;82.1;;;;;158.76;;;;;88.45;;;;;158.76;405.97;4;291.20;289.22;279.46;49.87;Yes;USA;;THSPA;;2015-02-19;USA;TX;Plainview;Plainview Triangular
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;72.48;74.8;;;;;140.61;;;;;77.11;;;;;136.08;353.8;4;259.55;258.32;249.97;44.44;Yes;USA;;THSPA;;2015-01-27;USA;TX;Lubbock Texas;Lubbock-Cooper
Aaron Gonzales;M;SBD;Wraps;;;;pure;87.32;90;;;;;172.5;;;;;100;;;;;190;462.5;2;303.74;299.97;287.88;62.41;Yes;USA;NM;NASA;;2013-12-28;USA;NM;;New Mexico Regional
Aaron Gonzales;M;SBD;Single-ply;;20-23;;M-Jr;149.4;120+;345;367.5;-410;;367.5;272.5;-287.5;-290;;272.5;240;-285;-285;;240;880;1;473.74;487.17;460.77;79.14;Yes;USA;;USAPL;IPF;2013-06-24;USA;TX;Killeen;Men's Teen Junior Open Nationals
Aaron Gonzales;M;SBD;Single-ply;;;;Div 2;51.89;55.7;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2011-03-05;USA;TX;Decatur;Region 6 Division 2 Championship
Aaron Gonzales;M;SBD;Single-ply;;;;Varsity;51.89;55.7;;;;;133.81;;;;;63.5;;;;;129.27;326.59;3;313.43;321.19;316.35;52.78;Yes;USA;;THSPA;;2011-01-29;USA;TX;Perrin;Perrin Invitational
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;50.98;51.7;;;;;124.74;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2011-01-22;USA;TX;Santo;Santo Boys
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;55.52;55.7;;;;;161.03;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2010-03-13;USA;TX;Kingsville;Region V Div II Meet
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;132.45;124.7+;;;;;274.42;;;;;170.1;;;;;201.85;646.37;5;359.92;364.39;347.69;60.29;Yes;USA;;THSPA;;2010-03-13;USA;TX;Kingsville;Region V Div II Meet
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;59.42;59.8;;;;;156.49;;;;;81.65;;;;;176.9;415.04;6;353.13;357.15;348.95;60.10;Yes;USA;;THSPA;;2010-02-27;USA;TX;Kingsville Texas;Brahma Bash
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;131.81;124.7+;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2010-02-27;USA;TX;LYFORD;LYFORD
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;56.7;59.8;;;;;151.95;;;;;77.11;;;;;176.9;405.97;1;359.44;365.14;357.73;60.99;Yes;USA;;THSPA;;2010-02-20;USA;TX;Goliad;Goliad Varsity Boys
Aaron Gonzales;M;SBD;Single-ply;;;;Varsity;59.15;59.8;;;;;158.76;;;;;81.65;;;;;185.97;426.38;3;364.15;368.45;360.09;61.96;Yes;USA;;THSPA;;2010-02-13;USA;TX;Calallen;Asa Chambless Powerlifting Classic
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;131.81;124.7+;;;;;272.16;;;;;165.56;;;;;206.38;644.1;1;359.17;363.41;346.86;60.18;Yes;USA;;THSPA;;2010-02-13;USA;TX;Port Isabel;Port Isabel Powerlifting Meet
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;64.41;67.1;;;;;124.74;;;;;74.84;;;;;136.08;335.66;11;267.86;268.97;261.67;45.75;Yes;USA;;THSPA;;2010-02-04;USA;TX;Colorado City;Colorado City Powerlifting Meet
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;110.68;124.7;;;;;176.9;;;;;102.06;;;;;183.7;462.66;4;273.39;271.76;259.79;46.20;Yes;USA;;THSPA;;2010-02-04;USA;TX;Bogata Rivercrest;Rivercrest
Aaron Gonzales;M;SBD;Single-ply;;;;Boys;109.32;109.7;;;;;190.51;;;;;111.13;;;;;190.51;492.15;2;292.17;290.18;277.29;49.41;Yes;USA;;THSPA;;2010-02-03;USA;TX;Pittsburg Texas;Pittsburg Invitational
