Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Gustum;M;SBD;Raw;27.5;24-34;24-39;MR-O;111;125;225;235;245;;245;152.5;160;167.5;;167.5;252.5;265;277.5;;277.5;690;1;407.28;404.95;387.14;83.04;Yes;USA;WI;USAPL;;2022-05-07;USA;WI;;Mayhem Open
Aaron Gustum;M;SBD;Raw;26.5;24-34;24-39;MR-O;111.2;;212.5;227.5;237.5;;237.5;150;160;-170;;160;255;272.5;275;;275;672.5;2;396.69;394.47;377.14;80.87;Yes;USA;WI;USAPL;;2021-12-11;USA;WI;;Winter Wolf Open
Aaron Gustum;M;SBD;Raw;26.5;24-34;24-39;MR-O;108.7;120;205;215;225;;225;150;157.5;160;;160;250;262.5;270;;270;655;1;389.69;386.90;369.66;79.59;Yes;USA;WI;USAPL;IPF;2021-03-13;USA;WI;;Madness Open
Aaron Gustum;M;SBD;Raw;25.5;24-34;24-39;MR-O;103.85;105;197.5;210;-220;;210;145;-152.5;152.5;;152.5;247.5;260;272.5;;272.5;635;1;384.68;380.94;363.74;78.80;Yes;USA;WI;USAPL;IPF;2020-09-19;USA;WI;;920 Raw Open
Aaron Gustum;M;SBD;Raw;24.5;24-34;24-39;MR-O;110.2;120;205;215;222.5;;222.5;155;162.5;170;;170;255;270;-280;;270;662.5;1;392.11;389.66;372.44;79.99;Yes;USA;WI;USAPL;IPF;2019-11-02;USA;WI;;Central Wisconsin Fall Classic
Aaron Gustum;M;SBD;Raw;24.5;24-34;24-39;MR-O;104.1;105;25;;;;25;155;162.5;-167.5;;162.5;75;;;;75;262.5;5;158.87;157.34;150.24;32.54;Yes;USA;WI;USAPL;IPF;2019-06-08;USA;WI;;Badger Open
Aaron Gustum;M;SBD;Raw;24.5;24-34;24-39;MR-O;105.15;120;210;220;-222.5;;220;147.5;155;160;;160;240;255;262.5;;262.5;642.5;1;387.27;383.74;366.44;79.27;Yes;USA;WI;USAPL;IPF;2019-03-23;USA;WI;;Madness Open
Aaron Gustum;M;SBD;Raw;23.5;24-34;24-39;MR-O;104.9;105;205;217.5;-225;;217.5;150;157.5;160;;160;237.5;247.5;255;;255;632.5;1;381.61;378.08;361.03;78.13;Yes;USA;WI;USAPL;IPF;2018-10-27;USA;WI;;Pure Fitness Series Meet 5
Aaron Gustum;M;SBD;Raw;23.5;24-34;24-39;MR-Jr;103.3;105;200;210;217.5;;217.5;142.5;147.5;152.5;;152.5;240;250;260;;260;630;1;382.49;378.67;361.57;78.38;Yes;USA;WI;USAPL;IPF;2018-01-20;USA;WI;;Wisconsin Open State Championships
Aaron Gustum;M;SBD;Raw;23.5;24-34;24-39;MR-O;103.3;105;200;210;217.5;;217.5;142.5;147.5;152.5;;152.5;240;250;260;;260;630;5;382.49;378.67;361.57;78.38;Yes;USA;WI;USAPL;IPF;2018-01-20;USA;WI;;Wisconsin Open State Championships
Aaron Gustum;M;SBD;Raw;22.5;20-23;19-23;MR-O;101.79;105;199.6;-208.7;-210.9;;199.6;133.8;138.4;142.9;;142.9;238.1;249.5;258.6;;258.6;601;3;367.13;363.24;346.86;75.29;Yes;USA;WI;USAPL;IPF;2017-09-30;USA;WI;;Western Wisconsin Open
Aaron Gustum;M;SBD;Raw;22.5;20-23;19-23;MR-O;102.7;105;190;197.5;205;;205;142.5;147.5;-155;;147.5;250;260;-275;;260;612.5;6;372.76;368.95;352.29;76.41;Yes;USA;WI;USAPL;IPF;2017-06-10;USA;WI;;Badger Open
Aaron Gustum;M;SBD;Raw;21.5;20-23;19-23;MR-O;98.8;105;179.2;190.5;197.3;;197.3;138.4;-147.4;149.7;;149.7;220;233.6;242.7;;242.7;589.7;7;364.89;360.65;344.54;74.93;Yes;USA;WI;USAPL;IPF;2016-10-29;USA;WI;Hudson;Western Wisconsin Open
