Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Hall;M;B;Raw;28;24-34;24-39;M_OR_APF;109.77;110;;;;;;190.51;201.85;-208.65;;201.85;;;;;;201.85;1;119.64;118.86;113.60;88.56;;USA;;APF;WPC;2018-06-20;USA;MI;;Alter Ego Push/Pull
Aaron Hall;M;D;Raw;28;24-34;24-39;M_OR_APF;109.77;110;;;;;;;;;;;238.14;265.35;272.16;;272.16;272.16;1;161.32;160.27;153.17;;;USA;;APF;WPC;2017-11-11;USA;MI;;Alter Ego Push/Pull
Aaron Hall;M;BD;Raw;28;24-34;24-39;M_OR_APF;109.77;110;;;;;;195.04;-206.38;-208.65;;195.04;238.14;265.35;272.16;;272.16;467.2;1;276.93;275.12;262.93;;;USA;;APF;WPC;2017-11-11;USA;MI;;Alter Ego Push/Pull
Aaron Hall;M;B;Raw;28;24-34;24-39;M_OR_APF;109.77;110;;;;;;195.04;-206.38;-208.65;;195.04;;;;;;195.04;1;115.61;114.85;109.76;85.58;;USA;;APF;WPC;2017-11-11;USA;MI;;Alter Ego Push/Pull
Aaron Hall;M;SBD;Raw;18.5;18-19;19-23;MR-T3;57.97;59;125;137.5;142.5;;142.5;85;92.5;-100;;92.5;182.5;200;210;;210;445;8;386.56;391.86;383.41;74.33;Yes;USA;;USAPL;IPF;2015-11-14;USA;MI;;Michigan Powerlifting and Bench Press Championships
Aaron Hall;M;SBD;Raw;18.5;18-19;19-23;MR-T3;58;59;127.5;137.5;-142.5;;137.5;82.5;95;-97.5;;95;182.5;205;-222.5;;205;437.5;1;379.88;385.07;376.75;73.06;Yes;USA;MI;USAPL;IPF;2015-10-15;USA;PA;Scranton;Raw Nationals
Aaron Hall;M;SBD;Raw;18.5;18-19;19-23;MR-O;58;59;127.5;137.5;-142.5;;137.5;82.5;95;-97.5;;95;182.5;205;-222.5;;205;437.5;10;379.88;385.07;376.75;73.06;Yes;USA;MI;USAPL;IPF;2015-10-15;USA;PA;Scranton;Raw Nationals
Aaron Hall;M;B;Raw;25;24-34;24-39;M_OR_WPC;108.2;110;;;;;;-195;195;205;;205;;;;;;205;1;122.18;121.27;115.85;90.54;;USA;;APF;WPC;2015-07-25;USA;MI;Detroit;CanAm Bench Press Championships
Aaron Hall;M;SBD;Raw;26;24-34;24-39;M_OR_APF;108.15;110;-257.5;257.5;-282.5;;257.5;-185;;;;;;;;;;;DQ;;;;;;USA;;APF;WPC;2015-07-18;USA;IL;;Chicago Summer Bash 12
Aaron Hall;M;SBD;Raw;18.5;18-19;19-23;MR-T3;59;59;122.5;-137.5;137.5;;137.5;82.5;-95;95;;95;175;192.5;205;;205;437.5;1;374.44;378.95;370.40;72.39;Yes;USA;;USAPL;IPF;2015-04-18;USA;OH;;18th Annual Battle of the Great Lakes
Aaron Hall;M;SBD;Raw;17.5;18-19;14-18;MR-T3;58.5;60;;;;;130;;;;;87.5;;;;;195;412.5;1;355.58;360.14;352.19;68.57;Yes;USA;;USAPL;IPF;2014-11-01;USA;MI;;Michigan State PL & BP Championships
Aaron Hall;M;SBD;Raw;17.5;18-19;14-18;MR-T3;58.6;60;;;;;130;;;;;85;;;;;190;405;1;348.61;353.03;345.20;67.26;Yes;USA;;USAPL;IPF;2014-09-27;USA;MI;;Kalamazoo Klassic II
Aaron Hall;M;SBD;Raw;17.5;18-19;14-18;MR-T3;57.1;59;115;125;-132.5;;125;77.5;82.5;-85;;82.5;172.5;182.5;187.5;;187.5;395;1;347.60;352.88;345.57;66.52;Yes;USA;;USAPL;IPF;2014-07-17;USA;CO;;Raw Nationals
Aaron Hall;M;BD;Raw;17.5;18-19;14-18;MR-T3;54.8;56;;;;;;;;;;80;;;;;182.5;262.5;1;239.53;244.13;239.67;;Yes;USA;;USAPL;IPF;2014-05-10;USA;MI;;5th Annual Ironman Push/Pull Meet
Aaron Hall;M;SBD;Raw;17.5;18-19;14-18;MR-T3;54.3;59;;;;;120.2;;;;;74.8;;;;;167.8;362.8;1;333.81;340.53;334.49;62.77;Yes;USA;;USAPL;IPF;2014-02-22;USA;MI;Kalamazoo;No Frills Meet
Aaron Hall;M;SBD;Wraps;;;;Open;110;110;200;215;250;;250;145;158;-183;;158;228;250;-273;;250;658;1;389.71;387.23;370.09;79.52;;USA;;APC;WUAP;2011-06-03;USA;;;Nationals
Aaron Hall;M;SBD;Single-ply;;;;M-O;82.5;82.5;;;;;192.5;;;;;157.5;;;;;230;580;1;392.89;388.55;373.86;67.21;Yes;USA;;USAPL;IPF;2001-03-03;USA;SD;Rapid City;Great West PL and BP Champs
Aaron Hall;M;B;Single-ply;;;;M-O;82.5;82.5;;;;;;;;;;157.5;;;;;;157.5;1;106.69;105.51;101.52;56.30;Yes;USA;;USAPL;IPF;2001-03-03;USA;SD;Rapid City;Great West PL and BP Champs
