Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Kelly;M;SBD;Raw;;;;MR-O;93;93;170;180;-185;;180;135;-140;140;;140;200;210;-217.5;;210;530;3;337.21;332.94;318.66;69.34;Yes;N.Ireland;;NIPF;IPF;2022-04-23;N.Ireland;;Craigavon;NI Spring Classic
Aaron Kelly;M;SBD;Raw;;;;M-C-Open;85.6;93;-170;-180;180;;180;135;140;-142.5;;140;210;215;-220;;215;535;4;355.09;350.82;336.98;72.92;Yes;;;NIPF;IPF;2018-03-03;N.Ireland;;;NI Classic
Aaron Kelly;M;BD;Raw;;;;M-C-Open;89.4;93;;;;;;125;130;132.5;;132.5;170;190;200;;200;332.5;1;215.72;212.99;204.19;;Yes;;;NIPF;IPF;2017-05-06;N.Ireland;;;PNP Push/Pull Open
Aaron Kelly;M;SBD;Raw;;;;M-C-Open;89.4;93;160;-165;167.5;;167.5;125;130;132.5;;132.5;170;190;200;;200;500;1;324.40;320.29;307.06;66.69;Yes;;;NIPF;IPF;2017-05-06;N.Ireland;;;PNP Push/Pull Open
Aaron Kelly;M;SBD;Raw;32.5;24-34;24-39;MR-O;89;93;156.5;-161;161;;161;115.7;120.2;122.5;;122.5;183.7;195;208.7;;208.7;492.2;5;320.07;316.03;303.03;65.80;Yes;USA;PA;USAPL;IPF;2016-09-18;USA;PA;Collegeville;SCI-Graterford Powerlifting Meet
Aaron Kelly;M;SBD;Raw;32.5;24-34;24-39;MR-O;91.9;93;156.5;165.6;172.4;;172.4;115.7;120.2;-127;;120.2;213.2;220;226.8;;226.8;519.4;20;332.38;328.15;314.22;68.34;Yes;USA;PA;USAPL;IPF;2016-03-12;USA;PA;;SCI-Graterford Meet
Aaron Kelly;M;SBD;Single-ply;;;;Boys;60.87;67.1;;;;;;;;;;;;;;;;;DQ;;;;;Yes;;;THSPA;;2013-02-14;USA;TX;Brady;H.O.T. Powerlifting Championship
Aaron Kelly;M;SBD;Single-ply;;;;Boys;60.78;67.1;;;;;140.61;;;;;77.11;;;;;149.69;367.41;12;306.86;309.71;302.21;52.29;Yes;;;THSPA;;2013-02-09;USA;TX;Eldorado;Eldorado Invitational
Aaron Kelly;M;SBD;Single-ply;;;;Boys;61.78;67.1;;;;;142.88;;;;;88.45;;;;;140.61;371.95;8;306.61;309.00;301.26;52.28;Yes;;;THSPA;;2013-01-31;USA;TX;Sonora Texas;Sonora Meet
Aaron Kelly;M;SBD;Single-ply;;;;Boys;59.15;59.8;;;;;115.67;;;;;81.65;;;;;151.95;349.27;6;298.30;301.82;294.96;50.75;Yes;;;THSPA;;2012-02-04;USA;TX;Grape Creek Junior High Gym;Grape Creek Eagle Championships
Aaron Kelly;M;SBD;Single-ply;;;;Boys;59.42;59.8;;;;;122.47;;;;;77.11;;;;;149.69;349.27;2;297.17;300.55;293.65;50.57;Yes;;;THSPA;;2012-01-28;USA;TX;Big Lake;Reagan County Invitational
