Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Phillips #2;M;SBD;Single-ply;34;24-34;24-39;M-O;73.68;74;275;285;290;;290;-185;185;-195;;185;225;235;242.5;;242.5;717.5;3;520.69;517.70;500.60;89.17;Yes;USA;WI;USAPL;IPF;2019-05-10;USA;IL;;Open Nationals
Aaron Phillips #2;M;SBD;Single-ply;33;24-34;24-39;M-O;72.9;74;255;265;272.5;;272.5;165;175;185;;185;210;222.5;235;;235;692.5;1;506.07;503.50;487.09;86.66;Yes;USA;WI;USAPL;IPF;2018-02-10;USA;WI;;PF Open Series 1
Aaron Phillips #2;M;SBD;Single-ply;31;24-34;24-39;M-O;72.9;74;260;-272.5;272.5;;272.5;185;190;195;;195;225;230;-235;;230;697.5;3;509.72;507.14;490.61;87.29;Yes;USA;WI;USAPL;IPF;2016-05-20;USA;CO;;Open Nationals
Aaron Phillips #2;M;SBD;Single-ply;30;24-34;24-39;Open;73;74;272.5;280;-287.5;;280;195;200;205;;205;232.5;-245;-245;;232.5;717.5;11;523.87;521.16;504.15;89.71;Yes;USA;;IPF;IPF;2015-11-09;Luxembourg;;Hamm;World Powerlifting Championships
Aaron Phillips #2;M;SBD;Single-ply;30;24-34;24-39;M-O;74;74;272.5;285;-295;;285;195;202.5;210;;210;225;242.5;-252.5;;242.5;737.5;1;533.69;530.49;512.88;91.40;Yes;USA;;USAPL;IPF;2015-05-15;USA;TX;;Men's and Women's Nationals
Aaron Phillips #2;M;SBD;Single-ply;30;24-34;24-39;Open;73.7;74;-265;265;280;;280;197.5;207.5;-217.5;;207.5;245;-260;-260;;245;732.5;2;531.48;528.42;510.96;91.02;Yes;USA;;NAPF;IPF;2015-03-06;USA;OH;Columbus;Arnold - Pro American
Aaron Phillips #2;M;SBD;Single-ply;29;24-34;24-39;M-O;72.7;74;;;;;275;;;;;205;;;;;250;730;2;534.45;531.83;514.56;91.52;Yes;USA;;USAPL;IPF;2014-06-20;USA;PA;;32nd Annual Men's National Powerlifting Championships
Aaron Phillips #2;M;SBD;Single-ply;28;24-34;24-39;M-O;67.3;67.5;;;;;272.2;;;;;147.4;;;;;235.9;655.5;1;506.31;506.60;491.82;86.60;Yes;USA;;USAPL;IPF;2014-01-18;USA;WI;;Wisconsin State Open
Aaron Phillips #2;M;SBD;Raw;28;24-34;24-39;MR-O;66.3;67.5;177.5;187.5;197.5;;197.5;120;125;130;;130;202.5;217.5;-232.5;;217.5;545;1;425.59;426.34;414.19;84.75;Yes;USA;;USAPL;IPF;2013-06-15;USA;WI;Madison;Badger Open
Aaron Phillips #2;M;SBD;Single-ply;27;24-34;24-39;M-O;64.5;66;237.5;-250;-250;;237.5;140;147.5;152.5;;152.5;227.5;-237.5;-240;;227.5;617.5;3;492.25;494.23;480.79;84.09;Yes;USA;;USAPL;IPF;2012-06-22;USA;FL;Orlando;Men's Teen Junior Open Nationals
