Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Stroud #1;M;SBD;Raw;22;20-23;19-23;MR-Jr;72.6;74;200;217.5;-227.5;;217.5;130;137.5;147.5;;147.5;215;227.5;235;;235;600;15;439.67;437.56;423.37;88.96;Yes;USA;NC;USAPL;IPF;2016-10-13;USA;GA;Atlanta;Raw Nationals
Aaron Stroud #1;M;SBD;Raw;22;20-23;19-23;MR-O;72.6;74;200;217.5;-227.5;;217.5;130;137.5;147.5;;147.5;215;227.5;235;;235;600;16;439.67;437.56;423.37;88.96;Yes;USA;NC;USAPL;IPF;2016-10-13;USA;GA;Atlanta;Raw Nationals
Aaron Stroud #1;M;SBD;Raw;21.5;20-23;19-23;MR-O;70.9;74;200;215;-227.5;;215;122.5;135;142.5;;142.5;215;227.5;237.5;;237.5;595;3;443.03;441.59;427.71;89.32;Yes;USA;NC;USAPL;IPF;2016-03-19;USA;SC;;Battle on the Border X
Aaron Stroud #1;M;SBD;Raw;21;20-23;19-23;MR-Jr;71.3;74;187.5;200;-215;;200;100;110;125;;125;205;222.5;-235;;222.5;547.5;3;406.10;404.63;391.81;81.95;Yes;USA;;USAPL;IPF;2015-11-07;USA;NC;;Fall Festival of Power
Aaron Stroud #1;M;SBD;Raw;20;20-23;19-23;MR-T3;69.4;75;;;;;215;;;;;67.5;;;;;232.5;515;1;389.17;388.50;376.64;78.18;Yes;USA;;USAPL;IPF;2014-11-01;USA;NC;;Fall Festival of Power
Aaron Stroud #1;M;SBD;Raw;19.5;20-23;19-23;Juniors;69.1;74;185;195;-205;;195;127.5;132.5;-137.5;;132.5;200;212.5;220;;220;547.5;4;414.99;414.40;401.83;83.31;Yes;USA;;NAPF;IPF;2014-02-28;USA;OH;Columbus;StartingStrength.com Pro Raw Challenge
Aaron Stroud #1;M;SBD;Raw;19;18-19;19-23;MR-T3;65.1;66;170;177.5;-182.5;;177.5;122.5;-127.5;127.5;;127.5;197.5;-200;200;;200;505;1;399.76;401.06;389.97;79.30;Yes;USA;NC;USAPL;IPF;2013-07-19;USA;FL;Orlando;Raw Nationals
Aaron Stroud #1;M;SBD;Raw;17.5;18-19;14-18;MR-T2;67.1;67.5;;;;;170;;;;;115;;;;;190;475;2;367.69;367.98;357.30;73.40;Yes;USA;;USAPL;IPF;2012-03-24;USA;SC;Fort Mill;Battle on the Border VI
Aaron Stroud #1;M;SBD;Raw;17.5;18-19;14-18;MR-T2;67.1;67.5;;;;;165.1;;;;;122.5;;;;;192.3;479.9;1;371.48;371.78;360.98;74.16;Yes;USA;;USAPL;IPF;2012-03-24;USA;SC;Fort Mill;Battle on the Border VI
Aaron Stroud #1;M;SBD;Raw;17;16-17;14-18;MR-T2;67.5;67.5;;;;;152.41;;;;;115.21;;;;;170.1;437.72;1;337.37;337.49;327.60;67.43;Yes;USA;;USAPL;IPF;2011-11-11;USA;NC;West Cary;Fall Festival of Power
