Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Utermahlen;M;SBD;Wraps;41.5;40-44;40-49;Amateur Open;109.59;110;;;;;242.67;;;;;163.29;;;;;247.21;653.17;2;387.40;384.83;367.76;79.07;Yes;USA;;RPS;;2019-04-06;USA;PA;York;PowerPalooza 21
Aaron Utermahlen;M;SBD;Raw;38.5;35-39;24-39;MR-O;103.2;105;205;215;227.5;;227.5;142.5;155;160;;160;215;240;250;;250;637.5;3;387.20;383.31;366.01;79.35;Yes;USA;PA;USAPL;IPF;2016-03-19;USA;PA;;Pennsylvania States Championships
Aaron Utermahlen;M;SBD;Wraps;37.5;35-39;24-39;Amateur Open;106.3;110;;;;;260.82;;;;;158.76;;;;;260.82;680.39;1;408.33;404.85;386.64;83.53;Yes;USA;;IPA;;2015-02-28;USA;PA;York;Pennsylvania State Powerlifting Championships
Aaron Utermahlen;M;SBD;Wraps;35.5;35-39;24-39;Amateur Open;104.05;110;;;;;226.8;;;;;154.22;;;;;254.01;635.03;1;384.40;380.69;363.51;78.74;Yes;USA;;RPS;;2013-12-07;USA;PA;Hellertown;Christmas Carnage
Aaron Utermahlen;M;SBD;Wraps;35.5;35-39;24-39;Amateur Open;99.06;100;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;RPS;;2013-07-27;USA;PA;Lancaster;Raw Dawg National Championships
Aaron Utermahlen;M;SBD;Wraps;35.5;35-39;24-39;Amateur Open;89.36;90;;;;;226.8;;;;;145.15;;;;;249.48;621.42;1;403.26;398.16;381.72;82.90;Yes;USA;;RPS;;2013-04-13;USA;PA;York;Powerpalooza 15
Aaron Utermahlen;M;SBD;Wraps;34.5;24-34;24-39;Amateur Open;89.92;90;;;;;242.67;;;;;154.22;;;;;249.48;646.37;1;418.13;412.83;395.67;85.97;Yes;USA;;RPS;;2012-12-01;USA;PA;Allentown;8th Annual Christmas Carnage
Aaron Utermahlen;M;SBD;Wraps;34.5;24-34;24-39;Amateur Open;97.89;100;;;;;238.14;;;;;163.29;;;;;242.67;644.1;1;400.19;395.44;377.85;82.20;Yes;USA;;RPS;;2012-04-14;USA;PA;York;14th Annual PowerPalooza
Aaron Utermahlen;M;SBD;Wraps;33.5;24-34;24-39;Amateur Open;97.43;100;;;;;226.8;;;;;156.49;;;;;251.74;635.03;1;395.39;390.65;373.32;81.23;Yes;USA;;RPS;;2011-12-03;USA;PA;Allentown;Christmas Carnage
Aaron Utermahlen;M;BD;Raw;33.5;24-34;24-39;Amateur Open;105.6;110;;;;;;;;;;163.29;;;;;244.94;408.23;1;245.64;243.46;232.49;;Yes;USA;;IPA;;2011-04-16;USA;PA;York;13th Annual PowerPalooza
Aaron Utermahlen;M;SBD;Multi-ply;30.5;24-34;24-39;Amateur Open;122.47;125;351.53;376.48;-387.82;;376.48;272.16;-294.84;-294.84;;272.16;249.48;260.82;-272.16;;260.82;909.45;1;518.82;520.48;498.65;87.22;Yes;USA;;IPA;;2008-04-11;USA;OH;Zanesville;Iron House Classic
Aaron Utermahlen;M;B;Multi-ply;29.5;24-34;24-39;Amateur Open;140;140;;;;;;;;;;294.84;;;;;;294.84;1;161.58;164.76;156.61;82.90;Yes;USA;;IPA;;2007-06-23;USA;PA;York;World Championships
Aaron Utermahlen;M;B;Multi-ply;29.5;24-34;24-39;Amateur Open;140;140;;;;;;;;;;294.84;;;;;;294.84;1;161.58;164.76;156.61;82.90;Yes;USA;;IPA;;2007-04-21;USA;;;PowerPalooza
Aaron Utermahlen;M;B;Multi-ply;28.5;24-34;24-39;M_OEM_AAPF;140;140;;;;;;;;;;319.78;;;;;;319.78;1;175.25;178.70;169.85;89.91;Yes;USA;;APF;WPC;2006-09-30;USA;DE;New Castle;First State Power Frenzy
Aaron Utermahlen;M;B;Multi-ply;28.5;24-34;24-39;Amateur Open;140;140;;;;;;;;;;317.51;;;;;;317.51;1;174.00;177.43;168.65;89.27;Yes;USA;;IPA;;2006-07-23;USA;PA;York;World Championships
Aaron Utermahlen;M;B;Single-ply;27.5;24-34;24-39;M-O;;125+;;;;;;192.5;202.5;210;;210;;;;;;210;2;;;;;Yes;USA;PA;USAPL;IPF;2005-05-21;USA;PA;;Pennsylvania State Single Lift BP & DL Championships
Aaron Utermahlen;M;D;Single-ply;27.5;24-34;24-39;M-O;;125+;;;;;;;;;;;227.5;240;250;;250;250;2;;;;;Yes;USA;PA;USAPL;IPF;2005-05-21;USA;PA;;Pennsylvania State Single Lift BP & DL Championships
Aaron Utermahlen;M;SBD;Single-ply;24.5;24-34;24-39;M-O;125;125;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;USAPL;IPF;2002-12-15;USA;PA;King of Prussia;American Open PL Championships
