Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Veselak;M;SBD;Raw;22;20-23;19-23;Juniors 20-23;94.4;100;225;237.5;245;;245;137.5;145;-147.5;;145;247.5;265;272.5;;272.5;662.5;1;418.53;413.28;395.34;86.04;;USA;OK;USPA;IPL;2021-07-17;USA;OK;Stillwater;Battle at Bodyworks
Aaron Veselak;M;SBD;Raw;22;20-23;19-23;MR-C;97.7;105;212.5;227.5;242.5;;242.5;125;137.5;145;;145;247.5;262.5;-272.5;;262.5;650;20;404.21;399.39;381.64;83.03;Yes;USA;OK;USAPL;IPF;2021-04-08;USA;LA;Baton Rouge;Collegiate and Junior Nationals
Aaron Veselak;M;SBD;Raw;22;20-23;19-23;MR-Jr;97.7;105;212.5;227.5;242.5;;242.5;125;137.5;145;;145;247.5;262.5;-272.5;;262.5;650;18;404.21;399.39;381.64;83.03;Yes;USA;OK;USAPL;IPF;2021-04-08;USA;LA;Baton Rouge;Collegiate and Junior Nationals
Aaron Veselak;M;SBD;Raw;21.5;20-23;19-23;MR-Jr;100.85;105;197.5;215;227.5;;227.5;112.5;127.5;142.5;;142.5;215;237.5;260;;260;630;2;386.37;382.13;364.93;79.27;Yes;USA;OK;USAPL;IPF;2020-10-17;USA;OK;;Oklahoma State Championships
Aaron Veselak;M;SBD;Single-ply;21;20-23;19-23;Juniors 20-23;99.5;100;225;-250;252.5;;252.5;-155;157.5;177.5;;177.5;235;252.5;267.5;;267.5;697.5;1;430.26;425.35;406.29;73.12;;USA;OK;USPA;IPL;2020-07-18;USA;OK;Stillwater;Battle at BodyWorks
Aaron Veselak;M;SBD;Single-ply;21;20-23;19-23;Open;99.5;100;225;-250;252.5;;252.5;-155;157.5;177.5;;177.5;235;252.5;267.5;;267.5;697.5;1;430.26;425.35;406.29;73.12;;USA;OK;USPA;IPL;2020-07-18;USA;OK;Stillwater;Battle at BodyWorks
Aaron Veselak;M;SBD;Multi-ply;20.5;20-23;19-23;Open;89.45;90;;;;;235.87;;;;;145.15;;;;;238.14;619.15;1;401.59;396.50;380.11;68.55;;USA;;SPF;;2019-10-12;USA;MO;Rolla;6th Annual Beards and Bows
Aaron Veselak;M;SBD;Multi-ply;20;20-23;19-23;Juniors;93.8;100;;;;;226.8;;;;;149.69;;;;;251.74;628.23;1;398.08;393.06;376.08;67.83;;USA;;SPF;;2019-06-08;USA;MO;;MicksMonsters Missouri State Championship
Aaron Veselak;M;SBD;Raw;20;20-23;19-23;MR-C;96.05;105;-202.5;207.5;-215;;207.5;-112.5;112.5;;;112.5;217.5;230;247.5;;247.5;567.5;48;355.64;351.27;335.83;73.09;Yes;USA;OK;USAPL;IPF;2019-04-12;USA;OH;Columbus;Collegiate Nationals
Aaron Veselak;M;SBD;Raw;20;20-23;19-23;MR-Jr;101.8;105;202.5;210;215;;215;115;-120;120;;120;235;240;245;;245;580;3;354.29;350.53;334.73;72.66;Yes;USA;OK;USAPL;IPF;2019-01-19;USA;TX;;P.O.D. Winter Seasonal
Aaron Veselak;M;SBD;Raw;20;20-23;19-23;Juniors 20-23;99;100;;;;;200;;;;;120;;;;;242.5;562.5;1;347.75;343.73;328.36;71.40;;USA;OK;USPA;IPL;2018-11-03;USA;OK;Stillwater;Battle at Bodyworks
