Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron White;M;SBD;Raw;21;20-23;19-23;Open;108.3;110;180;197;216;;216;140;152;156;;156;205;228;248;;248;620;1;369.39;366.65;350.28;75.46;;USA;MD;USPC;;2022-04-09;USA;MD;Frederick;Mid-Atlantic Classic
Aaron White;M;SBD;Raw;21;20-23;19-23;J20-23;108.3;110;180;197;216;;216;140;152;156;;156;205;228;248;;248;620;1;369.39;366.65;350.28;75.46;;USA;MD;USPC;;2022-04-09;USA;MD;Frederick;Mid-Atlantic Classic
Aaron White;M;SBD;Raw;16.5;16-17;14-18;MR-T2;91.2;93;187.5;197.5;210;;210;115;125;132.5;;132.5;230;247.5;-255;;247.5;590;1;378.98;374.16;358.39;77.93;Yes;USA;LA;USAPL;IPF;2020-01-18;USA;LA;;Louisiana State Championship
Aaron White;M;SBD;Raw;16.5;16-17;14-18;MR-O;91.2;93;187.5;197.5;210;;210;115;125;132.5;;132.5;230;247.5;-255;;247.5;590;3;378.98;374.16;358.39;77.93;Yes;USA;LA;USAPL;IPF;2020-01-18;USA;LA;;Louisiana State Championship
Aaron White;M;SBD;Raw;15.5;16-17;14-18;MR-JV;73.75;74;137.5;147.5;155;;155;100;105;110;;110;195;207.5;-212.5;;207.5;472.5;1;342.68;340.69;329.43;69.49;Yes;USA;LA;USAPL;IPF;2019-03-28;USA;LA;;High School Nationals
Aaron White;M;SBD;Raw;15.5;16-17;14-18;MR-T1;74;74;135;145;-157.5;;145;102.5;105;-110;;105;175;190;200;;200;450;1;325.64;323.69;312.94;66.06;Yes;USA;LA;USAPL;IPF;2019-01-19;USA;LA;;Louisiana State Meet
Aaron White;M;SBD;Raw;15.5;16-17;14-18;MR-O;74;74;135;145;-157.5;;145;102.5;105;-110;;105;175;190;200;;200;450;1;325.64;323.69;312.94;66.06;Yes;USA;LA;USAPL;IPF;2019-01-19;USA;LA;;Louisiana State Meet
Aaron White;M;SBD;Multi-ply;;;;MO;133.45;140;;;;;399.98;;;;;260;;;;;295.02;954.99;1;530.59;537.70;512.78;88.86;;USA;;UPA;;2018-11-01;USA;MI;Detroit;Relentless Detroit
Aaron White;M;SBD;Raw;18;18-19;;Juniors 18-19;97.8;100;;;;;207.5;;;;;115;;;;;232.5;555;2;344.97;340.87;325.72;70.86;;USA;PA;USPA;IPL;2018-04-14;USA;OH;Cleveland;21st Annual Battle of the Great Lakes
Aaron White;M;SBD;Wraps;;;;Pro Submasters 33-39;129.73;140;;;;;351.53;;;;;210.92;;;;;297.1;859.56;1;481.60;486.34;464.65;96.65;;USA;;RPS;;2017-08-05;USA;NY;Buffalo;New York State Championships
Aaron White;M;SBD;Wraps;;;;Amateur Open;123.2;125;;;;;340.19;;;;;188.24;;;;;276.69;805.13;1;458.43;460.19;440.80;92.53;Yes;USA;;RPS;;2016-10-22;USA;OH;Columbus;Lexen Fall Classic
Aaron White;M;SBD;Wraps;;;;Pro;123.2;125;;;;;331.12;;;;;190.51;;;;;294.84;816.47;13;464.88;466.67;447.00;93.84;;USA;;XPC;XPC;2016-03-04;USA;OH;Columbus;Elite Finals
Aaron White;M;SBD;Wraps;;;;Pro Open;116.39;125;;;;;308.44;;;;;190.51;;;;;285.76;784.71;1;455.37;454.52;435.26;92.45;;USA;;RPS;;2015-06-20;USA;OH;Grove City;LexenXtreme Summer Slam - Ohio State Championships
Aaron White;M;SBD;Wraps;;;;HW;104.78;90+;;;;;288.03;;;;;185.97;;;;;276.69;750.7;16;453.13;448.91;428.66;92.78;;USA;;XPC;XPC;2015-03-06;USA;OH;Columbus;Finals
Aaron White;M;SBD;Wraps;;;;Pro Open;109.5;110;;;;;285.76;;;;;183.7;;;;;272.16;741.62;3;439.99;437.05;417.66;89.81;;USA;;RPS;;2014-10-25;USA;OH;Columbus;LexenXtreme Fall Classic
Aaron White;M;SBD;Wraps;;;;Amateur Open;114.76;125;;;;;272.16;;;;;183.7;;;;;265.35;721.21;1;420.59;419.29;401.33;85.51;Yes;USA;;RPS;;2014-08-23;USA;OH;Grove City;LexenXtreme Dog Days
Aaron White;M;SBD;Wraps;;;;Amateur Open;115.26;125;;;;;244.94;;;;;170.1;;;;;249.48;664.51;2;386.93;385.88;369.40;78.63;Yes;USA;;RPS;;2014-06-06;USA;OH;Columbus;LexenXtreme Summer Slam & Ohio State Championships
Aaron White;M;SBD;Wraps;;;;Amateur Open;108.09;110;;;;;235.87;;;;;161.03;;;;;254.01;650.91;1;388.10;385.17;367.96;79.29;Yes;USA;;RPS;;2014-03-22;USA;OH;Columbus;LexenXtreme Raw Regalia
Aaron White;M;SBD;Wraps;;;;Amateur Open;107.05;110;;;;;215.46;;;;;151.95;;;;;244.94;612.35;1;366.48;363.50;347.20;74.93;Yes;USA;;RPS;;2013-10-06;USA;OH;Columbus;LexenXtreme Fall Classic
Aaron White;M;D;Raw;;;;Amateur Open;107.05;110;;;;;;;;;;;;;;;244.94;244.94;1;146.59;145.40;138.88;;Yes;USA;;RPS;;2013-10-06;USA;OH;Columbus;LexenXtreme Fall Classic
Aaron White;M;D;Single-ply;;;;Class 1;90;90;;;;;;;;;;;;;;;227.48;227.48;1;147.09;145.22;139.18;;Yes;USA;OH;WABDL;;2012-05-12;USA;OH;Canton;Buckeye Hall of Fame Classic
Aaron White;M;B;Single-ply;;;;Class 1;90;90;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;OH;WABDL;;2012-05-12;USA;OH;Canton;Buckeye Hall of Fame Classic
Aaron White;M;B;Single-ply;;;;Class 1;117.5;117.5;;;;;;;;;;205;;;;;;205;1;118.57;118.46;113.47;60.76;Yes;USA;OH;WABDL;;2011-05-17;USA;OH;;Buckeye Hall of Fame Classic
