Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aaron Willis;M;SBD;Single-ply;;;;Boys;111.22;124.7;;;;;183.7;;;;;104.33;;;;;136.08;424.11;10;250.15;248.76;237.83;42.27;Yes;;;THSPA;;2022-03-11;USA;TX;Bishop;Boys Region 5 Division 4
Aaron Willis;M;SBD;Single-ply;;;;Boys;109.32;109.7;;;;;176.9;;;;;106.59;;;;;;;DQ;;;;;Yes;;;THSPA;;2022-02-25;USA;TX;Sonora;Sonora
Aaron Willis;M;SBD;Single-ply;;;;Boys;107.32;109.7;;;;;165.56;;;;;97.52;;;;;149.69;412.77;9;246.79;244.83;233.85;41.78;Yes;;;THSPA;;2022-02-08;USA;TX;Brady;HOT Powerlifting Meet
Aaron Willis;M;SBD;Single-ply;;;;Boys;111.54;124.7;;;;;165.56;;;;;92.99;;;;;136.08;394.63;6;232.52;231.27;221.13;39.28;Yes;;;THSPA;;2022-01-22;USA;TX;Eldorado Gym;Eldorado Invitational
Aaron Willis;M;SBD;Single-ply;;;;Boys;109.86;124.7;;;;;136.08;;;;;92.99;;;;;124.74;353.8;13;209.64;208.29;199.07;35.45;Yes;;;THSPA;;2022-01-08;USA;TX;Big Spring;Steer Invitational
Aaron Willis;M;SBD;Single-ply;;;;Boys;91.17;99.7;;;;;226.8;;;;;108.86;;;;;215.46;551.11;7;354.06;349.55;334.83;60.39;Yes;;;THSPA;;2016-03-12;USA;TX;Sundown;Boys Region 1 Division 3
Aaron Willis;M;SBD;Single-ply;;;;Boys;91.35;99.7;;;;;222.26;;;;;113.4;;;;;213.19;548.85;2;352.26;347.78;333.10;60.08;Yes;;;THSPA;;2016-02-26;USA;TX;Strawn;Strawn LQM
Aaron Willis;M;SBD;Single-ply;;;;Boys;91.17;99.7;;;;;222.26;;;;;106.59;;;;;208.65;537.51;3;345.32;340.93;326.56;58.90;Yes;;;THSPA;;2016-02-18;USA;TX;Sweetwater;Arlon Barnes Classic
Aaron Willis;M;SBD;Single-ply;;;;Boys;88.9;89.8;;;;;204.12;;;;;102.06;;;;;;;DQ;;;;;Yes;;;THSPA;;2016-02-11;USA;TX;Brady;H.O.T Powerlifting
Aaron Willis;M;SBD;Single-ply;;;;Boys;88.72;89.8;;;;;215.46;;;;;106.59;;;;;199.58;521.63;4;339.75;335.48;321.72;58.01;Yes;;;THSPA;;2016-01-30;USA;TX;Comanche;Comanche Invitational
Aaron Willis;M;SBD;Single-ply;;;;Boys;88.72;89.8;;;;;213.19;;;;;102.06;;;;;190.51;505.76;5;329.42;325.27;311.94;56.25;Yes;;;THSPA;;2016-01-23;USA;TX;;Abilene High Invitational
Aaron Willis;M;SBD;Single-ply;;;;Boys;89.09;89.8;;;;;199.58;;;;;;;;;;192.78;;DQ;;;;;Yes;;;THSPA;;2016-01-16;USA;TX;Dublin;Dublin Invitational
Aaron Willis;M;SB;Raw;18.5;18-19;19-23;MR-T3;92.4;100;;;;;217.5;;;;;150;;;;;;367.5;3;234.55;231.57;221.70;;Yes;;;USAPL;IPF;2014-11-15;USA;IL;;MO Rivers Edge
Aaron Willis;M;SBD;Single-ply;;;;M-HS;100;100;;;;;238.14;;;;;158.76;;;;;244.94;641.83;1;395.06;390.61;373.08;67.12;Yes;;;USAPL;IPF;2007-03-17;USA;IN;Indianapolis;State High School Championships
Aaron Willis;M;SBD;Single-ply;;;;M-C;99.2;100;227.5;245;-262.5;;245;147.5;-167.5;-167.5;;147.5;227.5;245;-252.5;;245;637.5;11;393.77;389.24;371.82;66.93;Yes;;;USAPL;IPF;2006-04-13;USA;FL;Miami;Collegiate Nationals
Aaron Willis;M;SBD;Single-ply;;;;M-O;100;100;;;;;238.14;;;;;158.76;;;;;244.94;641.83;1;395.06;390.61;373.08;67.12;Yes;;;USAPL;IPF;2006-03-18;USA;IN;Indianapolis;State HS Championships
