Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Abbie Leschinsky;F;SBD;Raw;24.5;24-34;24-39;FR-O;109.93;100+;160;167.5;175;;175;105;110;115;;115;185;195;202.5;;202.5;492.5;14;406.06;400.49;340.91;85.85;Yes;USA;NE;USAPL;;2022-06-08;USA;NV;Las Vegas;Mega Nationals
Abbie Leschinsky;F;SBD;Raw;24.5;24-34;24-39;FR-O;108.6;100+;155;162.5;170;;170;105;110;112.5;;112.5;180;190;200;;200;482.5;2;399.47;393.39;335.02;84.33;Yes;USA;NE;USAPL;;2022-04-23;USA;NE;;Nebraska State Powerlifting Championships
Abbie Leschinsky;F;B;Raw;24.5;24-34;24-39;FR-O;106.1;100+;;;;;;105;110;-115;;110;;;;;;110;1;91.82;90.16;76.85;78.88;Yes;USA;NE;USAPL;;2022-01-15;USA;NE;;Capitol City Clash
Abbie Leschinsky;F;SBD;Raw;23.5;24-34;24-39;FR-C;106.3;84+;157.5;165;167.5;;167.5;97.5;102.5;107.5;;107.5;175;185;192.5;;192.5;467.5;6;389.96;383.02;326.39;82.11;Yes;USA;NE;USAPL;IPF;2021-04-08;USA;LA;Baton Rouge;Collegiate and Junior Nationals
Abbie Leschinsky;F;SBD;Raw;22.5;20-23;19-23;FR-C;106;84+;160;167.5;175;;175;100;105;-110;;105;175;-182.5;182.5;;182.5;462.5;4;386.18;379.18;323.24;81.28;Yes;USA;NE;USAPL;IPF;2020-11-20;USA;PA;;Collegiate Nationals
Abbie Leschinsky;F;SBD;Raw;21.5;20-23;19-23;Juniors;98.72;84+;167.5;-175;175;;175;97.5;102.5;-105;;102.5;170;182.5;187.5;;187.5;465;1;398.82;388.65;334.41;83.22;Yes;USA;;NAPF;IPF;2019-08-06;Costa Rica;;San Jose;Pan-American Powerlifting Championships
Abbie Leschinsky;F;SBD;Raw;21.5;20-23;19-23;FR-C;100.05;84+;165;175;-182.5;;175;95;102.5;-105;;102.5;177.5;187.5;192.5;;192.5;470;4;400.99;391.26;336.10;83.81;Yes;USA;NE;USAPL;IPF;2019-04-12;USA;OH;Columbus;Collegiate Nationals
Abbie Leschinsky;F;B;Raw;21.5;20-23;19-23;FR-O;99;84+;;;;;;92.5;97.5;-102.5;;97.5;;;;;;97.5;1;83.53;81.42;70.03;70.51;Yes;USA;NE;USAPL;IPF;2019-01-26;USA;NE;;12th Annual Capital City Clash
Abbie Leschinsky;F;SBD;Raw;20.5;20-23;19-23;FR-Jr;96.8;84+;-165;165;172.5;;172.5;90;95;100;;100;175;185;-190;;185;457.5;2;395.48;384.77;331.86;82.34;Yes;USA;NE;USAPL;IPF;2018-10-11;USA;WA;Spokane;Raw Nationals
Abbie Leschinsky;F;SBD;Raw;20.5;20-23;19-23;FR-Jr;92.8;84+;157.5;165;-170;;165;92.5;-97.5;-97.5;;92.5;175;-185;-185;;175;432.5;1;380.49;369.20;319.93;78.85;Yes;USA;NE;USAPL;IPF;2018-06-16;USA;IA;;Iowa State Championships
Abbie Leschinsky;F;SBD;Raw;20.5;20-23;19-23;FR-O;89.8;84+;140;155;157.5;;157.5;82.5;92.5;-97.5;;92.5;165;175;-182.5;;175;425;1;379.27;367.57;319.56;78.32;Yes;USA;NE;USAPL;IPF;2018-02-24;USA;NE;;Capital City Clash
Abbie Leschinsky;F;SBD;Raw;19.5;20-23;19-23;FR-C;88.4;84+;137.5;140;142.5;;142.5;80;87.5;-92.5;;87.5;155;162.5;-167.5;;162.5;392.5;3;352.73;341.74;297.54;72.73;Yes;USA;NE;USAPL;IPF;2017-04-07;USA;TX;;Collegiate National Championship
Abbie Leschinsky;F;SBD;Raw;19.5;20-23;19-23;FR-T3;92.1;84+;-145;145;-147.5;;145;80;87.5;-92.5;;87.5;150;157.5;165;;165;397.5;1;350.84;340.31;295.12;72.64;Yes;USA;NE;USAPL;IPF;2017-01-21;USA;NE;;Tenth Annual Capital City Clash
Abbie Leschinsky;F;SBD;Raw;19.5;20-23;19-23;FR-O;92.1;84+;-145;145;-147.5;;145;80;87.5;-92.5;;87.5;150;157.5;165;;165;397.5;1;350.84;340.31;295.12;72.64;Yes;USA;NE;USAPL;IPF;2017-01-21;USA;NE;;Tenth Annual Capital City Clash
Abbie Leschinsky;F;SBD;Raw;18.5;18-19;19-23;FR-T3;92.4;84+;-127.5;-127.5;-127.5;;;77.5;80;85;;85;135;140;145;;145;;DQ;;;;;Yes;USA;NE;USAPL;IPF;2016-01-23;USA;NE;;Ninth Annual Capitol City Clash
