Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Abby Hall;F;SBD;Raw;25.5;24-34;24-39;Open;62.6;63;-130;130;-137.5;;130;85;90;-92.5;;90;145;152.5;160;;160;380;1;410.29;410.08;362.14;83.48;Yes;Canada;AB;CPU;IPF;2020-09-25;Canada;AB;Calgary;Alberta Provincials
Abby Hall;F;SBD;Raw;25;24-34;24-39;Open;63;64;130;138;142;;142;83;88;90;;90;150;-161;-161;;150;382;3;410.85;410.25;362.26;83.58;Yes;Canada;;WP;WP;2019-10-03;Canada;AB;Calgary;World Championships
Abby Hall;F;SBD;Raw;24;24-34;24-39;Juniors 20-24;62.6;67.5;130;138;140;141;140;82.5;85.5;87.5;;87.5;152.5;163;-165;;163;390.5;1;421.62;421.41;372.14;85.79;Yes;Canada;;RAW-CAN;;2019-06-22;Canada;AB;Medicine Hat;Grind/Canadian Nationals
Abby Hall;F;B;Raw;24;24-34;24-39;Open;62.7;63;;;;;;85;90;92.5;;92.5;;;;;;92.5;12;99.78;99.70;88.04;77.39;Yes;Canada;;IPF;IPF;2019-05-18;Japan;;Tokyo;World Bench Press Championships
Abby Hall;F;B;Raw;24;24-34;24-39;Open;62.3;63;;;;;;;;;;90;;;;;;90;3;97.46;97.48;86.09;75.58;Yes;Canada;;CPU;IPF;2019-03-04;Canada;ON;Ottawa;National Championship
Abby Hall;F;SBD;Raw;23.5;24-34;24-39;Open;62.5;63;;;;;142.5;;;;;90;;;;;152.5;385;2;416.09;415.98;367.35;84.67;Yes;Canada;AB;CPU;IPF;2018-06-30;Canada;AB;Calgary;Alberta Provincial Championship
Abby Hall;F;SBD;Raw;23;20-23;24-39;Open;62.7;63;;;;;145;;;;;85;;;;;162.5;392.5;7;423.37;423.06;373.59;86.14;Yes;Canada;AB;CPU;IPF;2018-02-19;Canada;AB;Calgary;Canadian Championship
Abby Hall;F;SBD;Raw;22.5;20-23;19-23;Juniors;65.7;72;;;;;137.5;;;;;88;;;;;152.5;378;1;396.45;393.44;347.22;80.57;Yes;Canada;AB;CPU;IPF;2017-07-08;Canada;AB;Edmonton;Alberta Provincials
Abby Hall;F;SBD;Raw;22;20-23;19-23;Open;61.38;63;125;-132.5;132.5;;132.5;82.5;85;-87.5;;85;140;-147.5;147.5;;147.5;365;12;398.90;399.86;353.19;81.23;Yes;Canada;;IPF;IPF;2017-06-14;Belarus;;Minsk;World Classic Powerlifting Championships
Abby Hall;F;SBD;Raw;22;20-23;19-23;Juniors;62;63;;;;;135;;;;;85;;;;;150;370;4;401.86;402.23;355.24;81.80;Yes;Canada;NS;CPU;IPF;2017-03-13;Canada;QC;Saguenay;Canadian National Championship
Abby Hall;F;SBD;Raw;22;20-23;19-23;Juniors;62.8;63;;;;;137.5;;;;;83.5;;;;;142.5;363.5;1;391.71;391.33;345.56;79.69;Yes;Canada;AB;CPU;IPF;2016-11-12;Canada;AB;Edmonton;Powersurge
Abby Hall;F;SBD;Raw;21;20-23;19-23;Juniors;62.6;63;;;;;132.5;;;;;77.5;;;;;137.5;347.5;1;375.20;375.01;331.16;76.34;Yes;Canada;NS;CPU;IPF;2016-06-04;Canada;NS;Lower Sackville;Nova Scotia Provincials
Abby Hall;F;SBD;Raw;21;20-23;19-23;Juniors;62.9;63;;;;;135;;;;;75;;;;;132.5;342.5;1;368.72;368.27;325.20;75.01;Yes;Canada;NS;CPU;IPF;2016-02-15;Canada;SK;Regina;Canadian Championship
Abby Hall;F;SBD;Raw;20;20-23;19-23;Juniors;61.8;63;;;;;117.5;;;;;65;;;;;127.5;310;2;337.37;337.84;298.39;68.68;Yes;Canada;NS;CPU;IPF;2015-05-23;Canada;NS;Lower Sackville;Nova Scotia Provincial Championship
