Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Abhishek B. Horkeri;M;SBD;Single-ply;22;20-23;19-23;Open;156.7;120+;340;-350;360;;360;210;225;240;;240;282.5;292.5;300;;300;900;4;478.40;494.89;465.56;79.93;Yes;India;;PI;IPF;2021-02-17;India;;Coimbatore;Indian Powerlifting Championships
Abhishek B. Horkeri;M;SBD;Single-ply;21;20-23;19-23;Open;128.58;120+;-300;360;370;;370;-200;205;210;;210;265;272.5;282.5;;282.5;862.5;1;484.56;488.80;467.23;81.27;Yes;India;;PI;IPF;2019-12-20;India;;Indore;Federation Cup
Abhishek B. Horkeri;M;SBD;Single-ply;;;;Open;138.7;120+;340;360;370;;370;190;195;-200;;195;260;-270;-270;;260;825;3;453.31;461.67;439.12;75.82;Yes;India;;PI;IPF;2019-08-20;India;;Dinhata;Indian Powerlifting Championships
Abhishek B. Horkeri;M;SBD;Single-ply;21;20-23;19-23;Juniors;139.15;120+;;;;;355;;;;;202.5;;;;;272.5;830;1;455.64;464.23;441.46;76.21;Yes;India;;PI;IPF;2019-06-17;India;;Alappuzha;Indian Junior Powerlifting Championships
Abhishek B. Horkeri;M;SBD;Single-ply;20;20-23;19-23;Juniors;130.93;120+;;;;;305;;;;;205;;;;;277.5;787.5;1;440.01;444.84;424.76;73.75;Yes;India;;AsianPF;IPF;2019-05-21;Hong Kong;;;Asian Powerlifting Championships
Abhishek B. Horkeri;M;SBD;Single-ply;20;20-23;19-23;Open;140.1;120+;;;;;345;;;;;197.5;;;;;255;797.5;1;436.96;445.60;423.53;73.07;Yes;India;;PI;IPF;2019-01-31;India;;Kolkata;Federation Cup
Abhishek B. Horkeri;M;B;Raw;20;20-23;19-23;Juniors;140.3;120+;;;;;;135;145;157.5;;157.5;;;;;;157.5;3;86.26;87.98;83.62;62.36;Yes;India;;PI;IPF;2018-11-14;India;;Pune;Indian Bench Press Championships
Abhishek B. Horkeri;M;B;Single-ply;20;20-23;19-23;Juniors;140.2;120+;;;;;;185;190;-200;;190;;;;;;190;1;104.08;106.15;100.89;53.40;Yes;India;;PI;IPF;2018-11-14;India;;Pune;Indian Bench Press Championships
Abhishek B. Horkeri;M;SBD;Single-ply;20;20-23;19-23;Juniors;140.3;120+;;;;;320;;;;;185;;;;;250;755;3;413.51;421.76;400.83;69.15;Yes;India;;PI;IPF;2018-10-21;India;;Patiala;Indian Juniors Powerlifting Championships
Abhishek B. Horkeri;M;SBD;Single-ply;20;20-23;19-23;Open;140.4;120+;;;;;280;;;;;185;;;;;250;715;9;391.52;399.38;379.53;65.47;Yes;India;;PI;IPF;2018-08-25;India;;Sattenapalli;Indian Powerlifting Championships
Abhishek B. Horkeri;M;B;Single-ply;19;18-19;19-23;Juniors;132.21;120+;;;;;;110;120;-130;;120;;;;;;120;3;66.86;67.67;64.58;34.25;Yes;India;;PI;IPF;2018-03-16;India;;Ranchi;Indian Bench Press Championships
Abhishek B. Horkeri;M;B;Raw;19;18-19;19-23;Juniors;131.7;120+;;;;;;110;120;125;;125;;;;;;125;2;69.72;70.54;67.33;50.74;Yes;India;;PI;IPF;2018-03-16;India;;Ranchi;Indian Bench Press Championships
