Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Abram Ramirez;M;B;Single-ply;;18-19;;Teen 18-19;100;100;;;;;;;;;;102.5;;;;;;102.5;1;63.09;62.38;59.58;32.59;Yes;USA;TX;WABDL;;2016-05-28;USA;TX;McCallen;Magic Valley BP & DL
Abram Ramirez;M;BD;Single-ply;;18-19;;Teen 18-19;100;100;;;;;;;;;;102.5;;;;;237.5;339.5;1;208.97;206.62;197.34;;Yes;USA;TX;WABDL;;2016-05-28;USA;TX;McCallen;Magic Valley BP & DL
Abram Ramirez;M;D;Single-ply;;18-19;;Teen 18-19;100;100;;;;;;;;;;;;;;;237.5;237.5;1;146.18;144.54;138.05;;Yes;USA;TX;WABDL;;2016-05-28;USA;TX;McCallen;Magic Valley BP & DL
Abram Ramirez;M;SBD;Single-ply;;;;Div 2;89.81;89.8;;;;;283.5;;;;;204.12;;;;;249.48;737.09;1;477.11;471.06;451.51;81.43;Yes;USA;;THSPA;;2016-04-02;USA;TX;Abilene;Boys State
Abram Ramirez;M;SBD;Single-ply;;;;Boys;89.81;89.8;;;;;294.84;;;;;215.46;;;;;226.8;737.09;1;477.11;471.06;451.51;81.43;Yes;USA;;THSPA;;2016-03-11;USA;TX;West Oso;Region 5 Division 2 Meet
Abram Ramirez;M;SBD;Single-ply;;;;Boys;89.81;89.8;;;;;306.17;;;;;201.85;;;;;256.28;764.3;1;494.72;488.45;468.17;84.44;Yes;USA;;THSPA;;2016-02-27;USA;TX;Raymondville;Raymondville Invitational
Abram Ramirez;M;SBD;Single-ply;;;;Boys;89.77;89.8;;;;;272.16;;;;;195.04;;;;;240.4;707.6;1;458.13;452.32;433.55;78.19;Yes;USA;;THSPA;;2016-01-23;USA;TX;Brownsville;4th Annual Viking Invitational
Abram Ramirez;M;SBD;Single-ply;17;16-17;14-18;Juniors 16-17;90;90;;;;;250;;;;;147.5;;;;;227.5;625;1;404.13;399.00;382.40;68.97;;USA;TX;USPA;IPL;2015-07-18;USA;TX;Brownsville;2nd Annual Hardknox Powerlifting Meet
Abram Ramirez;M;SBD;Single-ply;;;;Div 2;81.01;82.1;;;;;238.14;;;;;156.49;;;;;249.48;644.1;5;440.89;436.30;420.15;75.45;Yes;USA;;THSPA;;2015-03-28;USA;TX;Abilene;State Championship
Abram Ramirez;M;SBD;Single-ply;;;;Boys;81.19;82.1;;;;;238.14;;;;;151.95;;;;;244.94;635.03;2;434.12;429.56;413.63;74.29;Yes;USA;;THSPA;;2015-03-14;USA;TX;Bishop;Region V Division 2
Abram Ramirez;M;SBD;Single-ply;;;;Boys;82.33;89.8;;;;;226.8;;;;;156.49;;;;;240.4;623.69;1;422.98;418.33;402.55;72.36;Yes;USA;;THSPA;;2015-02-28;USA;TX;Santa Rosa Texas;Santa Rosa boys qualifier
Abram Ramirez;M;SBD;Single-ply;;;;Boys;82.1;82.1;;;;;222.26;;;;;145.15;;;;;238.14;605.55;2;411.33;406.85;391.56;70.38;Yes;USA;;THSPA;;2015-01-31;USA;TX;Santa Rosa Texas;Santa Rosa Warriors Powerlifting Classic
Abram Ramirez;M;SBD;Single-ply;;;;Boys;81.74;82.1;;;;;204.12;;;;;136.08;;;;;224.53;564.72;4;384.56;380.43;366.20;65.80;Yes;USA;;THSPA;;2015-01-24;USA;TX;Brownsville;Pace Invitational Meet
Abram Ramirez;M;SBD;Single-ply;;;;Boys;80.92;82.1;;;;;215.46;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2015-01-14;USA;TX;Donna;Donna Invitational
Abram Ramirez;M;SBD;Raw;21;20-23;19-23;Juniors 20-23;85.33;90;;;;;217.5;;;;;105;;;;;265;587.5;1;390.60;385.93;370.76;80.20;;USA;TX;USPA;IPL;2014-05-31;USA;TX;El Paso;Sun City Classic
Abram Ramirez;M;SBD;Single-ply;;;;Boys;79.47;82.1;;;;;238.14;;;;;145.15;;;;;224.53;607.81;4;420.77;416.70;401.62;72.03;Yes;USA;;THSPA;;2014-03-08;USA;TX;Kingsville;Region 5 Division II Meet
Abram Ramirez;M;SBD;Single-ply;;;;Boys;80.47;82.1;;;;;219.99;;;;;142.88;;;;;219.99;582.87;2;400.54;396.46;381.91;68.55;Yes;USA;;THSPA;;2014-02-22;USA;TX;Lyford;Region 5/Division 2 Meet
