Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ádám Adorján;M;SBD;Wraps;25;24-34;24-39;MO;109.7;110;260;-285;285;;285;145;155;-162.5;;155;285;300;-312.5;;300;740;3;438.73;435.85;416.53;89.54;;Hungary;;HPC;WPC;2020-09-19;Hungary;;Cross;Magyar Professzionális Erőemelő Liga Kupa & Elit Show
Ádám Adorján;M;SBD;Wraps;24;24-34;24-39;O;111.4;125;-260;260;285;;285;140;150;160;;160;275;-300;300;;300;745;8;439.16;436.76;417.60;89.52;;Hungary;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Ádám Adorján;M;SBD;Wraps;23;20-23;;J;109.5;110;260;285;;;285;140;150;-155;;150;270;300;-310;;300;735;2;436.07;433.15;413.93;89.01;;Hungary;;GPC;GPC;2019-05-20;Hungary;;Tiszakécske;European Championships
Ádám Adorján;M;SBD;Wraps;23;20-23;;MJ;109.5;110;260;270;-280;;270;140;150;;;150;260;280;300;;300;720;2;427.17;424.31;405.48;87.19;;Hungary;;HPC;WPC;2019-05-03;Hungary;;Cross;Magyar Professzionális Erőemelő Liga Kupa & Elit Show
Ádám Adorján;M;SBD;Wraps;23;20-23;;Open;105.4;110;260;270;280;;280;140;150;-155;;150;270;290;-300;;290;720;4;433.57;429.67;410.30;88.74;;Hungary;;WUAP;WUAP;2018-10-15;Slovakia;;Trnava;World Championships
Ádám Adorján;M;SBD;Wraps;23;20-23;;J;107.8;110;260;285;300;;300;140;150;155;;155;270;-300;-300;;270;725;2;432.72;429.39;410.18;88.43;;Hungary;;GPC;GPC;2018-09-16;Hungary;;Eger;World Championships
Ádám Adorján;M;D;Raw;20;20-23;19-23;MJ;97.8;100;;;;;;;;;;;255;265;270;;270;270;1;167.82;165.83;158.46;;;Hungary;;HPC;WPC;2018-08-03;Hungary;;Siófok;Scitec Raw Power
Ádám Adorján;M;D;Raw;20;20-23;19-23;MO;97.8;100;;;;;;;;;;;255;265;270;;270;270;4;167.82;165.83;158.46;;;Hungary;;HPC;WPC;2018-08-03;Hungary;;Siófok;Scitec Raw Power
Ádám Adorján;M;SBD;Wraps;22;20-23;19-23;MJ;105.6;110;240;260;-270;;260;135;140;145;;145;250;275;-285;;275;680;2;409.17;405.53;387.26;83.73;;Hungary;;HPC;WPC;2018-05-11;Hungary;;Füzesgyarmat;Magyar Professzionális Erőemelő Liga Kupa
Ádám Adorján;M;SBD;Wraps;22;20-23;19-23;Juniors;107.5;110;260;270;280;;280;135;145;;;145;285;295;-302.5;;295;720;3;430.20;426.82;407.70;87.93;;Hungary;;WUAP;WUAP;2017-10-17;Czechia;;Prague;World Championships
Ádám Adorján;M;SBD;Wraps;22;20-23;19-23;Juniors;100;100;250;260;;;260;125;-135;-135;;125;270;-285;-287.5;;270;655;2;403.16;398.63;380.73;82.75;;Hungary;;WUAP;WUAP;2017-06-13;Austria;;Telfs;European Championships
Ádám Adorján;M;SBD;Wraps;20.5;20-23;19-23;J;96.2;100;215;225;-235;;225;125;130;132.5;;132.5;-230;230;250;;250;607.5;5;380.43;375.77;359.23;78.18;;Hungary;;GPC;GPC;2016-09-18;Serbia;;Knjaževac;World Championships
Ádám Adorján;M;D;Raw;21;20-23;19-23;MJ;99.6;100;;;;;;;;;;;240;265;-282.5;;265;265;1;163.40;161.54;154.30;;;Hungary;;HPC;WPC;2016-08-05;Hungary;;Siófok;Scitec Raw Power
Ádám Adorján;M;SBD;Wraps;21;20-23;19-23;Juniors;97.5;100;235;-240;245;;245;130;140;145;;145;-265;265;280;;280;670;2;417.03;412.04;393.75;85.67;;Hungary;;WUAP;WUAP;2016-06-15;Hungary;;Gyula;European Championships
Ádám Adorján;M;SBD;Wraps;20;20-23;19-23;MJ;97.8;100;-235;240;-245;;240;125;135;-145;;135;255;265;270;;270;645;3;400.91;396.14;378.53;82.35;;Hungary;;HPC;WPC;2014-09-27;Hungary;;Gyula;Fekvenyomó és Erőemelő Magyar Bajnokság
