Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Berry #1;M;SBD;Raw;41.5;40-44;40-49;MR-M1;117.8;120;260;280;300;;300;-150;150;-157.5;;150;255;275;295;;295;745;1;430.54;430.22;412.13;87.31;Yes;England;;BP;IPF;2022-06-18;N.Ireland;;Belfast;British Masters Championships
Adam Berry #1;M;SBD;Raw;40.5;40-44;40-49;MR-M1;120;120;275;295;307.5;;307.5;155;165;170;;170;255;270;285;;285;762.5;1;437.91;438.38;420.08;88.64;Yes;England;EM;BP;IPF;2021-07-24;England;;Moulton;British Classic Masters Powerlifting Championships
Adam Berry #1;M;SBD;Raw;39.5;35-39;40-49;Masters 1;119.35;120;270;290;305;;305;155;-162.5;162.5;;162.5;260;280;-300;;280;747.5;1;430.07;430.30;412.32;87.10;Yes;England;;EPF;IPF;2020-03-09;France;;Albi;European Masters Classic Powerlifting Championships
Adam Berry #1;M;SBD;Raw;38.5;35-39;24-39;M-C-G;121.8;120+;275;295;310;;310;160;170;172.5;;172.5;270;285;300;;300;782.5;G;447.19;448.36;429.62;90.38;Yes;England;;BP;IPF;2019-10-26;UK;;Lincoln;British Masters Classic Powerlifting Championships
Adam Berry #1;M;SBD;Raw;38.5;35-39;24-39;MR-O;122.7;120+;260;280;300;;300;155;165;-175;;165;260;280;295;;295;760;1;433.30;434.77;416.52;87.50;Yes;England;EM;EPA;IPF;2019-09-15;England;;;East Midlands Bitesize
Adam Berry #1;M;SBD;Raw;36.5;35-39;24-39;M-C-Open;119.5;120;265;280;290;;290;155;165;170;;170;270;280;290;;290;750;6;431.33;431.61;413.58;87.34;Yes;England;;BP;IPF;2017-10-21;UK;;;British Men's Classic Championships
Adam Berry #1;M;SBD;Raw;36.5;35-39;24-39;M-C-Open;116.9;120;270;-280;-285;;270;155;160;162.5;;162.5;270;275;-280;;275;707.5;3;409.94;409.35;392.05;83.19;Yes;England;;EPA;IPF;2017-05-27;England;;;All England Championships
Adam Berry #1;M;SBD;Raw;36.5;35-39;24-39;M-C-Open;116.4;120;260;270;280;;280;-155;155;160;;160;260;272.5;-285;;272.5;712.5;1;413.45;412.69;395.20;83.94;Yes;England;EM;EPA;IPF;2017-04-09;England;;Cambridge;EM Anglian Open
Adam Berry #1;M;SBD;Raw;35.5;35-39;24-39;M-C-Open;115.2;120;250;260;-270;;260;150;160;-162.5;;160;250;260;270;;270;690;3;401.85;400.74;383.62;81.67;Yes;England;;EPA;IPF;2016-08-06;England;;Moulton;All England Powerlifting Championships
Adam Berry #1;M;SBD;Raw;35.5;35-39;24-39;M-C-Open;114.8;120;220;240;250;;250;140;-150;-155;;140;220;235;245;;245;635;3;370.27;369.14;353.33;75.27;Yes;England;EM;EPA;IPF;2016-04-10;England;;Colchester;Anglian Powerlifting Championships
