Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Cavallaro;M;SBD;Raw;22;20-23;19-23;MR-O;82.4;83;210;227.5;-230;;227.5;140;147.5;-152.5;;147.5;265;290;302.5;;302.5;677.5;1;459.25;454.19;437.05;94.13;Yes;USA;NJ;USAPL;IPF;2020-02-09;USA;NJ;;Garden State Winter War
Adam Cavallaro;M;SBD;Raw;21.5;20-23;19-23;MR-O;91.3;93;215;235;245;;245;145;160;167.5;;167.5;275;300;320;;320;732.5;3;470.26;464.28;444.69;96.70;Yes;USA;NJ;USAPL;IPF;2019-08-24;USA;PA;;Mid-Atlantic Regionals
Adam Cavallaro;M;SBD;Raw;21.5;20-23;19-23;MR-O;91.5;93;225;242.5;250;;250;145;160;165;;165;282.5;302.5;317.5;;317.5;732.5;1;469.75;463.78;444.17;96.59;Yes;USA;NJ;USAPL;IPF;2019-06-01;USA;NJ;;New Jersey State Championship
Adam Cavallaro;M;SBD;Raw;20.5;20-23;19-23;MR-O;87.9;93;215;232.5;;;232.5;145;160;165;;165;280;287.5;-290;;287.5;685;2;448.31;442.71;424.74;92.14;Yes;USA;NJ;USAPL;IPF;2018-06-24;USA;NJ;;New Jersey State Championship
Adam Cavallaro;M;SBD;Raw;20;20-23;19-23;MR-O;86.5;93;215;-232.5;232.5;;232.5;152.5;165;-167.5;;165;280;-300;-300;;280;677.5;1;447.16;441.69;424.07;91.86;Yes;USA;NJ;USAPL;IPF;2018-02-11;USA;NJ;;Garden State Winter War
Adam Cavallaro;M;SBD;Raw;19.5;20-23;19-23;MR-O;86.2;93;210;225;230;;230;145;162.5;-165;;162.5;277.5;287.5;-295;;287.5;680;2;449.64;444.17;426.52;92.36;Yes;USA;NJ;USAPL;IPF;2017-08-04;USA;NJ;;Mid-Atlantic Regional Championship
Adam Cavallaro;M;SBD;Raw;19.5;20-23;19-23;MR-O;86.5;93;207.5;215;227.5;;227.5;150;160;165;;165;277.5;290;297.5;;297.5;690;1;455.41;449.83;431.89;93.55;Yes;USA;NJ;USAPL;IPF;2017-06-03;USA;NJ;;New Jersey State Championships
Adam Cavallaro;M;SBD;Raw;19;18-19;19-23;MR-O;89.1;93;207.5;227.5;-232.5;;227.5;135;152.5;157.5;;157.5;272.5;287.5;295;;295;680;1;441.93;436.36;418.39;90.85;Yes;USA;NJ;USAPL;IPF;2017-01-22;USA;NJ;;Garden State Winter War
Adam Cavallaro;M;SBD;Wraps;18.5;18-19;19-23;Amateur Teen 18-19;88.54;90;;;;;224.53;;;;;158.76;;;;;288.03;671.32;1;437.71;432.21;414.53;89.97;Yes;USA;;RPS;;2016-11-12;USA;NJ;Newark;Autumn Apocalypse
Adam Cavallaro;M;SBD;Raw;18.5;18-19;19-23;MR-O;88.2;93;185;197.5;225;;225;142.5;152.5;160;;160;265;272.5;280;;280;665;1;434.45;429.01;411.53;89.29;Yes;USA;NJ;USAPL;IPF;2016-09-25;USA;NJ;Township;New Jersey Heavy Metal Classic
Adam Cavallaro;M;SBD;Raw;18.5;18-19;19-23;MR-T3;81.6;83;177.5;192.5;-197.5;;192.5;122.5;135;-142.5;;135;250;260;-265;;260;587.5;1;400.47;396.19;381.40;82.03;Yes;USA;NJ;USAPL;IPF;2016-06-05;USA;NJ;;New Jersey Summer Classic
Adam Cavallaro;M;SBD;Raw;18;18-19;19-23;17-19;82.5;82.5;;;;;192.78;;;;;138.35;;;;;265.35;596.47;1;404.04;399.58;384.47;82.82;Yes;USA;NJ;WNPF;;2016-02-28;USA;NJ;Bordentown;Raw & Raw Classic Nationals
Adam Cavallaro;M;D;Raw;17;16-17;14-18;Teen 16-17;80.2;82.5;;;;;;;;;;;;;;;250;250;1;172.13;170.41;164.17;;Yes;USA;NJ;RAW;;2015-03-07;USA;NJ;Sicklerville;Bragging Rights
