Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Deibert;M;SBD;Raw;20.5;20-23;19-23;Juniors;100.2;105;190;-200;200;;200;-130;130;-135;;130;260;-272.5;272.5;;272.5;602.5;2;370.53;366.38;349.93;76.04;Yes;Canada;SK;CPU;IPF;2021-10-01;Canada;SK;Moose Jaw;Saskatchewan Provincials
Adam Deibert;M;SBD;Raw;18.5;18-19;19-23;Juniors;97.86;105;190;200;-210;;200;125;-132.5;-132.5;;125;250;265;-272.5;;265;590;2;366.63;362.27;346.16;75.31;Yes;Canada;SK;CPU;IPF;2019-10-25;Canada;SK;Weyburn;Saskatchewan Provincials
Adam Deibert;M;SBD;Raw;18.5;18-19;19-23;Juniors;91.83;93;195;-207.5;-207.5;;195;127.5;-130;-130;;127.5;240;-250;250;;250;572.5;5;366.50;361.84;346.49;75.36;Yes;Canada;SK;CPU;IPF;2019-09-06;Canada;SK;Saskatoon;Western Canadians
Adam Deibert;M;SBD;Raw;18.5;18-19;19-23;Juniors;88.2;93;;;;;205;;;;;130;;;;;265;600;14;391.98;387.07;371.30;80.57;Yes;Canada;SK;CPU;IPF;2019-03-04;Canada;ON;Ottawa;National Championship
Adam Deibert;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;90.8;93;;;;;205;;;;;125;;;;;260;590;1;379.81;374.98;359.24;78.09;Yes;Canada;SK;CPU;IPF;2018-09-29;Canada;SK;Regina;Saskatchewan Provincials
Adam Deibert;M;SBD;Raw;17.5;18-19;14-18;Sub-Juniors;88.6;93;;;;;195;;;;;127.5;;;;;235;557.5;3;363.37;358.80;344.11;74.69;Yes;Canada;SK;CPU;IPF;2018-02-19;Canada;AB;Calgary;Canadian Championship
Adam Deibert;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;89.8;93;;;;;182.5;;;;;132.5;;;;;227.5;542.5;1;351.17;346.72;332.33;72.20;Yes;Canada;SK;CPU;IPF;2017-12-30;Canada;SK;Moose Jaw;Last Chance Open
Adam Deibert;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;88;93;;;;;160;;;;;120;;;;;210;490;3;320.50;316.49;303.63;65.87;Yes;Canada;SK;CPU;IPF;2017-09-08;Canada;MB;Winnipeg;Western Canadian Championship
Adam Deibert;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;86.7;93;;;;;147.5;;;;;112.5;;;;;190;450;1;296.64;293.00;281.28;60.94;Yes;Canada;SK;CPU;IPF;2017-04-16;Canada;SK;Saskatoon;Synergy Open
Adam Deibert;M;SBD;Raw;16.5;16-17;14-18;Sub-Juniors;85.9;93;;;;;145;;;;;110;;;;;182.5;437.5;2;289.83;286.32;274.99;59.53;Yes;Canada;SK;CPU;IPF;2017-01-28;Canada;SK;Regina;University of Saskatchewan Open
