Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Earnest;M;B;Raw;;;;Open;75;75;;;;;;;;;;176.9;;;;;;176.9;1;126.91;126.05;121.80;93.67;;;;USPF;IPF;1985-02-23;USA;NJ;Deptford;New Jersey Cup Bench
Adam Earnest;M;B;Raw;;;;Open;78.47;82.5;;;;;;;;;;188.24;;;;;;188.24;2;131.30;130.11;125.47;97.34;;;;USPF;IPF;1984-12-16;USA;PA;Reading;Millards Fitness Open Bench
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;149.69;;;;;;149.69;5;115.37;115.41;112.03;83.87;;;;USPF;IPF;1984-07-14;USA;DE;Rehobath Beach;Biggest Bench on the Beach
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;142.88;;;;;;142.88;3;110.12;110.16;106.93;80.06;;;;USPF;IPF;1983-12-17;USA;NJ;Deptford;South Jersey Bench Press
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;;;;;;;;DQ;;;;;;;;USPF;IPF;1983-07-09;USA;DE;Rehobath Beach;Biggest Bench on the Beach Contest
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;136.08;;;;;;136.08;1;104.88;104.92;101.84;76.25;;;;USPF;IPF;1983-04-17;USA;VA;Woodbridge;Middle Atlantic Open Bench Press
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;132.5;;;;;;132.5;1;102.12;102.16;99.17;74.24;;;;USPF;IPF;1983-04-10;USA;NJ;Randolph;Open/Masters Bench
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;131.54;;;;;;131.54;2;101.38;101.42;98.45;73.70;;;;USPF;IPF;1983-02-20;USA;PA;Allentown;Lehigh Valley Open Bench Press
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;140.61;;;;;;140.61;3;108.37;108.41;105.23;78.78;;;;USPF;IPF;1982-11-27;USA;FL;Ft. Lauderdale;Fort Lauderdale BP Championships
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;135.98;;;;;;135.98;4;104.81;104.84;101.77;76.19;;;;USPF;IPF;1982-10-16;USA;NJ;Almonesson;Northeastern Coast Bench Press
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;136.08;;;;;;136.08;1;104.88;104.92;101.84;76.25;;;;USPF;IPF;1982-06-12;USA;NJ;Wildwood;Bench Press Meet
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;132.5;;;;;;132.5;2;102.12;102.16;99.17;74.24;;;;USPF;IPF;1982-05-15;USA;NJ;Wildwood;Bench Press Meet
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;127.01;;;;;;127.01;4;97.89;97.93;95.06;71.16;;;;USPF;IPF;1982-04-17;USA;NJ;Deptford;Atlantic Coast Bench Press Championships
Adam Earnest;M;B;Raw;;;;Open;67.5;67.5;;;;;;;;;;127.01;;;;;;127.01;5;97.89;97.93;95.06;71.16;;;;USPF;IPF;1982-02-13;USA;NJ;Deptford;Northeastern Coast Bench Press
