Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Hamilton;M;SBD;Raw;23;20-23;24-39;M-O;73.6;74;210;212.5;-222.5;;212.5;-125;-125;125;;125;230;240;-247.5;;240;577.5;3;419.39;417.01;403.26;85.02;Yes;;;IrishPF;IPF;2022-06-11;N.Ireland;;Belfast;June Open
Adam Hamilton;M;SBD;Raw;;;;MR-O;73.6;74;212.5;-222.5;-222.5;;212.5;120;125;-130;;125;227.5;235;245;;245;582.5;13;423.02;420.62;406.75;85.76;Yes;England;GL;BP;IPF;2022-03-12;England;;Colchester;British Classic Men's Championships
Adam Hamilton;M;SBD;Raw;;;;MR-O;73.9;74;205;215;-225;;215;115;122.5;-125;;122.5;210;232.5;-245;;232.5;570;3;412.84;410.40;396.80;83.74;Yes;England;;EPA;IPF;2021-11-14;UK;;London;Greater London Men's Divisional Championships
Adam Hamilton;M;SBD;Raw;;;;MR-O;73.9;74;200;210;-222.5;;210;115;120;-125;;120;220;230;-235;;230;560;2;405.60;403.20;389.84;82.27;Yes;England;GL;EPA;IPF;2020-03-15;England;;London;Greater London March Divisional
Adam Hamilton;M;SBD;Raw;;;;MR-O;73.6;74;-205;-205;205;;205;-115;115;-120;;115;200;210;-215;;210;530;11;384.89;382.71;370.09;78.03;Yes;England;GL;BP;IPF;2019-08-31;UK;;Dover;Men's British Classic Championships
Adam Hamilton;M;SBD;Raw;34.5;24-34;24-39;MR-O;126.1;120+;220;-230;-230;;220;130;135;-140;;135;235;250;265;;265;620;3;350.42;352.68;337.44;70.55;Yes;USA;OR;USAPL;IPF;2019-07-06;USA;OR;;Kabuki Strength Summer Classic
Adam Hamilton;M;SBD;Raw;;;;MR-O;73.6;74;200;210;220;;220;110;115;-122.5;;115;190;210;-212.5;;210;545;1;395.79;393.54;380.56;80.24;Yes;England;GL;EPA;IPF;2019-03-30;England;;Dover;South East Classic
Adam Hamilton;M;SBD;Raw;25.5;24-34;24-39;MR-O;91.6;93;227.5;242.5;-250;;242.5;140;147.5;-150;;147.5;235;247.5;-257.5;;247.5;637.5;1;408.61;403.41;386.34;84.02;Yes;USA;FL;USAPL;IPF;2017-04-22;USA;FL;;Capital City Barbell Raw Powerlifting Championship
Adam Hamilton;M;SBD;Raw;24.5;24-34;24-39;MR-O;91.6;93;222.5;235;245;;245;135;145;150;;150;227.5;242.5;252.5;;252.5;647.5;3;415.02;409.74;392.40;85.34;Yes;USA;FL;USAPL;IPF;2016-07-23;USA;FL;;5th Annual Central Florida Powerlifting Championships
Adam Hamilton;M;SBD;Raw;23.5;24-34;24-39;MR-O;91.3;93;215;230;237.5;;237.5;132.5;140;-145;;140;220;232.5;242.5;;242.5;620;5;398.04;392.97;376.39;81.84;Yes;;;USAPL;IPF;2015-12-13;USA;FL;;Southeastern USA Regional Championships
Adam Hamilton;M;SBD;Raw;23.5;24-34;24-39;MR-Jr;89.3;93;;;;;217.5;;;;;130;;;;;230;577.5;2;374.89;370.15;354.87;77.07;Yes;;;USAPL;IPF;2015-02-21;USA;AL;;Alabama State Powerlifting Championship
