Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Jones #1;M;SBD;Raw;34;24-34;24-39;MR-O;92.9;93;275;-295;295;;295;147.5;-157.5;-157.5;;147.5;302.5;-317.5;317.5;;317.5;760;1;483.80;477.67;457.20;99.48;Yes;;;APU;IPF;2022-05-01;Australia;WA;Perth;WA State Classic and Equipped Powerlifting and Bench Press Championships
Adam Jones #1;M;SBD;Raw;34;24-34;24-39;Open;92.55;93;280;295;-305;;295;145;152.5;157.5;;157.5;305;317.5;-330;;317.5;770;1;491.06;484.83;464.12;100.97;Yes;;;PS;IPF;2021-10-20;Singapore;;;Singapore Powerlifting Open
Adam Jones #1;M;SBD;Raw;32;24-34;24-39;Open;88.25;93;265;280;290;;290;135;145;150;;150;305;320;-337.5;;320;760;G;496.37;490.15;470.17;102.02;Yes;;;APU;IPF;2019-11-07;Australia;WA;Perth;Classic Nationals
Adam Jones #1;M;SBD;Raw;31;24-34;24-39;Open;82.85;83;245;260;262.5;;262.5;132.5;140;-145;;140;287.5;305;320;;320;722.5;14;488.25;482.79;464.45;100.10;Yes;Singapore;;IPF;IPF;2019-06-04;Sweden;;Helsingborg;World Classic Powerlifting Championships
Adam Jones #1;M;SBD;Raw;30;24-34;24-39;Open;82.71;83;-237.5;237.5;255;;255;125;135;140;;140;275;292.5;302.5;;302.5;697.5;6;471.80;466.55;448.86;96.72;Yes;Singapore;;IPF;IPF;2018-06-06;Canada;;Calgary;World Classic Powerlifting Championships
Adam Jones #1;M;SBD;Raw;30;24-34;24-39;Open;82.95;83;242.5;255;260;;260;130;135;-137.5;;135;275;287.5;295;;295;690;3;465.97;460.74;443.21;95.54;Yes;;;PA;IPF;2017-10-13;Australia;VIC;Melbourne;Australia National Open Championships
Adam Jones #1;M;SBD;Raw;29;24-34;24-39;Open;82.4;83;240;247.5;-252.5;;247.5;127.5;-132.5;-132.5;;127.5;275;287.5;-295;;287.5;662.5;19;449.08;444.14;427.37;92.04;Yes;Australia;;IPF;IPF;2017-06-14;Belarus;;Minsk;World Classic Powerlifting Championships
Adam Jones #1;M;D;Raw;29;24-34;24-39;Open;85.4;93;;;;;;;;;;;-270;292.5;-300;;292.5;292.5;1;194.38;192.05;184.50;;Yes;;;PA;IPF;2017-04-30;Australia;NSW;Sydney;Pro Deadlift
Adam Jones #1;M;SBD;Raw;29;24-34;24-39;Open;83;83;242.5;252.5;-257.5;;252.5;125;130;132.5;;132.5;275;285;290;;290;675;1;455.68;450.56;433.41;93.44;Yes;;;PA;IPF;2017-04-28;Australia;NSW;Sydney;Sydney Open
Adam Jones #1;M;SBD;Raw;29;24-34;24-39;Open;83;83;242.5;252.5;-257.5;;252.5;127.5;-132.5;-132.5;;127.5;275;285;-290;;285;665;1;448.93;443.89;426.99;92.05;Yes;;;PA;IPF;2017-02-05;Australia;VIC;Melbourne;New Year Strength Challenge
Adam Jones #1;M;SBD;Raw;29;24-34;24-39;Open;82.95;83;232.5;242.5;250;;250;122.5;127.5;-130;;127.5;262.5;272.5;-282.5;;272.5;650;4;438.96;434.03;417.52;90.00;Yes;;;PA;IPF;2016-10-21;Australia;QLD;Brisbane;Australian Open Championships
Adam Jones #1;M;SBD;Raw;28;24-34;24-39;Open;81.9;83;215;227.5;240;;240;112.5;122.5;-125;;122.5;245;270;282.5;;282.5;645;1;438.74;433.99;417.73;89.89;Yes;;;PA;IPF;2016-08-05;Australia;VIC;Melbourne;Melbourne Open
Adam Jones #1;M;SBD;Raw;27;24-34;24-39;Open;84.2;93;180;190;-200;;190;-107.5;107.5;-117.5;;107.5;217.5;230;240;;240;537.5;4;359.97;355.78;342.01;73.87;Yes;;;PA;IPF;2014-10-25;Australia;WA;Perth;Clash of Clans
