Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Keane;M;SBD;Raw;25;24-34;24-39;M-O;88.3;93;;;;;255;;;;;142.5;;;;;267.5;665;6;434.19;428.75;411.26;89.24;Yes;Ireland;;IrishPF;IPF;2019-02-09;Ireland;;;National Championships
Adam Keane;M;SBD;Raw;24.5;24-34;24-39;M-O;90;93;;;;;260;;;;;145;;;;;255;660;2;426.76;421.34;403.81;87.74;Yes;Ireland;;IrishPF;IPF;2018-10-20;Ireland;;;October Open
Adam Keane;M;SBD;Raw;24;24-34;24-39;M-O;82.6;83;;;;;252.5;;;;;140;;;;;265;657.5;4;445.08;440.14;423.48;91.24;Yes;Ireland;;IrishPF;IPF;2018-02-10;Ireland;;;National Championships
Adam Keane;M;SBD;Raw;23.5;24-34;24-39;M-O;83;83;;;;;245;;;;;137.5;;;;;272.5;655;1;442.18;437.21;420.57;90.67;Yes;Ireland;;IrishPF;IPF;2017-11-04;Ireland;;Dublin;November Open
Adam Keane;M;SBD;Raw;23;20-23;24-39;M-O;83;83;;;;;255.5;;;;;132.5;;;;;275;663;1;447.58;442.55;425.70;91.78;Yes;Ireland;;IrishPF;IPF;2017-07-29;Ireland;;;National Championships
Adam Keane;M;SBD;Raw;23;20-23;24-39;Open;82.7;83;-245;245;250;;250;120;127.5;130;;130;260;270;-277.5;;270;650;23;439.70;434.81;418.33;90.14;Yes;Ireland;;IPF;IPF;2017-06-14;Belarus;;Minsk;World Classic Powerlifting Championships
Adam Keane;M;SBD;Raw;23;20-23;24-39;Open;82.34;83;235;242.5;247.5;;247.5;117.5;125;130;;130;250;262.5;-272.5;;262.5;640;16;434.01;429.24;413.05;88.95;Yes;Ireland;;EPF;IPF;2017-03-12;Denmark;;Thisted;European Classic Powerlifting Championships
Adam Keane;M;SBD;Raw;22;20-23;19-23;Juniors;82;83;220;230;235;;235;110;117.5;122.5;;122.5;-245;-245;245;;245;602.5;11;409.54;405.10;389.89;83.92;Yes;Ireland;;IPF;IPF;2016-06-19;USA;TX;Killeen;World Classic Powerlifting Championships
Adam Keane;M;SBD;Raw;22;20-23;19-23;M-U23;82.4;83;212.5;222.5;230;;230;110;117.5;-120;;117.5;-235;235;-252.5;;235;582.5;1;394.85;390.50;375.76;80.93;Yes;Ireland;;IrishPF;IPF;2016-02-27;Ireland;;;National Championships
Adam Keane;M;SBD;Raw;21;20-23;19-23;M-U23;73.6;74;;;;;215;;;;;100;;;;;237.5;552.5;1;401.23;398.96;385.80;81.34;Yes;Ireland;;IrishPF;IPF;2015-08-08;Ireland;;;Open Championships
Adam Keane;M;SBD;Raw;21;20-23;19-23;M-U23;75.9;83;207.5;222.5;-240;;222.5;102.5;-107.5;-107.5;;102.5;240;250;255;;255;580;1;412.97;409.90;395.86;84.04;Yes;Ireland;;IrishPF;IPF;2015-05-30;Ireland;;;Inaugural Championship
Adam Keane;M;SBD;Raw;21;20-23;19-23;M-JR;74.4;75;;;;;210;;;;;105;;;;;230;545;2;393.02;390.54;377.48;79.79;Yes;Ireland;;WDFPF;WDFPF;2015-04-18;Ireland;;Gorey;European Powerlifting Championships
Adam Keane;M;S;Raw;20;20-23;19-23;M-JR;77.6;82.5;187.5;200;-210;;200;;;;;;;;;;;200;2;140.46;139.25;134.35;;Yes;Ireland;;WDFPF;WDFPF;2014-09-12;Ireland;;Gorey;European Single Lift Championships
Adam Keane;M;D;Raw;20;20-23;19-23;M-JR;77.8;82.5;;;;;;;;;;;220;-230;-230;;220;220;2;154.26;152.92;147.52;;Yes;Ireland;;WDFPF;WDFPF;2014-09-12;Ireland;;Gorey;European Single Lift Championships
Adam Keane;M;D;Raw;20;20-23;19-23;M-JR;74.2;75;;;;;;;;;;;-230;-230;-230;;;;DQ;;;;;Yes;Ireland;;WDFPF;WDFPF;2014-06-06;Germany;;Dusseldorf;World Single Lift Championships
Adam Keane;M;SBD;Raw;20;20-23;19-23;Juniors 20-24;75;75;;;;;190;;;;;97.5;;;;;243;530.5;1;380.59;378.01;365.25;77.34;Yes;Ireland;;IDFPA;;2014-04-12;Ireland;;Wexford;National Powerlifting Championships
