Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ádám Kiss;M;D;Raw;23;20-23;19-23;MElite;125.4;140;;;;;;;;;;;340;360;-380;;360;360;2;203.83;205.01;196.13;;;Hungary;;HPC;WPC;2020-09-19;Hungary;;Cross;Magyar Professzionális Erőemelő Liga Kupa & Elit Show
Ádám Kiss;M;D;Raw;22;20-23;19-23;Pro Open;124.3;125;;;;;;;;;;;350;370;380;;380;380;1;215.75;216.79;207.55;;;Hungary;;WRPF;WRPF;2019-12-04;Russia;MOW;Moscow;World Championships
Ádám Kiss;M;D;Raw;22;20-23;19-23;J;124.6;125;;;;;;;;;;;350;375;-390;;375;375;1;212.75;213.83;204.68;;;Hungary;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Ádám Kiss;M;D;Raw;22;20-23;19-23;J;117.8;125;;;;;;;;;;;350;375;385;;385;385;1;222.49;222.33;212.98;;;Hungary;;GPC;GPC;2019-05-20;Hungary;;Tiszakécske;European Championships
Ádám Kiss;M;D;Raw;21;20-23;19-23;MJ;118.4;125;;;;;;;;;;;330;350;357.5;;357.5;357.5;1;206.24;206.19;197.55;;;Hungary;;HPC;WPC;2019-05-03;Hungary;;Cross;Magyar Professzionális Erőemelő Liga Kupa & Elit Show
Ádám Kiss;M;D;Raw;21;20-23;19-23;MJ;119.2;110+;;;;;;;;;;;-310;310;335;;335;335;1;192.82;192.90;184.84;;;Hungary;;WRPF-HUN;WRPF;2019-04-20;Hungary;;Budapest;Vitaflex Powerlifting Day
Ádám Kiss;M;D;Raw;21;20-23;19-23;J;110;110;;;;;;;;;;;360;-380;;;360;360;1;213.22;211.86;202.48;;;Hungary;;GPC;GPC;2018-09-16;Hungary;;Eger;World Championships
Ádám Kiss;M;D;Raw;20;20-23;19-23;MJ;112.5;125;;;;;;;;;;;350;370;;;370;370;1;217.32;216.30;206.88;;;Hungary;;HPC;WPC;2018-05-11;Hungary;;Füzesgyarmat;Magyar Professzionális Erőemelő Liga Kupa
Ádám Kiss;M;D;Raw;20;20-23;19-23;J;113.05;125;;;;;;;;;;;330;350;-361;;350;350;1;205.21;204.32;195.46;;;Hungary;;GPC;GPC;2017-09-14;Czechia;;Trutnov;World Championships
Ádám Kiss;M;D;Raw;20;20-23;19-23;Juniors;108.9;110;;;;;;;;;;;310;330;-350;;330;330;1;196.19;194.81;186.14;;;Hungary;;WUAP;WUAP;2017-06-13;Austria;;Telfs;European Championships
Ádám Kiss;M;D;Raw;19;18-19;19-23;MT;95.8;100;;;;;;;;;;;240;260;270;;270;270;1;169.41;167.32;159.97;;;Hungary;;HPC;WPC;2016-08-05;Hungary;;Siófok;Scitec Raw Power
