Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Kitchener;M;D;Raw;35;35-39;24-39;M-O;109.2;110;;;;;;;;;;;285;310;;;310;310;1;184.11;182.85;174.72;;;UK;;GPC-GB;GPC;2019-03-02;England;;;Tattooed and Strong
Adam Kitchener;M;SBD;Wraps;33;24-34;24-39;M-O;102.7;110;225;250;-260;;250;140;-147.5;;;140;280;-310;;;280;670;6;407.76;403.58;385.36;83.58;;UK;;GPC-GB;GPC;2017-11-11;UK;;;British Finals
Adam Kitchener;M;SBD;Wraps;34;24-34;24-39;O;100;100;210;230;240;;240;135;145;-150;;145;270;302.5;307.5;;307.5;692.5;8;426.24;421.45;402.53;87.48;;UK;;GPC;GPC;2017-09-14;Czechia;;Trutnov;World Championships
Adam Kitchener;M;SBD;Wraps;;;;M_OCR_BPU;106.5;110;210;220;;;220;130;140;145;;145;220;;;;220;585;5;350.82;347.87;332.23;71.75;;UK;;BPU;WPC;2017-04-22;England;;Barnstaple;South West Qualifier
Adam Kitchener;M;BD;Raw;;;;M-O;99.85;100;;;;;;130;-142.5;142.5;;142.5;260;280;300;;300;442.5;4;272.54;269.46;257.37;;;UK;;GPC-GB;GPC;2017-03-04;England;;;Tattooed and Strong
Adam Kitchener;M;SBD;Wraps;;;;M-O;100;100;200;215;227.5;;227.5;120;132.5;140;;140;250;280;;;280;647.5;1;398.55;394.06;376.37;81.80;;UK;;GPC-GB;GPC;2017-02-12;England;;;Midlands Qualifier
Adam Kitchener;M;SBD;Wraps;31;24-34;24-39;M-O;100;100;195;210;220;;220;120;130;-135;;130;250;280;-300;;280;630;5;387.77;383.41;366.20;79.59;;UK;;GPC-GB;GPC;2015-11-14;UK;;Manchester;British Championships
Adam Kitchener;M;SBD;Wraps;;;;M-O;100;100;190;-205;;;190;115;120;-125;;120;245;255;267.5;;267.5;577.5;4;355.46;351.46;335.68;72.96;;UK;;GPC-GB;GPC;2015-03-22;England;;;Southern Qualifier
Adam Kitchener;M;SBD;Wraps;;;;M-O;100;100;175;190;200;;200;115;-122.5;-122.5;;115;225;250;265;;265;580;7;357.00;352.98;337.14;73.27;;UK;;GPC-GB;GPC;2014-11-02;UK;;;Firework Open
Adam Kitchener;M;SBD;Multi-ply;;;;Open;108.5;110;60;62.5;;;62.5;-185;185;-210;;185;250;280;-302.5;;280;527.5;6;314.06;311.77;297.86;53.13;;UK;;BPC;WPC;2008-10-01;UK;;;Open Championships
Adam Kitchener;M;SBD;Multi-ply;;;;O;115.75;125;-205;300;;;300;190;205;-210;;205;270;-295;295;;295;800;7;465.13;464.04;444.29;78.42;;UK;;GPC;GPC;2008-09-08;England;WM;Leamington Spa;World Championships
Adam Kitchener;M;SBD;Multi-ply;;;;O;110;110;-305;305;;;305;-185;-185;-190;;;285;-305;;;285;;DQ;;;;;;UK;;GPC;GPC;2008-05-12;Czechia;;Nový Bor;European Championships
Adam Kitchener;M;SBD;Multi-ply;;20-23;;J;99;100;270;290;-310;;290;160;-170;170;;170;265;270;;;270;730;1;451.30;446.08;426.13;76.71;;UK;;GPC;GPC;2006-10-30;Belgium;;Ghent;World Championships
Adam Kitchener;M;SBD;Multi-ply;;;;Junior;99.7;100;;;;;275;;;;;150;;;;;265;690;1;425.26;420.43;401.58;72.26;;UK;;BPO;WPF;2006-06-18;England;;Maidstone;Powerlifting and Bench Press Championships
