Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Kubes;M;SBD;Raw;25;24-34;24-39;Open;104.4;110;262.5;275;-285;;275;172.5;-185;-185;;172.5;275;287.5;-295;;287.5;735;2;444.31;440.09;420.23;90.99;;USA;AZ;USPA;IPL;2021-03-06;USA;AZ;Flagstaff;Lumber Jack Open
Adam Kubes;M;SBD;Raw;23;20-23;24-39;Open;114.7;125;262.5;275;282.5;;282.5;175;182.5;-185;;182.5;277.5;290;-300;;290;755;1;440.38;439.00;420.18;89.53;Yes;USA;AZ;USPA;IPL;2020-01-11;USA;CA;Lancaster;Drug Tested Lock It Out Total Resolution
Adam Kubes;M;SBD;Raw;23;20-23;24-39;Juniors 20-23;114.7;125;262.5;275;282.5;;282.5;175;182.5;-185;;182.5;277.5;290;-300;;290;755;1;440.38;439.00;420.18;89.53;Yes;USA;AZ;USPA;IPL;2020-01-11;USA;CA;Lancaster;Drug Tested Lock It Out Total Resolution
Adam Kubes;M;SBD;Raw;23;20-23;19-23;Open;108.2;110;;;;;285;;;;;182.5;;;;;290;757.5;3;451.47;448.10;428.09;92.24;;USA;AZ;USPA;IPL;2019-02-16;USA;AZ;Surprise;Western Warrior
Adam Kubes;M;SBD;Raw;23;20-23;19-23;Juniors 20-23;108.2;110;;;;;285;;;;;182.5;;;;;290;757.5;1;451.47;448.10;428.09;92.24;;USA;AZ;USPA;IPL;2019-02-16;USA;AZ;Surprise;Western Warrior
Adam Kubes;M;SBD;Raw;22;20-23;19-23;Juniors 20-23;98.8;100;;;;;252.5;;;;;167.5;;;;;282.5;702.5;5;434.69;429.63;410.44;89.26;;USA;AZ;USPA;IPL;2018-07-12;USA;NV;Las Vegas;National Championships
Adam Kubes;M;SBD;Raw;22;20-23;19-23;Open;98.8;100;;;;;252.5;;;;;167.5;;;;;282.5;702.5;4;434.69;429.63;410.44;89.26;;USA;AZ;USPA;IPL;2018-07-12;USA;NV;Las Vegas;National Championships
Adam Kubes;M;SBD;Raw;22;20-23;19-23;Juniors 20-23;99;100;;;;;272.5;;;;;167.5;;;;;295;735;1;454.39;449.14;429.05;93.30;;USA;AZ;USPA;IPL;2018-01-20;USA;CA;Oceanside;Camp Pendleton Open
Adam Kubes;M;SBD;Raw;22;20-23;19-23;Open;99;100;;;;;272.5;;;;;167.5;;;;;295;735;1;454.39;449.14;429.05;93.30;;USA;AZ;USPA;IPL;2018-01-20;USA;CA;Oceanside;Camp Pendleton Open
Adam Kubes;M;SBD;Raw;21;20-23;19-23;Juniors 20-23;98.3;100;;;;;;;;;;165;;;;;287.5;;DQ;;;;;;USA;AZ;USPA;IPL;2017-07-07;USA;NV;Las Vegas;National Powerlifting Championships
Adam Kubes;M;SBD;Raw;21;20-23;19-23;Open;98.3;100;;;;;;;;;;165;;;;;287.5;;DQ;;;;;;USA;AZ;USPA;IPL;2017-07-07;USA;NV;Las Vegas;National Powerlifting Championships
Adam Kubes;M;SBD;Raw;21;20-23;19-23;Open;96.8;100;;;;;237.5;;;;;175;;;;;280;692.5;2;432.44;427.19;408.31;88.85;;USA;AZ;USPA;IPL;2017-01-21;USA;CA;Oceanside;Camp Pendleton Open
Adam Kubes;M;SBD;Raw;21;20-23;19-23;Juniors 20-23;96.8;100;;;;;237.5;;;;;175;;;;;280;692.5;1;432.44;427.19;408.31;88.85;;USA;AZ;USPA;IPL;2017-01-21;USA;CA;Oceanside;Camp Pendleton Open
