Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Loughnane;M;SBD;Wraps;25;24-34;24-39;M_OCR_IPO;96.8;100;225;245;255;;255;145;152.5;157.5;;157.5;260;280;-290;;280;692.5;1;432.44;427.19;408.31;88.85;;Ireland;;IrishPO;IPL;2022-08-28;Ireland;;Limerick;Irish Pro Invitiational VI
Adam Loughnane;M;SBD;Raw;;;;M-O;90.8;93;210;225;-235;;225;150;-155;-155;;150;250;270;-280;;270;645;7;415.21;409.93;392.73;85.37;Yes;Ireland;;IrishPF;IPF;2022-03-13;Ireland;;Dublin;National Championships
Adam Loughnane;M;SBD;Raw;;;;M-O;91.9;93;200;215;220;;220;140;150;155;;155;240;260;275;;275;650;4;415.96;410.66;393.23;85.53;Yes;Ireland;;IrishPF;IPF;2021-12-18;Ireland;;;Last Chance
Adam Loughnane;M;SBD;Wraps;23;20-23;;Div 1 Male;91.4;100;220;235;-245;;235;130;140;-150;;140;250;270;-280;;270;645;2;413.86;408.60;391.34;85.10;;Ireland;;Ireland-UA;;2021-08-14;Ireland;;;ABS Series 7
Adam Loughnane;M;SBD;Raw;22;20-23;19-23;M-JR;82.6;83;190;200;205;;205;120;127.5;132.5;;132.5;235;247.5;255;;255;592.5;2;401.08;396.63;381.62;82.22;Yes;Ireland;;IrishPF;IPF;2019-10-05;Ireland;;Dublin;Junior & Master Nationals
Adam Loughnane;M;SBD;Raw;;;;LW;81.8;83;190;197.5;-202.5;;197.5;120;125;127.5;;127.5;235;250;-255;;250;575;6;391.40;387.18;372.69;80.18;Yes;Ireland;;IrishPF;IPF;2019-06-23;Ireland;;;Summer Slam
Adam Loughnane;M;D;Raw;21;20-23;19-23;M_JR_AWPC;81.5;82.5;;;;;;;;;;;240;250;-260.5;;250;250;1;170.53;168.72;162.43;;Yes;Ireland;;WPC;WPC;2019-06-11;Ireland;;Limerick;European Championships
Adam Loughnane;M;D;Raw;21;20-23;19-23;M_OR_AWPC;81.5;82.5;;;;;;;;;;;240;250;-260.5;;250;250;1;170.53;168.72;162.43;;Yes;Ireland;;WPC;WPC;2019-06-11;Ireland;;Limerick;European Championships
Adam Loughnane;M;B;Raw;21;20-23;19-23;M_OR_AIPO;80.85;82.5;;;;;;115;120;125;;125;;;;;;125;2;85.66;84.78;81.65;63.64;Yes;Ireland;;IrishPO;IPL;2019-02-24;Ireland;;Limerick;National Single Lifts
Adam Loughnane;M;D;Raw;21;20-23;19-23;M_OR_AIPO;80.85;82.5;;;;;;;;;;;230;245;252.5;255;252.5;252.5;1;173.04;171.25;164.92;;Yes;Ireland;;IrishPO;IPL;2019-02-24;Ireland;;Limerick;National Single Lifts
Adam Loughnane;M;D;Raw;21;20-23;19-23;M_JR_AIPO;80.85;82.5;;;;;;;;;;;230;245;252.5;-255;252.5;252.5;1;173.04;171.25;164.92;;Yes;Ireland;;IrishPO;IPL;2019-02-24;Ireland;;Limerick;National Single Lifts
Adam Loughnane;M;B;Raw;21;20-23;19-23;M_JR_AIPO;80.85;82.5;;;;;;115;120;125;;125;;;;;;125;1;85.66;84.78;81.65;63.64;Yes;Ireland;;IrishPO;IPL;2019-02-24;Ireland;;Limerick;National Single Lifts
Adam Loughnane;M;SBD;Raw;;;;M-O;80.7;83;;;;;202.5;;;;;122.5;;;;;250;575;1;394.47;390.42;376.03;80.74;Yes;Ireland;;IrishPF;IPF;2019-02-16;Ireland;;Leinster;Leinster Championships
Adam Loughnane;M;SBD;Raw;;;;M-O;72.2;74;;;;;160;;;;;102.5;;;;;215;477.5;6;351.20;349.63;338.38;71.01;Yes;Ireland;;IrishPF;IPF;2017-10-07;Ireland;;Limerick;October Open
Adam Loughnane;M;B;Raw;;20-23;;M_JR_AIPO;74.2;75;;;;;;95;100;-105;;100;;;;;;100;1;72.24;71.79;69.40;53.25;Yes;Ireland;;IrishPO;IPL;2017-09-17;Ireland;;Limerick;National Equipped & Single Lift Championships
Adam Loughnane;M;SBD;Raw;;;;M-O;72.2;74;;;;;155;;;;;95;;;;;205;455;1;334.65;333.16;322.43;67.66;Yes;Ireland;;IrishPF;IPF;2017-03-25;Ireland;;;University Championships
Adam Loughnane;M;SBD;Wraps;19;18-19;19-23;M_TCR_3_IPO;72.8;75;140;150;160;;160;-95;100;-105;;100;180;200;210;;210;470;1;343.78;342.07;330.94;69.59;;Ireland;;IrishPO;IPL;2016-01-01;Ireland;;Limerick;National Powerlifting Championships
Adam Loughnane;M;S;Raw;17;16-17;14-18;M-T2;64.9;67.5;120;-133;-133;;120;;;;;;;;;;;120;1;95.21;95.55;92.92;;Yes;Ireland;;WDFPF;WDFPF;2015-06-12;UK;;Telford;World Single Lift Championships
Adam Loughnane;M;D;Raw;17;16-17;14-18;M-T2;65.6;67.5;;;;;;;;;;;160;170;-182.5;;170;170;1;133.80;134.15;130.40;;Yes;Ireland;;WDFPF;WDFPF;2015-06-12;UK;;Telford;World Single Lift Championships
Adam Loughnane;M;B;Raw;17;16-17;14-18;M-T2;65.1;67.5;;;;;;-82.5;-82.5;-82.5;;;;;;;;;DQ;;;;;Yes;Ireland;;WDFPF;WDFPF;2015-06-12;UK;;Telford;World Single Lift Championships
Adam Loughnane;M;SBD;Raw;17;16-17;14-18;M-T2;66;67.5;;;;;130;;;;;80;;;;;170;380;1;297.74;298.37;289.93;59.24;Yes;Ireland;;WDFPF;WDFPF;2015-04-18;Ireland;;Gorey;European Powerlifting Championships
