Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Parker;M;SBD;Raw;41;40-44;40-49;Masters 40-44;109.1;110;250;265;-272.5;;265;225;232.5;-237.5;;232.5;290;300;-305;;300;797.5;1;473.80;470.52;449.60;96.74;;USA;TX;USPA;IPL;2020-12-12;USA;TX;Pleasanton;Bend the Bar
Adam Parker;M;SBD;Raw;40;40-44;40-49;Masters 40-44;108.7;110;250;260;265;;265;222.5;230;-232.5;;230;265;280;297.5;;297.5;792.5;1;471.49;468.11;447.26;96.29;;USA;TX;USPA;IPL;2020-07-11;USA;TX;Coleman;Pioneer Open
Adam Parker;M;B;Raw;40;40-44;40-49;Masters 40-44;108.5;110;;;;;;220;227.5;-230;;227.5;;;;;;227.5;1;135.45;134.46;128.46;100.35;;USA;TX;USPA;IPL;2019-10-26;USA;TX;Fort Worth;Unleash the Beast
Adam Parker;M;SBD;Raw;39;35-39;;Open;108.4;110;;;;;262.5;;;;;217.5;;;;;255;735;1;437.75;434.53;415.14;89.42;;USA;TX;USPA;IPL;2019-06-01;USA;TX;Austin;Big Tex Open
Adam Parker;M;SBD;Raw;38;35-39;24-39;Open;108.7;110;;;;;242.5;;;;;222.5;;;;;255;720;2;428.36;425.29;406.34;87.48;;USA;TX;USPA;IPL;2018-09-22;USA;TX;Lubbock;The Takeover
Adam Parker;M;SBD;Raw;37;35-39;24-39;Submasters 35-39;108.4;110;;;;;257.5;;;;;217.5;;;;;272.5;747.5;1;445.19;441.92;422.20;90.94;;USA;TX;USPA;IPL;2017-12-09;USA;TX;San Antonio;Bend the Bar
Adam Parker;M;SBD;Raw;37;35-39;24-39;Open;109.7;110;;;;;242.5;;;;;200;;;;;265;707.5;1;419.46;416.71;398.24;85.61;;USA;TX;USPA;IPL;2017-08-12;USA;TX;Lubbock;Reap What You Sow Barbell Classic
Adam Parker;M;B;Raw;;;;Open;82.5;82.5;;;;;;;;;;149.69;;;;;;149.69;3;101.40;100.28;96.49;75.42;;USA;;SPF;;2011-04-16;USA;;;Southern Open Bash on the Beach
Adam Parker;M;B;Multi-ply;;18-19;;Teen 16-19;67.5;67.5;;;;;;;;;;130;;;;;;130;1;100.20;100.23;97.29;55.13;Yes;USA;;WABDL;;2000-11-16;USA;NV;Reno;World Championships
Adam Parker;M;B;Multi-ply;;18-19;;Teen 16-19;67.5;67.5;;;;;;;;;;124.74;;;;;;124.74;1;96.14;96.18;93.36;52.90;Yes;USA;;WABDL;;2000-05-20;USA;AL;Gadsen;Southern States
Adam Parker;M;B;Multi-ply;;;;Class 1;67.5;67.5;;;;;;;;;;124.74;;;;;;124.74;1;96.14;96.18;93.36;52.90;Yes;USA;;WABDL;;2000-05-20;USA;AL;Gadsen;Southern States
