Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adams;M;SBD;Single-ply;;;;M-Jr;99.5;100;;;;;255;;;;;170;;;;;295;720;2;444.14;439.07;419.40;75.48;Yes;Australia;;USAPL;IPF;2014-12-06;USA;MD;;Army-Navy Powerlifting Meet
Adams;M;SBD;Single-ply;;;;M-O;75;75;;;;;152.41;;;;;99.79;;;;;175.09;427.28;8;306.54;304.46;294.18;52.50;Yes;Australia;;USAPL;IPF;2002-11-23;USA;NY;West Point;Tri Service Meet
Adams;M;SBD;Single-ply;;;;M-O;90;90;;;;;136.08;;;;;95.25;;;;;158.76;390.09;3;252.23;249.03;238.67;43.05;Yes;Australia;;USAPL;IPF;2002-10-05;USA;PA;Bellefonte;Rockview Fall Brawl Championships
Adams;M;B;Raw;;;;40-49;75;75;;;;;;;;;;111.13;;;;;;111.13;1;79.73;79.19;76.51;58.85;Yes;Australia;;WNPF;;2002-04-13;USA;PA;Lancaster;Raw Nationals
Adams;M;SBD;Wraps;;18-19;;17-19;110;110;;;;;204.12;;;;;149.69;;;;;204.12;557.92;1;330.44;328.33;313.80;67.42;Yes;Australia;;WNPF;;2002-04-13;USA;PA;Lancaster;Raw Nationals
Adams;M;B;Multi-ply;;;;Class II;90;90;;;;;;;;;;115;;;;;;115;1;74.36;73.42;70.36;38.79;;Australia;;APF;WPC;1997-02-02;USA;IL;Aurora;Illinois State Open
Adams;F;B;Single-ply;;;;Masters;67.5;67.5;;;;;;;;;;52.5;;;;;;52.5;1;54.20;53.58;47.27;30.41;Yes;Australia;;NASA;;1993-08-14;USA;TX;Dallas;World Cup
Adams;M;B;Single-ply;;;;Juniors;90;90;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Australia;;NASA;;1993-08-14;USA;TX;Dallas;World Cup
Adams;M;SBD;Single-ply;;;;Submasters 36-39;90;90;;;;;225;;;;;157.5;;;;;240;622.5;2;402.51;397.40;380.87;68.69;Yes;Australia;;NASA;;1993-06-05;USA;TN;Nashville;Submaster/Master Nationals
Adams;M;B;Single-ply;;35-39;;Submasters 36-39;90;90;;;;;;;;;;157.5;;;;;;;DQ;;;;;Yes;Australia;;NASA;;1993-06-05;USA;TN;Nashville;Submaster/Master Nationals
Adams;M;B;Single-ply;;40-44;40-49;Masters 40-44;75;75;;;;;;;;;;107.5;;;;;;;DQ;;;;;Yes;Australia;;NASA;;1993-06-05;USA;TN;Nashville;Submaster/Master Nationals
Adams;M;SBD;Single-ply;;;;Open;100;100;;;;;230;;;;;135;;;;;227.5;592.5;5;364.69;360.59;344.40;61.96;Yes;Australia;;WDFPF;WDFPF;1992-09-26;UK;;Derby;World Powerlifting Championships
Adams;M;SBD;Single-ply;;;;Junior & Senior;82.5;82.5;;;;;202.5;;;;;137.5;;;;;200;540;7;365.79;361.75;348.07;62.58;Yes;Australia;;NASA;;1991-04-20;USA;TX;Dallas;High School Nationals
Adams;M;SBD;Single-ply;;;;Pure;100;100;;;;;317.5;;;;;187.5;;;;;282.5;787.5;4;484.72;479.26;457.75;82.35;Yes;Australia;;NASA;;1991-02-28;USA;OK;Oklahoma City;Natural Nationals
