Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Stiverson;M;BD;Raw;42;40-44;40-49;M_MR_1_APF;127.7;140;;;;;;202.5;-217.5;;;202.5;272.5;-295;-295;;272.5;475;1;267.42;269.54;257.74;;;USA;;APF;WPC;2019-06-13;USA;MI;Grand Rapids;Nationals
Adam Stiverson;M;SBD;Raw;41;40-44;40-49;Open;124;125;;;;;255;;;;;215;;;;;265;735;6;417.63;419.53;401.72;84.24;;USA;MI;USPA;IPL;2019-04-13;USA;OH;Cleveland;The Battle XXII
Adam Stiverson;M;SBD;Raw;41;40-44;40-49;Masters 40-44;124;125;;;;;255;;;;;215;;;;;265;735;1;417.63;419.53;401.72;84.24;;USA;MI;USPA;IPL;2019-04-13;USA;OH;Cleveland;The Battle XXII
Adam Stiverson;M;SBD;Raw;;;;Junior Varsity;70.22;70.3;-142.88;-142.88;147.42;;147.42;77.11;83.91;88.45;;88.45;142.88;154.22;167.83;;167.83;403.7;3;302.58;301.80;292.44;60.91;;USA;;MHSPLA;;2017-03-01;USA;MI;Croswell;State Championships
Adam Stiverson;M;SBD;Raw;;;;Junior Varsity;58.83;59.8;79.38;86.18;-95.25;;86.18;52.16;-61.23;-61.23;;52.16;106.59;120.2;-124.74;;120.2;258.55;18;221.82;224.55;219.52;42.85;;USA;;MHSPLA;;2016-03-12;USA;MI;Norton Shores;State Championships
Adam Stiverson;M;B;Raw;;;;M_OR_APF;124;125;;;;;;200;210;-220;;210;;;;;;210;3;119.32;119.87;114.78;87.37;;USA;;APF;WPC;2014-06-06;USA;MI;Grand Rapids;Senior Nationals
Adam Stiverson;M;SBD;Single-ply;;;;Open;125;125;283.5;306.18;-319.78;;306.18;195.04;215.46;-229.06;;215.46;260.82;283.5;294.84;;294.84;816.47;1;462.74;465.26;445.24;77.71;Yes;USA;;AAU;;2003-02-28;USA;OK;Tulsa;Oklahoma State Championships
Adam Stiverson;M;SBD;Single-ply;;20-23;;M-Jr;125;125;;;;;295;;;;;205;;;;;275;775;1;439.24;441.63;422.63;73.77;Yes;USA;;USAPL;IPF;2000-06-10;USA;TX;Ft. Hood;Teenage & Junior Men's National Powerlifting Championships
Adam Stiverson;M;SBD;Single-ply;;18-19;;Teen 3;125;125;;;;;255;;;;;157.5;;;;;255;667.5;1;378.31;380.37;364.01;63.53;Yes;USA;;WDFPF;WDFPF;1996-08-24;USA;IL;Chicago;World Powerlifting Championships
Adam Stiverson;M;SBD;Single-ply;;;;Collegiate;125;125;;;;;263.08;;;;;174.63;;;;;254.01;691.73;2;392.04;394.18;377.22;65.84;Yes;USA;;ADFPA;;1996-03-23;USA;TX;Killeen;Collegiate Nationals
Adam Stiverson;M;SBD;Single-ply;;18-19;;Teen 18-19;110;110;;;;;252.5;;;;;132.5;;;;;250;635;1;376.09;373.69;357.16;63.58;Yes;USA;;WDFPF;WDFPF;1995-08-19;UK;;Horsham;World Teen/Junior/Masters Powerlifting Championships
Adam Stiverson;M;SBD;Single-ply;;18-19;;M-T3;110;110;;;;;280;;;;;167.5;;;;;257.5;705;1;417.55;414.89;396.53;70.59;Yes;USA;;ADFPA;;1995-07-08;USA;PA;Sharon;Teenage & Junior National Championships
