Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ádám Takács;M;SBD;Wraps;25;24-34;24-39;Open;105.6;110;-220;-230;-235;;;-107.5;;;;;;;;;;;DQ;;;;;;Hungary;;WUAP;WUAP;2018-10-15;Slovakia;;Trnava;World Championships
Ádám Takács;M;SBD;Wraps;25;24-34;24-39;Open;105.8;110;210;225;-230;;225;75;80;-85;;80;180;190;-200;;190;495;5;297.63;295.01;281.73;60.90;;Hungary;;GPA;GPA;2016-10-20;Hungary;;Szerencs;European Cup
Ádám Takács;M;SBD;Wraps;25;24-34;24-39;Open;96;100;-200;200;;;200;70;-77.5;;;70;160;170;-180;;170;440;6;275.80;272.41;260.44;56.68;;Hungary;;WUAP;WUAP;2016-06-15;Hungary;;Gyula;European Championships
Ádám Takács;M;SBD;Wraps;22.5;20-23;19-23;M_JCR_WPC;98.5;100;180;190;-200;;190;80;-87.5;-87.5;;80;180;-190;190;;190;460;3;285.02;281.68;269.11;58.53;;Hungary;;WPC;WPC;2014-11-25;Slovakia;;Bratislava;World Cup
Ádám Takács;M;SBD;Wraps;25;24-34;24-39;MO;98.9;100;180;200;-210;;200;-80;-80;-80;;;-160;;;;;;DQ;;;;;;Hungary;;HPC;WPC;2014-09-27;Hungary;;Gyula;Fekvenyomó és Erőemelő Magyar Bajnokság
Ádám Takács;M;SBD;Multi-ply;21.5;20-23;19-23;J;98.3;100;220;235;247.5;;247.5;115;-125;125;;125;205;-210;-210;;205;577.5;2;358.14;353.93;338.15;60.90;;Hungary;;GPC;GPC;2013-09-23;Hungary;;Eger;World Championships
Ádám Takács;M;SBD;Multi-ply;22;20-23;19-23;MOE;102;;210;225;235;;235;-100;115;-120;;115;200;-210;210;;210;560;9;341.79;338.19;322.94;58.01;;Hungary;;HPC;WPC;2013-09-08;Hungary;;Taksony;Magyar RAW Erőemelő Kupa és Equipped Kvalifikációs verseny
Ádám Takács;M;SBD;Multi-ply;22;20-23;19-23;MJE;101.1;110;-210;225;-235;;225;-110;-110;-110;;;;;;;;;DQ;;;;;;Hungary;;HPC;WPC;2013-05-04;Hungary;;Abasar;Magyar-Szlovák Erőemelő Kupa
Ádám Takács;M;SBD;Multi-ply;21;20-23;19-23;Juniors;98.2;100;220;230;-235;;230;110;-115;115;;115;192.5;205;-212.5;;205;550;1;341.24;337.22;322.20;58.03;;Hungary;;WUAP;WUAP;2012-09-26;Germany;;Herzberg;World Championships
Ádám Takács;M;SBD;Multi-ply;19.5;20-23;19-23;J;97;100;195;210;220;;220;100;120;125;;125;182.5;-210;-210;;182.5;527.5;5;329.09;325.12;310.73;55.99;;Hungary;;GPC;GPC;2011-06-12;Hungary;;Eger;European Championships
