Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Thompson;M;SBD;Raw;31;24-34;24-39;Open;91.8;100;180;190;-200;;190;125;-132.5;-137.5;;125;235;247.5;260;;260;575;5;368.16;363.47;348.06;75.70;Yes;USA;CO;USPA;IPL;2022-09-11;USA;OH;Columbus;Drug Tested Never Forget
Adam Thompson;M;SBD;Single-ply;;;;Boys;73.35;74.8;;;;;147.42;;;;;63.5;;;;;145.15;356.07;23;259.16;257.74;249.28;44.38;Yes;;;THSPA;;2022-02-19;USA;TX;Altair;Swamp Strength Booster Club Meet
Adam Thompson;M;SBD;Single-ply;;;;Boys;75.84;82.1;;;;;136.08;;;;;68.04;;;;;129.27;333.39;14;237.50;235.74;227.67;40.67;Yes;;;THSPA;;2022-02-12;USA;TX;Smithville;Smithville Invitational
Adam Thompson;M;S;Single-ply;;;;Boys;74.66;74.8;;;;;102.06;;;;;;;;;;;102.06;14;73.43;72.96;70.51;;Yes;;;THSPA;;2022-02-02;USA;TX;Brazos;Brazos Invitational
Adam Thompson;M;SBD;Raw;;;;Open;81.7;83;162.5;170;-175;;170;102.5;117.5;-120;;117.5;215;230;235;;235;522.5;1;355.91;352.09;338.93;72.91;Yes;;;NZPF;IPF;2018-11-17;New Zealand;OTA;Dunedin;November Club & Novice Competition
Adam Thompson;M;SBD;Raw;;;;Open;79.3;83;;;;;167.5;;;;;115;;;;;227.5;510;1;353.51;350.12;337.49;72.25;Yes;;;NZPF;IPF;2017-11-18;New Zealand;OTA;Dunedin;Southern Powerlifting Club and Novice Competition
Adam Thompson;M;SBD;Raw;31;24-34;24-39;Open;80.1;83;;;;;167.5;;;;;110;;;;;225;502.5;2;346.24;342.79;330.27;70.83;Yes;;;NZPF;IPF;2017-09-09;New Zealand;STL;Queenstown;Club and Novice 3-lift
Adam Thompson;M;SBD;Raw;;;;Open;83;83;;;;;145;;;;;105;;;;;192.5;442.5;2;298.73;295.37;284.12;61.25;Yes;;;NZPF;IPF;2015-08-22;New Zealand;OTA;Dunedin;Otago Weightlifting Club and Novice Lift
Adam Thompson;M;SBD;Raw;;;;M-C-U23;127.8;120+;;;;;212.5;;;;;142.5;;;;;222.5;577.5;4;325.05;327.66;313.30;65.34;Yes;;;BP;IPF;2013-10-05;UK;;Horncastle;British Classic
Adam Thompson;M;SBD;Raw;;;;M-C-U23;125.5;120+;180;187.5;-195;;187.5;-125;130;135;;135;185;195;202.5;;202.5;525;2;297.17;298.93;285.96;59.86;Yes;England;EM;EPA;IPF;2013-02-10;England;;Letchworth;East Midlands Unequipped Championships
Adam Thompson;M;SBD;Single-ply;;;;M-O;56;56;;;;;127.01;;;;;68.04;;;;;127.01;322.05;1;288.25;293.18;287.44;48.86;Yes;;;USAPL;IPF;2004-05-22;USA;KY;Louisville;St Xavier Qualifier
Adam Thompson;M;B;Single-ply;;;;Sub-Juniors;67.5;67.5;;;;;;;;;;102.5;;;;;;102.5;1;79.00;79.03;76.71;43.47;Yes;Canada;AB;CPU;IPF;2003-06-07;Canada;AB;Sherwood Park;Western Canadians
