Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Ward #4;M;SBD;Wraps;27;24-34;24-39;MOR;157.12;140+;330;352.5;365;;365;202.5;215;227.5;;227.5;290;305;317.5;;317.5;909.99;2;483.37;500.19;470.41;94.93;;USA;;UPA;;2015-12-05;USA;MN;Eagan;Holiday Throwdown 2
Adam Ward #4;M;SBD;Wraps;26;24-34;24-39;MOR;154.67;140+;325;350;-365;;350;60;;;;60;135;;;;135;545;1;290.70;300.24;282.90;57.19;;USA;;UPA;;2015-03-27;USA;MN;Minneapolis;Relentless Minnesota
Adam Ward #4;M;SBD;Wraps;25;24-34;24-39;Open;154.45;140+;;;;;322.5;;;;;195;;;;;295;812.5;1;433.54;447.70;421.92;85.30;;USA;MN;USPA;IPL;2014-05-31;USA;MN;Minneapolis;Minnesota State Powerlifting Championships
Adam Ward #4;M;SBD;Wraps;;;;MMXR-AD;156.4;140+;;;;;340;;;;;202.5;;;;;295;837.5;1;445.40;460.65;433.45;87.52;Yes;USA;;UPA;;2014-03-29;USA;MN;Rosemount;Relentless Minnesota
Adam Ward #4;M;S;Wraps;25;24-34;24-39;Open;152;140+;;;;;295;;;;;;;;;;;295;1;158.08;162.92;153.88;;;USA;;USPA;IPL;2013-12-07;USA;MN;Minneapolis;Minnesota Midwest Squat Championship
Adam Ward #4;M;B;Raw;24;24-34;24-39;Open;151.95;140+;;;;;;;;;;200;;;;;;200;1;107.18;110.46;104.33;76.88;;USA;;USPA;IPL;2013-06-01;USA;MN;Minneapolis;Minnesota State Championships
Adam Ward #4;M;SBD;Raw;;;;M_OR_AAPF;151.14;140+;;;;;310;;;;;197.5;;;;;305;812.5;1;436.05;449.07;424.35;85.99;Yes;USA;;APF;WPC;2013-03-23;USA;MN;;Relentless
Adam Ward #4;M;S;Raw;23;20-23;;Juniors 20-23;148.05;140+;;;;;295;;;;;;;;;;;295;1;159.20;163.52;154.77;;;USA;;USPA;IPL;2012-06-09;USA;MN;Minneapolis;Minnesota State Powerlifting Championship
Adam Ward #4;M;D;Raw;;20-23;;M_JR_APF;149.69;140+;;;;;;;;;;;;;;;312.5;312.5;1;168.14;172.96;163.56;;;USA;;APF;WPC;2011-10-29;USA;MN;Montgomery;Elite Barbell Fall Classic
Adam Ward #4;M;SBD;Raw;;20-23;;M_JR_APF;149.69;140+;;;;;80;;;;;75;;;;;312.5;467.5;1;251.54;258.74;244.68;49.66;;USA;;APF;WPC;2011-10-29;USA;MN;Montgomery;Elite Barbell Fall Classic
Adam Ward #4;M;D;Raw;;20-23;;M_JR_AAPF;149.69;140+;;;;;;;;;;;;;;;312.5;312.5;1;168.14;172.96;163.56;;Yes;USA;;APF;WPC;2011-10-29;USA;MN;Montgomery;Elite Barbell Fall Classic
Adam Ward #4;M;SBD;Raw;;20-23;;M_JR_AAPF;149.69;140+;;;;;80;;;;;75;;;;;312.5;467.5;1;251.54;258.74;244.68;49.66;Yes;USA;;APF;WPC;2011-10-29;USA;MN;Montgomery;Elite Barbell Fall Classic
Adam Ward #4;M;SBD;Wraps;22;20-23;19-23;M_JCR_AWPC;151.8;140+;290;305;317.5;;317.5;182.5;190;195;;195;287.5;305;310;;310;822.5;1;440.90;454.32;429.17;86.91;Yes;USA;;WPC;WPC;2011-09-01;USA;ID;Idaho Falls;Amateur Worlds
Adam Ward #4;M;B;Raw;22;20-23;19-23;M_JR_AWPC;151.8;140+;;;;;;182.5;190;195;;195;;;;;;195;1;104.53;107.71;101.75;74.98;Yes;USA;;WPC;WPC;2011-09-01;USA;ID;Idaho Falls;Amateur Worlds
Adam Ward #4;M;SBD;Raw;22;20-23;19-23;M_JR_AAPF;146.1;140+;285;297.5;-310;;297.5;175;185;187.5;;187.5;282.5;297.5;-305;;297.5;782.5;1;423.80;434.57;411.70;83.89;Yes;USA;;APF;WPC;2011-04-01;USA;FL;West Palm Beach;Amateur Nationals
Adam Ward #4;M;SBD;Raw;;20-23;;M_JR_AAPF;146.51;140+;;;;;295;;;;;182.5;;;;;295;772.5;1;418.07;428.84;406.19;82.73;Yes;USA;;APF;WPC;2010-10-23;USA;MN;;Minnesota Fall Classic
Adam Ward #4;M;SBD;Raw;;20-23;;M_JR_APF;137.08;140;;;;;288.03;;;;;158.76;;;;;288.03;734.82;1;405.11;411.95;392.14;80.78;;USA;;APF;WPC;2010-02-20;USA;;;Elite Barbell Invitational
