Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam White;M;SBD;Raw;26;24-34;24-39;M_OR_APF;88.95;90;-112.5;-112.5;-112.5;;;-102.5;-102.5;-102.5;;;92.5;102.5;125;;125;;DQ;;;;;;USA;;APF;WPC;2017-04-30;USA;IL;;ILPL Meet for MDA
Adam White;M;SBD;Raw;31;24-34;24-39;Open;96.8;100;;;;;227.5;;;;;147.5;;;;;272.5;647.5;1;404.33;399.43;381.78;83.08;;USA;AL;USPA;IPL;2016-10-01;USA;FL;Milton;The Bar Open Powerlifting Championships
Adam White;M;SBD;Single-ply;;;;Boys;83.19;89.8;;;;;176.9;;;;;113.4;;;;;210.92;501.22;4;337.93;334.11;321.36;57.80;Yes;USA;;THSPA;;2014-02-15;USA;TX;Howe;Howe High School Meet
Adam White;M;SBD;Single-ply;;;;Boys;80.47;82.1;;;;;163.29;;;;;120.2;;;;;195.04;478.54;6;328.84;325.50;313.55;56.28;Yes;USA;;THSPA;;2014-02-08;USA;TX;;S&S High School Powerlifting Championship
Adam White;M;SB;Single-ply;;;;Boys;83.19;89.8;;;;;174.63;;;;;117.93;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2014-01-18;USA;TX;Princeton;Princeton Panther Invitational
Adam White;M;SBD;Single-ply;;;;Boys;84.01;89.8;;;;;161.03;;;;;117.93;;;;;204.12;483.08;5;323.93;320.18;307.82;55.39;Yes;USA;;THSPA;;2014-01-10;USA;TX;Anna;Anna Invitational
Adam White;M;SBD;Single-ply;;;;Boys;73.84;74.8;;;;;136.08;;;;;83.91;;;;;167.83;387.82;18;281.04;279.39;270.14;48.13;Yes;USA;;THSPA;;2013-02-16;USA;TX;Howe;Howe Meet
Adam White;M;SBD;Single-ply;;;;Boys;75.07;82.1;;;;;122.47;;;;;86.18;;;;;174.63;383.29;10;274.82;272.94;263.72;47.06;Yes;USA;;THSPA;;2013-02-09;USA;TX;VA;Van Alstyne
Adam White;M;SBD;Single-ply;;;;Boys;74.75;74.8;;;;;120.2;;;;;83.91;;;;;167.83;371.95;18;267.42;265.65;256.72;45.80;Yes;USA;;THSPA;;2013-02-02;USA;TX;;S&S High School Boys Powerlifting Meet
Adam White;M;SBD;Single-ply;;;;Boys;73.03;74.8;;;;;102.06;;;;;81.65;;;;;158.76;342.46;14;249.97;248.67;240.55;42.81;Yes;USA;;THSPA;;2013-01-19;USA;TX;Whitesboro;Whitesboro Inv Boys
Adam White;M;BD;Raw;;20-23;;Amateur Juniors 20-23;82.78;90;;;;;;;;;;104.33;;;;;183.7;288.03;1;194.74;192.56;185.26;;Yes;USA;;IPA;;2009-04-18;USA;PA;York;11th Annual PowerPalooza
