Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adam Zevchik;M;SBD;Multi-ply;27;24-34;24-39;M_OEM_APF;74.05;75;327.5;352.5;-370;;352.5;62.5;182.5;-200;;182.5;227.5;242.5;252.5;;252.5;787.5;1;569.63;566.19;547.37;97.55;;USA;;APF;WPC;2022-06-03;USA;IL;Lombard;National Championships
Adam Zevchik;M;B;Multi-ply;27;24-34;24-39;M_OEM_APF;79.9;82.5;;;;;;187.5;-200;-200;;187.5;;;;;;187.5;1;129.39;128.11;123.44;68.63;;USA;;APF;WPC;2022-04-23;USA;IL;Lombard;Pressing the Pieces Together
Adam Zevchik;M;SBD;Multi-ply;26;24-34;24-39;M_OEM_APF;74.7;75;-325;325;-345;;325;182.5;197.5;;;197.5;245;-275;-275;;245;767.5;1;552.04;548.42;530.00;94.54;;USA;;APF;WPC;2021-12-12;USA;IL;Lombard;Midwest Equipped Open
Adam Zevchik;M;SBD;Multi-ply;26;24-34;24-39;Open;73.75;75;295;320;332.5;;332.5;170;182.5;-195;;182.5;-240;240;-265;;240;755;12;547.56;544.39;526.39;93.77;;USA;;WPC;WPC;2021-08-21;USA;FL;;WPO Super Finals
Adam Zevchik;M;SBD;Multi-ply;25;24-34;24-39;Open;74.2;75;-337.5;-337.5;-337.5;;;;;;;;;;;;;;DQ;;;;;;USA;;WPC;WPC;2020-10-28;USA;IL;;WPO Super Finals
Adam Zevchik;M;SBD;Multi-ply;25;24-34;24-39;M_OEM_WPC;73.5;75;60;;;;60;60;;;;60;60;;;;60;180;1;130.83;130.10;125.82;22.41;;USA;;WPC;WPC;2020-10-24;USA;IL;Lombard;World Championships
Adam Zevchik;M;SBD;Multi-ply;25;24-34;24-39;M_OEM_APF;73.5;75;285;330;-372.5;;330;60;175;;;175;237.5;-277.5;-277.5;;237.5;742.5;1;539.69;536.68;519.01;92.42;;USA;;APF;WPC;2020-08-13;USA;FL;;Nationals
Adam Zevchik;M;SBD;Multi-ply;24.5;24-34;24-39;M_WPO;73.4;75;-337.5;337.5;367.5;;367.5;175;197.5;;;197.5;240;262.5;-275;;262.5;827.5;16;602.01;598.70;579.02;103.09;;USA;;WPC;WPC;2020-03-05;USA;OH;Columbus;WPO Semi-Finals
Adam Zevchik;M;SBD;Multi-ply;24;24-34;24-39;M_OEM_WPC;74.4;75;280;-325;-325;;280;60;195;-212.5;;195;182.5;272.5;-282.5;;272.5;747.5;1;539.05;535.64;517.74;92.31;;USA;;WPC;WPC;2019-11-07;Finland;;Lahti;World Championships
Adam Zevchik;M;SBD;Multi-ply;24;24-34;24-39;M_OEM_APF;75;75;302.5;347.5;365;;365;60;192.5;-220;;192.5;240;267.5;-272.5;;267.5;825;2;591.87;587.86;568.02;101.36;;USA;;APF;WPC;2019-06-13;USA;MI;Grand Rapids;Nationals
Adam Zevchik;M;SBD;Multi-ply;24;24-34;24-39;M_OEM_APF;74.6;75;325;340;;;340;60;195;-205;;195;227.5;260;-272.5;;260;795;1;572.31;568.61;549.54;98.01;;USA;;APF;WPC;2019-03-09;USA;MI;;Michigan State Meet
Adam Zevchik;M;SBD;Multi-ply;23;20-23;;M_OEM_WPC;74.8;75;287.5;312.5;-325;;312.5;170;192.5;-200;;192.5;-227.5;227.5;-267.5;;227.5;732.5;1;526.41;522.92;505.33;90.15;;USA;;WPC;WPC;2018-11-05;USA;FL;;World Championships
Adam Zevchik;M;SBD;Multi-ply;23;20-23;;M_JEM_WPC;74.8;75;287.5;312.5;-325;;312.5;170;192.5;-200;;192.5;-227.5;227.5;-267.5;;227.5;732.5;1;526.41;522.92;505.33;90.15;;USA;;WPC;WPC;2018-11-05;USA;FL;;World Championships
Adam Zevchik;M;SBD;Multi-ply;23;20-23;;M_OEM_APF;67.5;67.5;275;-297.5;-297.5;;275;167.5;-182.5;-182.5;;167.5;237.5;-265;-265;;237.5;680;1;524.11;524.29;508.92;89.65;;USA;;APF;WPC;2018-06-08;USA;IL;;Equipped Nationals
Adam Zevchik;M;SBD;Multi-ply;22;20-23;19-23;M_JEM_APF;67.3;67.5;260;287.5;-307.5;;287.5;60;145;165;;165;220;252.5;-275;;252.5;705;1;544.54;544.86;528.96;93.14;;USA;;APF;WPC;2017-06-15;USA;FL;;Equipped Nationals
Adam Zevchik;M;SBD;Multi-ply;22;20-23;19-23;M_OEM_APF;67.3;67.5;260;287.5;-307.5;;287.5;60;145;165;;165;220;252.5;-275;;252.5;705;1;544.54;544.86;528.96;93.14;;USA;;APF;WPC;2017-06-15;USA;FL;;Equipped Nationals
Adam Zevchik;M;SBD;Multi-ply;21;20-23;19-23;M_JEM_APF;66.6;67.5;250;272.5;-285;;272.5;157.5;162.5;;;162.5;225;237.5;250;;250;685;1;533.15;533.90;518.57;91.17;;USA;;APF;WPC;2016-10-07;USA;MI;Grand Rapids;Michigan Fall Open
Adam Zevchik;M;SBD;Multi-ply;21;20-23;19-23;M_JEM_APF;74.48;75;;;;;308.44;;;;;167.83;;;;;249.48;725.75;1;523.00;519.66;502.27;89.57;;USA;;APF;WPC;2016-09-10;USA;OH;;Ohio State Meet
Adam Zevchik;M;SBD;Multi-ply;20;20-23;19-23;M_JEM_AWPC;71.3;75;230;250;262.5;;262.5;67.5;137.5;147.5;;147.5;207.5;227.5;-237.5;;227.5;637.5;1;472.86;471.14;456.22;80.96;Yes;USA;;WPC;WPC;2015-09-02;USA;ID;Idaho Falls;Amateur Worlds
Adam Zevchik;M;SBD;Multi-ply;20;20-23;19-23;M_JEM_AAPF;69.8;75;-222.5;-222.5;222.5;;222.5;85;132.5;142.5;;142.5;182.5;-212.5;-225;;182.5;547.5;1;412.08;411.19;398.54;70.53;Yes;USA;;APF;WPC;2015-04-11;USA;IL;;Amateur Nationals
Adam Zevchik;M;SBD;Multi-ply;19.5;20-23;19-23;M_OEM_APF;75;75;;;;;229.06;;;;;138.35;;;;;208.65;576.06;1;413.28;410.48;396.62;70.78;;USA;;APF;WPC;2014-12-20;USA;OH;;6th Annual Bent Bar Invitational
Adam Zevchik;M;SBD;Multi-ply;19;18-19;19-23;Amateur Teen 18-19;63.28;67.5;;;;;183.7;;;;;74.84;;;;;206.38;464.93;1;376.10;378.23;368.29;64.20;Yes;USA;;RPS;;2014-06-06;USA;OH;Columbus;LexenXtreme Summer Slam & Ohio State Championships
Adam Zevchik;M;SBD;Raw;18.5;18-19;19-23;MR-T3;64.9;66;;;;;117.9;;;;;95.3;;;;;181.4;394.6;1;313.09;314.19;305.55;62.06;Yes;USA;;USAPL;IPF;2014-02-22;USA;MI;Kalamazoo;No Frills Meet
