Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adedapo Ojewale;M;SBD;Raw;24.5;24-34;24-39;MR-O;91.6;93;270;280;-285;;280;160;165;;;165;325;345;-360.5;;345;790;1;506.36;499.91;478.76;104.12;Yes;England;;BP;IPF;2022-04-02;England;;Northampton;British University Championships
Adedapo Ojewale;M;SBD;Raw;23.5;24-34;24-39;MR-O;92.8;93;250;275;287.5;;287.5;157.5;165;-167.5;;165;325;350.5;-365;;350.5;803;1;511.44;504.95;483.33;105.16;Yes;England;GL;BP;IPF;2021-09-04;England;NW;Manchester;British Open Classic
Adedapo Ojewale;M;SBD;Raw;21.5;20-23;19-23;Juniors;91.55;93;250;260;265;;265;145;155;160;;160;305;320;327.5;;327.5;752.5;4;482.45;476.31;456.17;99.20;Yes;England;;EPF;IPF;2019-11-29;Lithuania;;Kaunas;European Classic Championships
Adedapo Ojewale;M;SBD;Raw;21.5;20-23;19-23;MR-Jr;90;93;250;260;265;;265;150;157.5;-160;;157.5;310;325;-332.5;;325;747.5;1;483.33;477.20;457.35;99.37;Yes;England;GL;BP;IPF;2019-10-30;UK;;Ashington;British Juniors Classic Powerlifting Championships
Adedapo Ojewale;M;SBD;Raw;21.5;20-23;19-23;Juniors;90.8;93;240;250;255;;255;-155;155;160;;160;-305;305;-330;;305;720;6;463.50;457.60;438.40;95.30;Yes;England;;IPF;IPF;2019-06-04;Sweden;;Helsingborg;World Classic Powerlifting Championships
Adedapo Ojewale;M;SBD;Raw;21.5;20-23;19-23;M-C-Open;90.2;93;242.5;250;-255;;250;150;155;157.5;;157.5;310;320;323;;323;730.5;1;471.82;465.82;446.40;97.01;Yes;England;;BP;IPF;2019-03-23;UK;;Northampton;British Men's University Championships
Adedapo Ojewale;M;SBD;Raw;20.5;20-23;19-23;Juniors;89.8;93;242.5;252.5;-257.5;;252.5;152.5;157.5;160;;160;297.5;310;315;;315;727.5;5;470.93;464.96;445.66;96.82;Yes;England;;EPF;IPF;2018-11-24;Lithuania;;Kaunas;European Classic Powerlifting Championships
Adedapo Ojewale;M;SBD;Raw;20.5;20-23;19-23;M-C-U23;90.15;93;250;-257.5;257.5;;257.5;160;165;-167.5;;165;300;-317.5;-320;;300;722.5;2;466.78;460.85;441.65;95.97;Yes;England;GL;BP;IPF;2018-10-13;UK;;Northampton;British Junior Men's Powerlifting Championships
Adedapo Ojewale;M;SBD;Raw;20.5;20-23;19-23;Juniors;89.74;93;230;240;247.5;;247.5;140;147.5;152.5;;152.5;280;302.5;310;;310;710;4;459.76;453.93;435.10;94.52;Yes;England;;IPF;IPF;2018-06-06;Canada;;Calgary;World Classic Powerlifting Championships
Adedapo Ojewale;M;SBD;Raw;19.5;20-23;19-23;M-C-U23;88.4;93;230;240;245;;245;135;-140;140;;140;285;305;-315;;305;690;3;450.25;444.60;426.45;92.55;Yes;England;;BP;IPF;2017-11-25;UK;;;British Junior Classic Championships
Adedapo Ojewale;M;SBD;Raw;19.5;20-23;19-23;M-C-Open;86.6;93;205;225;235;;235;130;137.5;140;;140;280;-310;310;;310;685;1;451.83;446.29;428.47;92.82;Yes;England;GL;EPA;IPF;2017-05-13;England;;London;GL Divisional May
Adedapo Ojewale;M;SBD;Raw;19.5;20-23;19-23;M-C-Open;86.4;93;180;200;210;;210;120;135;-140;;135;260;280;300;;300;645;1;425.97;420.77;404.00;87.50;Yes;England;GL;EPA;IPF;2017-02-25;England;;London;GL Divisional February
