Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adeline Ancheta;F;B;Raw;44;40-44;40-49;Open;105.1;86+;;;;;;;;;;107;;;;;;107;3;89.62;87.90;75.02;76.80;Yes;Philippines;;WPPO;;2018-10-07;Indonesia;;Jakarta;Asian Para Games
Adeline Ancheta;F;B;Raw;44;40-44;40-49;Group A;106.9;86+;;;;;;-100;105;-122;;105;;;;;;105;3;87.41;85.91;73.20;75.23;Yes;Philippines;;WPPO;;2018-09-08;Japan;;Kitakyushu;Asia-Oceania Open Championships
Adeline Ancheta;F;B;Raw;43;40-44;40-49;Group B;112.71;86+;;;;;;-111;-111;-120;;;;;;;;;DQ;;;;;Yes;Philippines;;WPPO;;2017-12-02;Mexico;;Mexico City;World Championships
Adeline Ancheta;F;B;Raw;42;40-44;40-49;Open;112.01;86+;;;;;;-112;-116;-121;;;;;;;;;DQ;;;;;Yes;Philippines;;WPPO;;2016-09-08;Brazil;;Rio De Janeiro;Paralympic Games
Adeline Ancheta;F;B;Raw;42;40-44;40-49;Open;113.25;86+;;;;;;;;;;117;;;;;;117;4;95.53;94.57;80.39;83.39;Yes;Philippines;;WPPO;;2016-02-24;Malaysia;;Kuala Lumpur;World Cup
Adeline Ancheta;F;B;Raw;42;40-44;40-49;Open;113.11;86+;;;;;;100;-111;115;;115;;;;;;115;7;93.93;92.97;79.04;81.97;Yes;Philippines;;WPPO;;2016-02-15;UAE;;Dubai;World Cup
Adeline Ancheta;F;B;Raw;41;40-44;40-49;Open;93;86+;;;;;;;;;;100;;;;;;100;1;87.89;85.30;73.90;73.03;Yes;Philippines;;WPPO;;2015-12-05;Singapore;;;Southeast Asian Para Games
Adeline Ancheta;F;B;Raw;41;40-44;40-49;Open;;86+;;;;;;;;;;;;;;;;;DQ;;;;;Yes;Philippines;;WPPO;;2015-07-26;Kazakhstan;;Almaty;Asian Open Championships
Adeline Ancheta;F;B;Raw;40;40-44;40-49;Open;111.8;86+;;;;;;115;-118;-122;;115;;;;;;115;2;94.29;93.19;79.27;82.05;Yes;Philippines;;WPPO;;2014-10-19;South Korea;;Incheon;Asian Para Games
Adeline Ancheta;F;B;Raw;39;35-39;40-49;Open;107.96;86+;;;;;;-110;110;-112;;110;;;;;;110;4;91.26;89.80;76.49;78.74;Yes;Philippines;;WPPO;;2013-11-03;Malaysia;;Kuala Lumpur;Asian Open Championships
Adeline Ancheta;F;B;Raw;38;35-39;24-39;Open;101.59;82.5+;;;;;;-120;120;-129;;120;;;;;;120;6;101.78;99.46;85.27;86.48;Yes;Philippines;;WPPO;;2012-08-29;England;;London;Paralympic Games
Adeline Ancheta;F;B;Raw;38;35-39;24-39;Open;100.45;82.5+;;;;;;;;;;128;;;;;;128;4;109.04;106.43;91.38;92.38;Yes;Philippines;;WPPO;;2012-02-22;UAE;;Dubai;World Cup
Adeline Ancheta;F;B;Raw;38;35-39;24-39;Open;101.9;82.5+;;;;;;-120;120;-125;;120;;;;;;120;1;101.66;99.38;85.17;86.45;Yes;Philippines;;WPPO;;2011-12-17;Indonesia;;Solo;6th Asean Para Games
Adeline Ancheta;F;B;Raw;37;35-39;24-39;Open;102.68;82.5+;;;;;;-115;115;-122.5;;115;;;;;;115;2;97.15;95.04;81.37;82.77;Yes;Philippines;;WPPO;;2010-12-13;China;;Guangzhou;Asian Para Games
Adeline Ancheta;F;B;Single-ply;36;35-39;24-39;Open;99.7;90+;;;;;;90;105;115;;115;;;;;;115;1;98.25;95.83;82.36;56.73;Yes;Philippines;;AsianPF;IPF;2010-08-13;Philippines;;Manila;Asian Bench Press Championship
Adeline Ancheta;F;B;Raw;36;35-39;24-39;Open;99.25;82.5+;;;;;;105;112.5;117.5;;117.5;;;;;;117.5;4;100.56;98.05;84.31;84.94;Yes;Philippines;;WPPO;;2010-03-28;UAE;;Dubai;2nd Fazaa International
Adeline Ancheta;F;B;Raw;35;35-39;24-39;Open;97.15;82.5+;;;;;;95;105;110;;110;;;;;;110;1;94.95;92.40;79.66;79.76;Yes;Philippines;;WPPO;;2009-11-25;India;KA;Bangalore;IWAS World Games
Adeline Ancheta;F;B;Raw;35;35-39;24-39;Open;96.4;82.5+;;;;;;100;110;115;117;115;;;;;;115;1;99.58;96.85;83.57;83.49;Yes;Philippines;;WPPO;;2009-08-15;Malaysia;;Kuala Lumpur;5th Asean Games
Adeline Ancheta;F;B;Raw;30;24-34;24-39;Open;;82.5+;;;;;;;;;;110;;;;;;110;7;;;;;Yes;Philippines;;WPPO;;2004-09-20;Greece;;Athens;Paralympic Games
