Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ademar Garcia;M;SBD;Single-ply;17.5;18-19;;Boys;109.68;109.7;;;;;142.88;;;;;154.22;;;;;188.24;485.34;5;287.77;285.88;273.20;48.66;Yes;USA;;THSPA;;2022-02-11;USA;TX;Hebbronville;Longhorn Powerlifting Meet
Ademar Garcia;M;SBD;Single-ply;17.5;18-19;;Boys;110.04;124.7;;;;;124.74;;;;;149.69;;;;;151.95;426.38;3;252.50;250.89;239.79;42.69;Yes;USA;;THSPA;;2022-02-04;USA;TX;San Diego;Brush Country Classsic 2
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;134.26;124.7+;;;;;256.28;;;;;145.15;;;;;222.26;623.69;8;345.91;350.81;334.41;57.92;Yes;USA;;THSPA;;2020-03-12;USA;TX;Bishop;Boys Region 5 Division 3
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;133.27;124.7+;;;;;192.78;;;;;140.61;;;;;215.46;548.85;7;305.06;309.09;294.80;51.09;Yes;USA;;THSPA;;2020-02-28;USA;TX;Bishop;Bishop Boys Last Qualifying Meet
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;133.45;124.7+;;;;;260.82;;;;;136.08;;;;;215.46;612.35;3;340.22;344.78;328.80;56.98;Yes;USA;;THSPA;;2020-02-22;USA;TX;Hebbronville Jr High;Hebbronville Powerlifting Meet
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;;;;;;;;;;;;;;;;;;;NS;;;;;Yes;USA;;THSPA;;2020-02-15;USA;TX;Orange Grove;7th Annual Orange Grove Invitational
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;134.08;124.7+;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2020-02-08;USA;TX;Santa Gertrudis;Iron Lions Invitational
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;132.9;124.7+;;;;;254.01;;;;;127.01;;;;;199.58;580.6;1;322.97;327.13;312.06;54.10;Yes;USA;;THSPA;;2020-01-30;USA;TX;Bishop;Bishop Boys Invitational
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;134.72;124.7+;;;;;254.01;;;;;117.93;;;;;199.58;571.53;5;316.66;321.29;306.20;53.02;Yes;USA;;THSPA;;2020-01-25;USA;TX;;Panther Power Invitational
Ademar Garcia;M;SBD;Single-ply;15.5;16-17;14-18;Boys;134.35;124.7+;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2020-01-18;USA;TX;San Diego;Brush Country Classic
