Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adile Ramazanova;F;SBD;Raw;27;24-34;24-39;Amateur Open;53.3;56;100;105;110;;110;62.5;-67.5;-67.5;;62.5;130;-142.5;142.5;;142.5;315;2;377.47;385.24;341.19;77.90;Yes;Ukraine;;NAP;IPA;2021-04-17;Russia;;Simferopol;Power of Taurus 3
Adile Ramazanova;F;SBD;Raw;26;24-34;24-39;Amateur Open;54.8;56;95;97.5;105;;105;57.5;62.5;-65;;62.5;125;137.5;-140;;137.5;305;1;358.68;365.01;323.02;73.75;Yes;Ukraine;;NAP;IPA;2020-09-19;Ukraine;;Gurzuf;Power of Taurus 2
Adile Ramazanova;F;SBD;Raw;25;24-34;24-39;Open;53.7;56;95;102.5;-107.5;;102.5;50;55;-57.5;;55;-120;120;132.5;;132.5;290;2;345.74;352.60;312.21;71.28;Yes;Ukraine;;RPU;;2019-11-09;Russia;;Simferopol;Southern Federal District Championships
Adile Ramazanova;F;SBD;Wraps;24;24-34;24-39;Amateur Open;52;52;80;85;90;;90;45;50;-52.5;;50;132.5;-140;-140;;132.5;272.5;2;332.15;339.71;301.12;68.81;Yes;Ukraine;;NAP;IPA;2018-11-03;Russia;;Simferopol;Western European Powerlifting Championships
Adile Ramazanova;F;D;Raw;24;24-34;24-39;Amateur Open;50.4;52;;;;;;;;;;;130;135;140;;140;140;1;174.43;178.76;158.67;;Yes;Ukraine;;NAP;IPA;2018-10-13;Russia;;Gurzuf;Eastern European Bench Press & Deadlift Championships
Adile Ramazanova;F;D;Raw;24;24-34;24-39;Amateur Open;50.7;52;;;;;;;;;;;120;127.5;132.5;;132.5;132.5;1;164.39;168.42;149.45;;Yes;Ukraine;;NAP;IPA;2018-06-30;Russia;;Gurzuf;Tavrika Cup
Adile Ramazanova;F;D;Raw;24;24-34;24-39;Amateur Open;52;52;;;;;;;;;;;120;125;130;;130;130;2;158.46;162.06;143.65;;Yes;Ukraine;;NAP;IPA;2018-03-31;Ukraine;;Simferopol;Republic of Crimea Cup
Adile Ramazanova;F;SBD;Wraps;24;24-34;24-39;Amateur Open;52;52;80;85;-90;;85;45;47.5;50;;50;120;125;130;;130;265;2;323.01;330.36;292.83;66.91;Yes;Ukraine;;NAP;IPA;2018-03-31;Ukraine;;Simferopol;Republic of Crimea Cup
Adile Ramazanova;F;D;Raw;23;20-23;19-23;Amateur Juniors 20-23;51.3;52;;;;;;;;;;;100;110;115;;115;115;1;141.51;144.87;128.48;;Yes;Ukraine;;NAP;IPA;2017-11-11;Russia;;Simferopol;Southern Federal District Bench Press & Deadlift Championships
Adile Ramazanova;F;B;Raw;23;20-23;19-23;Amateur Juniors 20-23;51.3;52;;;;;;-45;-47.5;47.5;;47.5;;;;;;47.5;1;58.45;59.84;53.07;46.03;Yes;Ukraine;;NAP;IPA;2017-11-11;Russia;;Simferopol;Southern Federal District Bench Press & Deadlift Championships
Adile Ramazanova;F;SBD;Wraps;23;20-23;19-23;Amateur Open;51.7;52;70;75;-80;;75;40;45;47.5;;47.5;100;105;-110;;105;227.5;2;278.42;284.88;252.58;57.73;Yes;Ukraine;;NAP;IPA;2017-10-08;Russia;;Simferopol;Southern Federal District Championships
Adile Ramazanova;F;B;Raw;23;20-23;19-23;Pro Juniors 20-23;54.3;56;;;;;;42.5;45;-47.5;;45;;;;;;45;1;53.25;54.24;48.01;41.52;;Ukraine;;NAP;IPA;2017-06-24;Russia;;Gurzuf;Tavrika Cup
Adile Ramazanova;F;B;Raw;23;20-23;19-23;Pro Juniors 20-23;54.5;56;;;;;;40;-45;-45;;40;;;;;;40;1;47.21;48.08;42.55;36.80;;Ukraine;;NAP;IPA;2017-05-13;Ukraine;;Simferopol;Head of the Republic of Crimea Cup
