Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adlet Anuarov;M;B;Single-ply;17.5;18-19;14-18;Sub-Juniors;73.15;74;;;;;;185;192.5;195;;195;;;;;;195;1;142.18;141.43;136.80;76.70;Yes;Kazakhstan;;IPF;IPF;2017-05-22;Lithuania;;Kaunas;World Bench Press Championships
Adlet Anuarov;M;B;Raw;17.5;18-19;14-18;Sub-Juniors;71.03;74;;;;;;150;157.5;161;;161;;;;;;161;1;119.73;119.32;115.56;87.76;Yes;Kazakhstan;;IPF;IPF;2017-04-22;USA;TX;Killeen;World Classic Bench Press Championships
Adlet Anuarov;M;B;Single-ply;16.5;16-17;14-18;Sub-Juniors;65.05;66;;;;;;170;-180;-180;;170;;;;;;170;1;134.65;135.10;131.37;74.89;Yes;Kazakhstan;;AsianPF;IPF;2016-10-15;Uzbekistan;;Tashkent;Asian Bench Press Championships
Adlet Anuarov;M;B;Single-ply;16.5;16-17;14-18;Teen;65.4;66;;;;;;157.5;-167.5;-175;;157.5;;;;;;157.5;2;124.25;124.61;121.13;68.99;Yes;Kazakhstan;;KPF;IPF;2016-07-04;Kazakhstan;;Semey;Kazakhstan Bench Press Championships
Adlet Anuarov;M;B;Raw;16.5;16-17;14-18;Teen;58.8;59;;;;;;115;120;-127.5;;120;;;;;;120;2;103.00;104.27;101.94;72.55;Yes;Kazakhstan;;KPF;IPF;2016-04-02;Kazakhstan;;Almaty;Kazakhstan Classic Bench Press Championships
Adlet Anuarov;M;SBD;Raw;15.5;16-17;14-18;Teen;56.6;59;;;;;;;;;;97.5;;;;;;;DQ;;;;;Yes;Kazakhstan;;KPF;IPF;2015-10-05;Kazakhstan;;Baykonur;Kazakhstan Powerlifting Championships
Adlet Anuarov;M;SBD;Single-ply;15.5;16-17;14-18;Sub-Juniors;52.84;53;-180;-185;185;;185;-105;105;110;;110;155;162.5;167.5;;167.5;462.5;3;436.35;446.34;439.15;73.61;Yes;Kazakhstan;;IPF;IPF;2015-08-31;Czechia;;Prague;World Sub-Juniors & Juniors Powerlifting Championships
Adlet Anuarov;M;B;Single-ply;15.5;16-17;14-18;Teen;52.5;53;;;;;;105;-110;-115;;105;;;;;;105;2;99.66;102.01;100.41;60.74;Yes;Kazakhstan;;KPF;IPF;2015-07-09;Kazakhstan;;Ushtobe;Kazakhstan Bench Press Championships
Adlet Anuarov;M;SBD;Single-ply;15.5;16-17;14-18;Teen;50.8;53;;;;;180;;;;;95;;;;;155;430;1;421.17;432.50;426.51;70.77;Yes;Kazakhstan;;KPF;IPF;2015-03-14;Kazakhstan;;;Kazakhstan Powerlifting Cup
Adlet Anuarov;M;SBD;Single-ply;13.5;13-15;14-18;Teen;41;53;;;;;115;;;;;67.5;;;;;107.5;290;1;357.80;375.09;372.18;58.27;Yes;Kazakhstan;;KPF;IPF;2013-07-05;Kazakhstan;;Petropavlovsk;Kazakhstan Sub-Juniors & Juniors Powerlifting Championships
