Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Alaniz;M;SBD;Single-ply;;;;Boys;97.93;99.7;;;;;154.22;;;;;68.04;;;;;145.15;367.41;3;228.24;225.53;215.50;38.82;Yes;USA;;THSPA;;2022-02-04;USA;TX;Economedes Weight Room;Edinburg Economedes Meet
Adrian Alaniz;M;SBD;Single-ply;;;;Boys;99.79;99.7;;;;;254.01;;;;;167.83;;;;;208.65;630.49;5;388.43;384.03;366.81;66.00;Yes;USA;;THSPA;;2021-03-09;USA;TX;Kennedale;Region 6 Division 2 Championship
Adrian Alaniz;M;SBD;Single-ply;;;;Boys;99.79;99.7;;;;;249.48;;;;;149.69;;;;;217.72;616.89;2;380.05;375.75;358.89;64.58;Yes;USA;;THSPA;;2021-02-24;USA;TX;Quinlan H.S.;Quinlan Last Chance
Adrian Alaniz;M;SBD;Single-ply;;;;Boys;99.25;99.7;;;;;238.14;;;;;145.15;;;;;206.38;589.67;2;364.14;359.96;343.85;61.89;Yes;USA;;THSPA;;2021-01-19;USA;TX;Quinlan Ford H.S;Panther Powerlifting
Adrian Alaniz;M;SBD;Raw;28;24-34;24-39;Open;98.5;100;;;;;240;;;;;152.5;;;;;257.5;650;4;402.74;398.03;380.27;82.71;;USA;TX;USPA;IPL;2018-10-20;USA;TX;Ft Worth;Unleash The Beast
Adrian Alaniz;M;SBD;Raw;28;24-34;24-39;Open;100;100;;;;;232.5;;;;;152.5;;;;;272.5;657.5;2;404.70;400.15;382.19;83.06;;USA;TX;USPA;IPL;2018-03-24;USA;TX;Fort Worth;Clash of the Barbarians
Adrian Alaniz;M;SBD;Raw;27;24-34;24-39;Open;98.2;100;;;;;230;;;;;145;;;;;260;635;1;393.98;389.33;371.99;80.92;;USA;TX;USPA;IPL;2017-06-24;USA;AR;Texarkana;Battle on the Border
Adrian Alaniz;M;SBD;Wraps;26;24-34;24-39;Open;97.6;100;;;;;215;;;;;145;;;;;242.5;602.5;4;374.84;370.36;353.92;77.00;Yes;USA;TX;USPA;IPL;2016-07-16;USA;GA;Atlanta;Drug Tested National Powerlifting Championships
Adrian Alaniz;M;SBD;Wraps;26;24-34;24-39;Open;96;100;;;;;225;;;;;140;;;;;240;605;2;379.23;374.57;358.10;77.94;;USA;TX;USPA;IPL;2016-05-21;USA;TX;Fort Worth;Clash of the Barbarians
Adrian Alaniz;M;SBD;Wraps;26;24-34;24-39;Open;94.8;100;;;;;235;;;;;137.5;;;;;225;597.5;2;376.72;372.02;355.81;77.44;;USA;TX;USPA;IPL;2016-03-12;USA;TX;Arlington;The Arlington Strength Raw Classic
