Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Brogan;M;B;Raw;49;45-49;40-49;MR-M1;81.2;83;;;;;;140;-150;-150;;140;;;;;;140;1;95.70;94.70;91.18;71.12;Yes;Australia;;APU;IPF;2022-07-31;Australia;VIC;Melbourne;Apex Powerlifting Winter Open III
Adrian Brogan;M;SBD;Raw;49;45-49;40-49;MR-M1;80.9;83;130;-140;-140;;130;140;-147.5;-147.5;;140;170;190;200;;200;470;2;321.97;318.63;306.86;65.91;Yes;Australia;;APU;IPF;2022-05-07;Australia;VIC;Melbourne;VIC State Championships
Adrian Brogan;M;SBD;Raw;49;45-49;40-49;MR-M1;80.9;83;120;130;-140;;130;130;140;-150;;140;170;180;190;;190;460;2;315.12;311.85;300.33;64.51;Yes;Australia;;APU;IPF;2022-03-19;Australia;VIC;Melbourne;IN2 Performance State Qualifier
Adrian Brogan;M;B;Raw;47.5;45-49;40-49;Open;82.65;85;;;;;;140;-150;-150;;140;;;;;;140;1;94.74;93.69;90.14;70.47;Yes;Australia;;WP;WP;2021-01-30;Australia;;;Oceania Championships
Adrian Brogan;M;B;Raw;47.5;45-49;40-49;Masters 45-49;82.65;85;;;;;;140;-150;-150;;140;;;;;;140;1;94.74;93.69;90.14;70.47;Yes;Australia;;WP;WP;2021-01-30;Australia;;;Oceania Championships
Adrian Brogan;M;B;Raw;47;45-49;40-49;Open;82.7;85;;;;;;143;-152;;;143;;;;;;143;1;96.73;95.66;92.03;71.96;Yes;Australia;;PA;WP;2020-12-19;Australia;VIC;Hawthorn;Hawthorn Open
Adrian Brogan;M;B;Raw;47;45-49;40-49;Masters 45-49;82.6;85;;;;;;140;150;-153;;150;;;;;;150;1;101.54;100.41;96.61;75.53;Yes;Australia;;PA;WP;2020-09-26;Australia;;;Australian Powerlifting Championships
Adrian Brogan;M;B;Raw;47;45-49;40-49;Open;82.6;85;;;;;;140;150;-153;;150;;;;;;150;1;101.54;100.41;96.61;75.53;Yes;Australia;;PA;WP;2020-09-26;Australia;;;Australian Powerlifting Championships
Adrian Brogan;M;SBD;Raw;46;45-49;40-49;Masters 45-49;83.1;85;140;146;-150;;146;141;146;-150;;146;191;-196;-196;;191;483;3;325.85;322.17;309.89;66.82;Yes;Australia;;WP;WP;2019-10-03;Canada;AB;Calgary;World Championships
Adrian Brogan;M;SBD;Raw;46;45-49;40-49;Masters 45-49;84.25;85;140;147;152;;152;135;141;144;;144;180;195;-201;;195;491;2;328.72;324.89;312.31;67.46;Yes;Australia;;PA;WP;2019-06-01;Australia;QLD;Cairns;Australian Masters Championships
