Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Cantu;M;SBD;Single-ply;;;;Boys;99.25;99.7;;;;;249.48;;;;;154.22;;;;;231.33;635.03;2;392.15;387.65;370.30;66.65;Yes;USA;;THSPA;;2022-01-13;USA;TX;BISD Wellness Center;Viking Invitational
Adrian Cantu;M;SBD;Wraps;29.5;24-34;24-39;MW-O;126.2;120+;-230;-240;240;;240;-122.5;-127.5;130;;130;210;220;235;;235;605;1;341.86;344.10;329.22;68.82;Yes;USA;TX;USAPL;IPF;2021-10-30;USA;TX;;TSS H-Town Showdown
Adrian Cantu;M;SBD;Single-ply;;;;Boys;87;89.8;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2021-03-06;USA;TX;Bishop;Boys Region 5 Division 2
Adrian Cantu;M;SBD;Single-ply;;;;Boys;85.28;89.8;;;;;274.42;;;;;142.88;;;;;224.53;641.83;1;426.86;421.76;405.20;72.97;Yes;USA;;THSPA;;2021-02-26;USA;TX;Port Isabel;Tarpon Powerlifting Invitational
Adrian Cantu;M;SBD;Single-ply;;;;Boys;85.28;89.8;;;;;249.48;;;;;138.35;;;;;206.38;594.21;2;395.19;390.46;375.13;67.56;Yes;USA;;THSPA;;2021-02-13;USA;TX;Rio Hondo;Bobcat Powerlifting Invitational
Adrian Cantu;M;SBD;Single-ply;;;;Boys;88;89.8;;;;;224.53;;;;;102.06;;;;;197.31;523.9;8;342.67;338.39;324.63;58.52;Yes;USA;;THSPA;;2020-02-28;USA;TX;Brownsville;Eagles Last Qualifier
Adrian Cantu;M;SBD;Single-ply;;;;Boys;88.45;89.8;;;;;215.46;;;;;111.13;;;;;197.31;523.9;5;341.77;337.48;323.69;58.36;Yes;USA;;THSPA;;2020-02-21;USA;TX;Edcouch Elsa Gym;Yellow Jacket Invitational LQW
Adrian Cantu;M;SBD;Single-ply;;;;Boys;88.99;89.8;;;;;206.38;;;;;113.4;;;;;192.78;512.56;10;333.33;329.12;315.59;56.91;Yes;USA;;THSPA;;2020-02-07;USA;TX;E-E Highschool Gym;Edcouch-Elsa Invitational
Adrian Cantu;M;SBD;Single-ply;;;;Boys;90.72;99.7;;;;;197.31;;;;;111.13;;;;;192.78;501.22;7;322.80;318.69;305.33;55.07;Yes;USA;;THSPA;;2020-02-01;USA;TX;Edinburg Quest College Prep Gym;Trailblazers 4th Annual Invitational
Adrian Cantu;M;SBD;Single-ply;;;;Boys;89.72;89.8;;;;;183.7;;;;;111.13;;;;;183.7;478.54;5;309.91;305.98;293.29;52.89;Yes;USA;;THSPA;;2020-01-17;USA;TX;Brownsville Porter;Porter Invitational Power Lifting Meet
Adrian Cantu;M;SBD;Single-ply;;;;Boys;89.27;89.8;;;;;204.12;;;;;115.67;;;;;215.46;535.24;8;347.52;343.12;328.97;59.32;Yes;USA;;THSPA;;2016-03-05;USA;TX;Chico;Region 6 Division 2 Championship
Adrian Cantu;M;SBD;Single-ply;;;;Boys;89.13;89.8;;;;;204.12;;;;;115.67;;;;;206.38;526.17;4;341.90;337.58;323.68;58.37;Yes;USA;;THSPA;;2016-02-25;USA;TX;Iowa Park;Iowa Park L.C.Q.
Adrian Cantu;M;SBD;Single-ply;;;;Boys;89.81;89.8;;;;;204.12;;;;;111.13;;;;;215.46;530.7;3;343.52;339.16;325.08;58.63;Yes;USA;;THSPA;;2016-02-11;USA;TX;City View;City View Invitational
