Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Flores;M;SBD;Single-ply;;;;Boys;65.77;67.1;;;;;122.47;;;;;104.33;;;;;142.88;369.68;7;290.41;291.11;282.92;49.64;Yes;USA;;THSPA;;2022-02-24;USA;TX;Hitchcock;Boys 3
Adrian Flores;M;SBD;Single-ply;;;;Boys;87;89.8;;;;;206.38;;;;;102.06;;;;;201.85;510.29;6;335.77;331.63;318.32;57.37;Yes;USA;;THSPA;;2021-03-06;USA;TX;Bishop;Boys Region 5 Division 3
Adrian Flores;M;SBD;Single-ply;;;;Boys;86.64;89.8;;;;;201.85;;;;;102.06;;;;;197.31;501.22;3;330.53;326.47;313.43;56.48;Yes;USA;;THSPA;;2021-02-25;USA;TX;Kenedy Texas;Kenedy Powerlifting Meet 3
Adrian Flores;M;SBD;Single-ply;;;;Boys;79.56;82.1;;;;;208.65;;;;;99.79;;;;;204.12;512.56;4;354.59;351.15;338.43;60.70;Yes;USA;;THSPA;;2020-02-22;USA;TX;Victoria;STJ Power Fest
Adrian Flores;M;B;Raw;;;;bpnov;156.49;140+;;;;;;;;;;127.5;;;;;;127.5;1;67.80;70.12;65.98;48.50;Yes;USA;NM;NASA;;2020-02-15;USA;NM;;New Mexico Classic
Adrian Flores;M;SBD;Single-ply;;;;Boys;81.83;82.1;;;;;201.85;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2020-02-15;USA;TX;Rice Consolidated;Rice Raiders Booster Club Meet
Adrian Flores;M;SBD;Single-ply;;;;Boys;79.83;82.1;;;;;188.24;;;;;99.79;;;;;215.46;503.49;4;347.62;344.19;331.67;59.50;Yes;USA;;THSPA;;2020-02-08;USA;TX;Jr. High Gym;Karnes City Invitational
Adrian Flores;M;SBD;Single-ply;;;;Boys;80.01;82.1;;;;;183.7;;;;;97.52;;;;;190.51;471.74;2;325.26;322.03;310.28;55.67;Yes;USA;;THSPA;;2020-01-20;USA;TX;Edna;Edna Invitational Meet
Adrian Flores;M;SBD;Single-ply;;;;Boys;80.65;82.1;;;;;183.7;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2020-01-18;USA;TX;Smithville;Smithville Powerlifting Championships
Adrian Flores;M;SBD;Single-ply;;;;Boys;77.29;82.1;;;;;183.7;;;;;92.99;;;;;190.51;467.2;2;328.92;326.16;314.74;56.32;Yes;USA;;THSPA;;2020-01-11;USA;TX;Skidmore;Bobcat Classic
