Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Garcia;M;SBD;Raw;18.5;18-19;19-23;MR-T3;82;82.5;215;220;225;;225;120;127.5;-135;;127.5;252.5;265;-272.5;;265;617.5;1;419.74;415.18;399.60;86.00;Yes;USA;CA;USAPL;;2022-08-13;USA;CA;;California State Championships
Adrian Garcia;M;SBD;Raw;18.5;18-19;19-23;MR-O;82;82.5;215;220;225;;225;120;127.5;-135;;127.5;252.5;265;-272.5;;265;617.5;5;419.74;415.18;399.60;86.00;Yes;USA;CA;USAPL;;2022-08-13;USA;CA;;California State Championships
Adrian Garcia;M;SBD;Raw;25;24-34;24-39;Open;59.8;60;182.5;197.5;205;;205;102.5;115;-122.5;;115;187.5;202.5;-215;;202.5;522.5;2;442.22;446.99;436.57;85.84;Yes;USA;CA;USPA;IPL;2022-06-25;USA;CA;Santa Clara;Drug Tested San Jose Fit Expo
Adrian Garcia;M;SBD;Raw;18.5;18-19;19-23;MR-T3;81.57;82.5;210;-217.5;225;;225;125;-132.5;132.5;;132.5;-250;-260;;;;;DQ;;;;;Yes;USA;CA;USAPL;;2022-03-23;USA;IL;Lombard;Teen Nationals
Adrian Garcia;M;SBD;Raw;25;24-34;24-39;Open;59.1;60;172.5;182.5;192.5;;192.5;107.5;115;120;;120;175;187.5;200;;200;512.5;1;438.01;443.22;433.18;84.73;;USA;CA;USPA;IPL;2021-10-02;USA;CA;Redwood City;The Fullsterkur Battle
Adrian Garcia;M;SBD;Raw;17.5;18-19;14-18;MR-T3;83;83;190;200;210;;210;112.5;117.5;122.5;;122.5;237.5;245;252.5;;252.5;585;1;394.93;390.49;375.62;80.98;Yes;USA;CA;USAPL;IPF;2021-09-18;USA;CA;;California State Championships
Adrian Garcia;M;SBD;Raw;17.5;18-19;14-18;MR-T2;82.6;83;167.5;175;185;;185;97.5;102.5;105;;105;210;-225;225;;225;515;1;348.62;344.75;331.70;71.46;Yes;USA;CA;USAPL;IPF;2021-05-01;USA;CA;;Clash in Central Cali
Adrian Garcia;M;SBD;Single-ply;;;;Boys;59.51;59.8;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2021-03-13;USA;TX;Weslaco East;Region 5 Division 1 Championships
Adrian Garcia;M;SBD;Single-ply;;;;Boys;59.51;59.8;;;;;204.12;;;;;117.93;;;;;185.97;508.02;1;431.70;436.55;426.49;73.47;Yes;USA;;THSPA;;2021-02-26;USA;TX;Barrientes MS;ECISD Boys LCQ
Adrian Garcia;M;SBD;Single-ply;;;;Boys;55.79;55.7;;;;;136.08;;;;;83.91;;;;;142.88;362.87;3;325.87;331.56;325.15;55.22;Yes;USA;;THSPA;;2021-02-25;USA;TX;Lyford Activity Center;Lyford Boys Invitational
