Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Garza;M;SBD;Raw;23;20-23;;Juniors 20-23;88.9;90;170;185;192.5;;192.5;135;145;-155;;145;205;225;245;;245;582.5;2;379.00;374.23;358.85;77.91;Yes;USA;WA;USPA;IPL;2022-08-13;USA;WA;Richland;Drug Tested Power Palooza
Adrian Garza;M;SBD;Single-ply;;;;Boys;73.03;74.8;;;;;199.58;;;;;102.06;;;;;183.7;485.34;2;354.26;352.43;340.92;60.67;Yes;USA;;THSPA;;2022-02-24;USA;TX;MISSION HIGH SCHOOL;IRON EAGLE POWERLIFTING MEET
Adrian Garza;M;SBD;Single-ply;;;;Boys;72.39;74.8;;;;;183.7;;;;;102.06;;;;;181.44;467.2;3;343.02;341.43;330.40;58.74;Yes;USA;;THSPA;;2022-02-11;USA;TX;Hebbronville;Longhorn Powerlifting Meet
Adrian Garza;M;SBD;Single-ply;;;;Boys;66.41;67.1;;;;;151.95;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2020-02-22;USA;TX;Hebbronville Jr High;Hebbronville Powerlifting Meet
Adrian Garza;M;SBD;Single-ply;;;;Boys;66.68;67.1;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2020-01-25;USA;TX;;Panther Power Invitational
Adrian Garza;M;SBD;Single-ply;;;;Boys;70.08;74.8;;;;;167.83;;;;;83.91;;;;;174.63;426.38;5;320.02;319.25;309.37;54.78;Yes;USA;;THSPA;;2020-01-11;USA;TX;Cigarroa;Toro Invitational
Adrian Garza;M;SBD;Single-ply;;;;Boys;74.84;74.8;;;;;149.69;;;;;72.57;;;;;140.61;362.87;5;260.69;258.95;250.23;44.64;Yes;USA;;THSPA;;2019-02-02;USA;TX;Martin;Martin Meet II
Adrian Garza;M;SBD;Single-ply;;;;Boys;73.48;74.8;;;;;140.61;;;;;68.04;;;;;142.88;351.53;8;255.56;254.13;245.77;43.76;Yes;USA;;THSPA;;2019-01-26;USA;TX;United South;Panther Power Invitational
Adrian Garza;M;SBD;Single-ply;;;;Boys;73.94;74.8;;;;;127.01;;;;;70.31;;;;;136.08;333.39;11;241.39;239.95;231.99;41.34;Yes;USA;;THSPA;;2019-01-19;USA;TX;Dr Leo G Cigarroa;CIGARROA TORO INVITATIONAL
Adrian Garza;M;SBD;Single-ply;;;;Boys;74.39;74.8;;;;;122.47;;;;;65.77;;;;;115.67;303.91;11;219.18;217.80;210.52;37.54;Yes;USA;;THSPA;;2019-01-12;USA;TX;Laredo Martin;Martin HS Varsity Boys
Adrian Garza;M;SBD;Single-ply;;13-15;;Freshmen;99.79;99.7;;;;;163.29;;;;;90.72;;;;;147.42;401.43;3;247.31;244.51;233.54;42.02;Yes;USA;;THSPA;;2011-01-29;USA;TX;LAREDO UNITED SOUTH HIGH SCHOOL;PANTHER POWER INVITATIONAL-GIRLS/FRESHMEN
Adrian Garza;M;SBD;Single-ply;;13-15;;Freshmen;99.79;99.7;;;;;145.15;;;;;86.18;;;;;142.88;374.21;4;230.54;227.93;217.71;39.17;Yes;USA;;THSPA;;2011-01-22;USA;TX;Cigarroa;Cigarroa Toro Invitational
