Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Locke;M;SBD;Single-ply;29.5;24-34;24-39;Open;103.53;105;310;325;-335;;325;-210;-220;-220;;;;;;;;;DQ;;;;;Yes;Canada;AB;CPU;IPF;2020-03-03;Canada;MB;Winnipeg;Nationals
Adrian Locke;M;SBD;Single-ply;28.5;24-34;24-39;Open;102.69;105;325;335;-340;;335;215;-225;230;;230;300;317.5;325;;325;890;10;541.67;536.12;511.92;91.91;Yes;Canada;;IPF;IPF;2019-11-18;UAE;;Dubai;World Powerlifting Championships
Adrian Locke;M;B;Single-ply;28.5;24-34;24-39;Open;104.32;105;;;;;;212.5;220;-227.5;;220;;;;;;220;1;133.03;131.76;125.82;68.52;Yes;Canada;AB;CPU;IPF;2019-06-22;Canada;AB;Edmonton;Alberta Provincials
Adrian Locke;M;SBD;Single-ply;28.5;24-34;24-39;Open;102.4;105;;;;;345;;;;;220;;;;;315;880;2;536.22;530.66;506.71;90.99;Yes;Canada;AB;CPU;IPF;2019-03-04;Canada;ON;Ottawa;National Championship
Adrian Locke;M;SBD;Single-ply;27.5;24-34;24-39;Open;103.75;105;305;322.5;335;;335;197.5;212.5;-217.5;;212.5;285;305;317.5;;317.5;865;10;524.22;519.10;495.66;88.90;Yes;Canada;;IPF;IPF;2018-11-05;Sweden;;Halmstad;World Powerlifting Championships
Adrian Locke;M;SBD;Single-ply;27.5;24-34;24-39;Open;104.6;105;;;;;340;;;;;215;;;;;310;865;1;522.48;517.58;494.23;88.57;Yes;Canada;AB;CPU;IPF;2018-02-19;Canada;AB;Calgary;Canadian Championship
Adrian Locke;M;SBD;Single-ply;26.5;24-34;24-39;Open;103.95;105;285;305;317.5;;317.5;192.5;205;210;;210;275;295;-307.5;;295;822.5;21;498.07;493.25;470.98;84.46;Yes;Canada;;IPF;IPF;2017-11-13;Czechia;;Pilsen;World Powerlifting Championships
Adrian Locke;M;SBD;Raw;26.5;24-34;24-39;Open;107.9;120;;;;;265;;;;;172.5;;;;;292.5;730;3;435.55;432.22;412.89;89.00;Yes;Canada;AB;CPU;IPF;2017-05-20;Canada;SK;Regina;War of the West Invitational
Adrian Locke;M;SBD;Single-ply;26.5;24-34;24-39;Open;103.1;105;;;;;297.5;;;;;190;;;;;307.5;795;2;483.05;478.19;456.60;81.94;Yes;Canada;AB;CPU;IPF;2017-03-13;Canada;QC;Saguenay;Canadian National Championship
Adrian Locke;M;SBD;Single-ply;25.5;24-34;24-39;Open;112.6;120;270;287.5;297.5;;297.5;175;185;-195;;185;265;285;-300;;285;767.5;1;450.65;448.56;429.04;76.09;Yes;Canada;;NAPF;IPF;2016-08-15;US Virgin Islands;;St Croix;North American Powerlifting Championships
Adrian Locke;M;SBD;Raw;25.5;24-34;24-39;Open;111.06;120;280;292.5;-297.5;;292.5;170;180;187.5;;187.5;265;282.5;-290;;282.5;762.5;7;449.99;447.43;427.76;91.74;Yes;Canada;;IPF;IPF;2016-06-19;USA;TX;Killeen;World Classic Powerlifting Championships
Adrian Locke;M;SBD;Raw;25.5;24-34;24-39;Open;115.7;120;;;;;302.5;;;;;197.5;;;;;300;800;2;465.20;464.10;444.34;94.50;Yes;Canada;AB;CPU;IPF;2016-02-15;Canada;SK;Regina;Canadian Championship
Adrian Locke;M;SBD;Raw;24.5;24-34;24-39;Open;115.2;120;272.5;292.5;-300;;292.5;172.5;187.5;192.5;;192.5;262.5;282.5;297.5;;297.5;782.5;2;455.72;454.46;435.05;92.61;Yes;Canada;;CommonwealthPF;IPF;2015-12-01;Canada;BC;Richmond;Commonwealth Championships
Adrian Locke;M;B;Raw;24.5;24-34;24-39;Open;115.2;120;;;;;;;;;;180;;;;;;180;1;104.83;104.54;100.07;77.30;Yes;Canada;AB;CPU;IPF;2015-07-04;Canada;AB;Calgary;Alberta Provincials
Adrian Locke;M;SBD;Raw;24.5;24-34;24-39;Open;116;120;;;;;290;;;;;182.5;;;;;282.5;755;4;438.64;437.69;419.10;89.09;Yes;Canada;AB;CPU;IPF;2015-04-06;Canada;NL;St. John's;Canadian Championship
Adrian Locke;M;SBD;Raw;24.5;24-34;24-39;Open;115.9;120;;;;;300;;;;;182.5;;;;;295;777.5;1;451.85;450.84;431.67;91.77;Yes;Canada;AB;CPU;IPF;2015-02-07;Canada;AB;Cold Lake;Cold Lake Barbenders Prairie Open
Adrian Locke;M;SBD;Raw;23.5;24-34;24-39;Open;116.8;120;;;;;275;;;;;185;;;;;280;740;1;428.90;428.24;410.14;87.05;Yes;Canada;AB;CPU;IPF;2014-07-05;Canada;AB;Olds;Alberta Provincial Championship
Adrian Locke;M;SBD;Raw;23.5;24-34;24-39;Open;119.3;120;;;;;272.5;;;;;172.5;;;;;275;720;1;414.31;414.51;397.19;83.91;Yes;Canada;SK;CPU;IPF;2014-01-25;Canada;SK;Saskatoon;Synergy Strength Open
Adrian Locke;M;SBD;Raw;23.5;24-34;24-39;Open;117.7;120;;;;;272.5;;;;;187.5;;;;;275;735;1;424.88;424.53;406.67;86.17;Yes;Canada;AB;CPU;IPF;2014-01-11;Canada;AB;Cold Lake;Cold Lake Bar Benders
Adrian Locke;M;SBD;Raw;22.5;20-23;19-23;Juniors;109.2;120;;;;;215;;;;;160;;;;;260;635;1;377.13;374.54;357.89;76.99;Yes;Canada;AB;CPU;IPF;2013-07-07;Canada;AB;Calgary;Alberta Provincials
Adrian Locke;M;SBD;Raw;22.5;20-23;19-23;Juniors;109.3;120;;;;;202.5;;;;;155;;;;;250;607.5;2;360.67;358.22;342.30;73.63;Yes;Canada;AB;CPU;IPF;2013-04-20;Canada;AB;Calgary;Strive To Qualify
