Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Ramirez;M;SBD;Raw;31;24-34;24-39;Open;74.1;75;-102.5;105;-120;;105;102.5;105;115;;115;-137.5;142.5;160;;160;380;5;274.75;273.08;263.99;55.75;;USA;CA;USPA;IPL;2022-03-12;USA;CA;Hawaiian Gardens;California State Championships
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;116.57;124.7;;;;;188.24;;;;;111.13;;;;;188.24;487.61;9;282.81;282.32;270.37;47.66;Yes;USA;;THSPA;;2022-02-19;USA;TX;Blooming Grove;Michael D. White Invitational
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;115.21;124.7;;;;;188.24;;;;;111.13;;;;;195.04;494.42;1;287.94;287.14;274.88;48.56;Yes;USA;;THSPA;;2022-02-10;USA;TX;Palmer Indoor Facility;Palmer Tri Meet
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;116.94;124.7;;;;;165.56;;;;;111.13;;;;;188.24;464.93;2;269.36;268.98;257.61;45.39;Yes;USA;;THSPA;;2022-01-29;USA;TX;Bulldog Gym;Rice Bulldog Invitational
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;88.13;89.8;;;;;81.65;;;;;36.29;;;;;111.13;229.06;11;149.71;147.83;141.82;25.57;Yes;USA;;THSPA;;2022-01-22;USA;TX;Chavez Middle School;La Joya ISD Powerlifting Invitational
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;88.45;89.8;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2022-01-15;USA;TX;Rio Grande City;Rio Grande City Invitational Powerlifting Championship
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;118.39;124.7;;;;;124.74;;;;;90.72;;;;;165.56;381.02;2;219.82;219.76;210.55;37.02;Yes;USA;;THSPA;;2021-02-04;USA;TX;Palmer Indoor Facility;Palmer Dual 2
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;118.57;124.7;;;;;111.13;;;;;92.99;;;;;158.76;362.87;3;209.24;209.21;200.45;35.23;Yes;USA;;THSPA;;2021-01-28;USA;TX;Palmer Indoor;Palmer Dual 1
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;109.04;109.7;;;;;254.01;;;;;154.22;;;;;226.8;635.03;2;377.36;374.73;358.06;63.83;Yes;USA;;THSPA;;2019-03-05;USA;TX;Plainview;Region 1 Division 1
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;107.32;109.7;;;;;251.74;;;;;158.76;;;;;226.8;637.3;1;381.04;378.00;361.06;64.50;Yes;USA;;THSPA;;2019-02-09;USA;TX;Levelland;Levelland Powerlifting Meet
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;106.14;109.7;;;;;244.94;;;;;154.22;;;;;226.8;625.96;1;375.89;372.65;355.89;63.67;Yes;USA;;THSPA;;2019-01-26;USA;TX;Dalhart;Dalhart Invitational
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;105.87;109.7;;;;;240.4;;;;;151.95;;;;;233.6;625.96;1;376.27;372.98;356.18;63.74;Yes;USA;;THSPA;;2019-01-12;USA;TX;Plainview;Plainview Invitational
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;107.68;109.7;;;;;;;;;;;;;;;;;DQ;;;;;Yes;USA;;THSPA;;2018-03-10;USA;TX;Abilene Cooper;Region 1 Division 1 Championship
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;106.41;109.7;;;;;249.48;;;;;120.2;;;;;226.8;596.47;6;357.82;354.79;338.84;60.60;Yes;USA;;THSPA;;2018-02-10;USA;TX;Levelland;Levelland Invitational
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;106.14;109.7;;;;;240.4;;;;;122.47;;;;;222.26;585.13;1;351.37;348.34;332.67;59.52;Yes;USA;;THSPA;;2018-01-27;USA;TX;Childress;Childress Powerlifting Meet
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;107.5;109.7;;;;;233.6;;;;;122.47;;;;;217.72;573.79;4;342.84;340.14;324.91;58.03;Yes;USA;;THSPA;;2018-01-13;USA;TX;Plainview;Plainview Invitational
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;131.27;124.7+;;;;;174.63;;;;;86.18;;;;;183.7;444.52;2;248.18;250.99;239.62;41.59;Yes;USA;;THSPA;;2016-02-20;USA;TX;Hebbronville;Hebbronville Invitational-Boys
Adrian Ramirez;M;SBD;Single-ply;;;;Boys;130.27;124.7+;;;;;154.22;;;;;83.91;;;;;181.44;419.57;10;234.79;237.22;226.58;39.36;Yes;USA;;THSPA;;2016-02-13;USA;TX;Castroville;Medina Valley Hill Country Classic
Adrian Ramirez;M;SBD;Single-ply;;13-15;;Freshmen;131.9;124.7+;;;;;174.63;;;;;77.11;;;;;158.76;410.5;1;228.86;231.58;221.03;38.35;Yes;USA;;THSPA;;2016-01-30;USA;TX;;J. W. Nixon Powerlifting Championships
