Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrian Snelgrove;M;SBD;Raw;57.5;55-59;50-59;Masters 2;101.54;105;210;222.5;235;;235;140;147.5;-155;;147.5;245;257.5;-270;;257.5;640;1;391.36;387.17;369.72;80.27;Yes;;;NZPF;IPF;2022-08-01;New Zealand;MWT;Palmerston North;New Zealand Championships
Adrian Snelgrove;M;SBD;Raw;57;55-59;50-59;Masters 2;100.8;105;190;200;-210;;200;130;140;150;;150;230;240;250;;250;600;1;368.05;364.00;347.63;75.51;Yes;;;NZPF;IPF;2022-05-28;New Zealand;AKL;Auckland;North Island Powerlifting & Bench Press Championships
Adrian Snelgrove;M;SBD;Raw;56.5;55-59;50-59;Masters 2;100.29;105;195;205;215;;215;130;140;145;;145;230;240;;;240;600;3;368.85;364.73;348.35;75.69;Yes;;;NZPF;IPF;2021-08-17;New Zealand;STL;Invercargill;New Zealand Masters Powerlifting Championships
Adrian Snelgrove;M;SBD;Raw;56;55-59;50-59;Masters 2;99;105;180;190;200;;200;130;135;-140;;135;220;230;240;;240;575;1;355.48;351.36;335.65;72.99;Yes;;;NZPF;IPF;2021-06-11;New Zealand;AKL;Auckland;North Island Championships
Adrian Snelgrove;M;SBD;Raw;53.5;50-54;50-59;Masters 2;99.92;105;200;212.5;225;;225;135;142.5;150.5;;150.5;240;252.5;265;;265;640.5;1;394.37;389.93;372.43;80.94;Yes;;;NZPF;IPF;2018-08-23;New Zealand;NTL;Whangarei;New Zealand Powerlifting Championships
Adrian Snelgrove;M;SBD;Raw;53;50-54;50-59;Masters 2;98;105;190;200;210;;210;130;135;140;;140;240;-250;-250;;240;590;1;366.39;362.05;345.94;75.26;Yes;;;NZPF;IPF;2018-06-02;New Zealand;AKL;Auckland;North Island Championships
Adrian Snelgrove;M;B;Raw;52;50-54;50-59;Masters 2;102;105;;;;;;142.5;145;157.5;;157.5;;;;;;157.5;1;96.13;95.12;90.83;71.48;Yes;;;NZPF;IPF;2017-06-10;New Zealand;AKL;Auckland;North Island Powerlifting Championships
Adrian Snelgrove;M;B;Raw;50;50-54;50-59;Masters 2;100.54;105;;;;;;140;147.5;155;;155;;;;;;155;1;95.18;94.13;89.90;70.83;Yes;;;NZPF;IPF;2015-05-23;New Zealand;AKL;Auckland;Auckland Bench Press Championships
Adrian Snelgrove;M;SBD;Raw;50;50-54;50-59;Masters 2;100.2;105;190;202.5;215;;215;135;142.5;150;;150;240;252.5;265;;265;630;1;387.44;383.11;365.90;79.51;Yes;;;NZPF;IPF;2015-04-11;New Zealand;AKL;Auckland;Auckland Powerlifting Championships
Adrian Snelgrove;M;SBD;Raw;49.5;45-49;50-59;Masters 2;101.64;105;190;200;210;;210;-130;137.5;145;;145;240;250;260;;260;615;1;375.92;371.91;355.14;77.10;Yes;;;NZPF;IPF;2014-07-26;New Zealand;AKL;Auckland;Auckland 3-Lift Powerlifting & Bench Press Novice Competition
