Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Adrián Solana Guerrero;M;SBD;Raw;27.5;24-34;24-39;SNR;98.9;105;250;260;-267.5;;260;165;170;-175;;170;300;-310;-310;;300;730;7;451.50;446.27;426.32;92.71;Yes;Spain;;AEP;IPF;2021-06-04;Spain;;Alhaurín de la Torre;11º Campeonato Absoluto de España de Powerlifting RAW
Adrián Solana Guerrero;M;SBD;Raw;25.5;24-34;24-39;SNR;100.42;105;250;262.5;270;;270;162.5;170;175;;175;-307.5;;;;;;DQ;;;;;Yes;Spain;;AEP;IPF;2019-11-02;Spain;;Valencia;Copa de España de Powerlifting
Adrián Solana Guerrero;M;SBD;Raw;25.5;24-34;24-39;Open;93;93;245;255;260;;260;160;165;-167.5;;165;305;-315;-315;;305;730;22;464.46;458.58;438.91;95.50;Yes;Spain;;IPF;IPF;2019-06-04;Sweden;;Helsingborg;World Classic Powerlifting Championships
Adrián Solana Guerrero;M;SBD;Raw;25.5;24-34;24-39;SNR;92.71;93;247.5;255;-260;;255;160;165;167;;167;305;315.5;318;;318;740;1;471.53;465.55;445.64;96.96;Yes;Spain;;AEP;IPF;2019-04-05;Spain;;Constantí;41º Campeonato Absoluto de España de Powerlifting Equipado y 10º RAW
Adrián Solana Guerrero;M;SBD;Raw;24.5;24-34;24-39;SNR;95.71;105;240;250;255;;255;155;160;162.5;;162.5;297.5;312.5;-317.5;;312.5;730;2;458.22;452.57;432.71;94.18;Yes;Spain;;AEP;IPF;2018-08-25;Spain;;Salamanca;Open de España de Powerlfting
Adrián Solana Guerrero;M;SBD;Raw;24.5;24-34;24-39;SNR;92.88;93;232.5;240;245;;245;152.5;-157.5;-157.5;;152.5;300;-313;313;;313;710.5;1;452.34;446.60;427.47;93.01;Yes;Spain;;AEP;IPF;2018-03-09;Spain;;Palos de la Frontera;Campeonato Absoluto de España de Powerlifting
Adrián Solana Guerrero;M;SBD;Raw;24.5;24-34;24-39;SNR;93;93;227.5;237.5;-245;;237.5;145;152.5;-155;;152.5;290;305;;;305;695;1;442.19;436.59;417.86;90.92;Yes;Spain;;AEP;IPF;2018-01-27;Spain;;Rivas-Vaciamadrid;Campeonato de la Comunidad de Madrid
Adrián Solana Guerrero;M;B;Raw;23.5;24-34;24-39;SNR;91.7;93;;;;;;155;-160;-160;;155;;;;;;155;2;99.30;98.03;93.88;74.05;Yes;Spain;;AEP;IPF;2017-06-24;Spain;;Madrid;Campeonato de España de Press Banca
Adrián Solana Guerrero;M;SBD;Raw;23.5;24-34;24-39;SNR;91.61;93;227.5;235;-240;;235;145;152.5;155;;155;297.5;310;-321.5;;310;700;1;448.65;442.94;424.19;92.25;Yes;Spain;;AEP;IPF;2017-04-01;Spain;;Salamanca;Campeonato de España de Powerlifting
Adrián Solana Guerrero;M;SBD;Raw;23.5;24-34;24-39;Open;90.18;93;227.5;-235;-240;;227.5;145;152.5;155;;155;295;310;-315;;310;692.5;9;447.32;441.64;423.23;91.97;Yes;Spain;;EPF;IPF;2017-03-12;Denmark;;Thisted;European Classic Powerlifting Championships
