Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Agata Kaliciak;F;SBD;Raw;24.5;24-34;24-39;Seniorki;95.8;84+;150;157.5;-165;;157.5;90;95;-97.5;;95;165;175;-181;;175;427.5;2;371.12;360.79;311.55;77.18;Yes;Poland;;PZKFiTS;IPF;2022-05-06;Poland;;Katowice;Akademickie Mistrzostwa Polski w Trójboju Siłowym Klasycznym
Agata Kaliciak;F;SBD;Raw;24.5;24-34;24-39;Open;96.49;84+;145;152.5;160;;160;87.5;92;94.5;;94.5;160;169;175;;175;429.5;2;371.76;361.61;312.00;77.37;Yes;Poland;;EPF;IPF;2022-03-24;Luxembourg;;Hamm;European University Cup
Agata Kaliciak;F;SBD;Raw;23.5;24-34;24-39;Open;91.79;84+;130;140;-150;;140;82.5;87.5;-92.5;;87.5;140;165;-182.5;;165;392.5;1;346.93;336.47;291.89;71.81;Yes;Poland;;EPF;IPF;2021-08-26;France;;Merignac;European University Powerlifting Cup
Agata Kaliciak;F;SBD;Raw;23.5;24-34;24-39;Open;90.5;84+;135;-142.5;142.5;;142.5;82.5;-87.5;-87.5;;82.5;150;-162.5;;;150;375;1;333.51;323.29;280.86;68.93;Yes;Poland;;IPF;IPF;2021-07-08;Lithuania;;Vilnius;World University Powerlifting Cup
Agata Kaliciak;F;SBD;Raw;22.5;20-23;19-23;Juniorki do lat 23;89;84+;142.5;150;-155;;150;80;85;87.5;;87.5;150;165;181.5;;181.5;419;1;375.41;363.75;316.51;77.46;Yes;Poland;;PZKFiTS;IPF;2020-09-04;Poland;;Skierniewice;Mistrzostwa Polski w Trójboju Siłowym Klasycznym
Agata Kaliciak;F;SBD;Raw;21.5;20-23;19-23;Juniors;88.05;84+;142.5;152.5;-157.5;;152.5;77.5;80;-82.5;;80;157.5;-165;165;;165;397.5;7;357.87;346.70;301.96;73.76;Yes;Poland;;EPF;IPF;2019-11-29;Lithuania;;Kaunas;European Classic Championships
Agata Kaliciak;F;B;Raw;21.5;20-23;19-23;Juniorki do lat 23;88.7;84+;;;;;;72.5;77.5;80;;80;;;;;;80;1;71.79;69.55;60.54;58.95;Yes;Poland;;PZKFiTS;IPF;2019-10-20;Poland;;Tarnowskie Góry;Puchar Polski w Wyciskaniu Leżąc Klasycznym
Agata Kaliciak;F;SBD;Raw;21.5;20-23;19-23;Juniorki do lat 23;87.1;63+;135;142.5;-150;;142.5;72.5;77.5;-80;;77.5;155;170;175;;175;395;3;357.37;346.20;301.81;73.58;Yes;Poland;;PZKFiTS;IPF;2019-09-07;Poland;;Skierniewice;Polish Classic Powerlifting Cup
Agata Kaliciak;F;SBD;Raw;21.5;20-23;19-23;Open;87.1;84+;130;140;147.5;;147.5;67.5;72.5;75;;75;150;165;170;;170;392.5;5;355.11;344.01;299.90;73.12;Yes;Poland;;IPF;IPF;2019-07-22;Estonia;;Tartu;University Powerlifting Cup
Agata Kaliciak;F;SBD;Raw;21.5;20-23;19-23;Seniorki;87.8;84+;125;135;-141;;135;67.5;70;-72.5;;70;140;155;165;;165;370;2;333.54;323.12;281.50;68.73;Yes;Poland;;PZKFiTS;IPF;2019-05-03;Poland;;Katowice;Polish University Championships
