Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Agi Balogh;F;SBD;Single-ply;;;;Open;;;;;;;137.5;;;;;82.5;;;;;150;370;1;;;;;Yes;;;ADFPA;;1988-06-18;USA;CA;Stockton;Stockton Open
Agi Balogh;F;SBD;Single-ply;;;;Open;63;63;;;;;137.5;;;;;80;;;;;165;382.5;7;411.38;410.79;362.73;69.05;Yes;;;ADFPA;;1987-05-30;USA;AZ;Tempe;Womens Nationals
Agi Balogh;F;SBD;Single-ply;;;;Open;63;63;;;;;132.5;;;;;85;;;;;155;372.5;1;400.63;400.05;353.25;67.25;Yes;;;ADFPA;;1987-04-11;USA;CA;Fremont;California Championships
Agi Balogh;F;SBD;Single-ply;;;;Open;58.7;60;125;130;132.5;;132.5;77.5;-80;80;;80;145;155;-162.5;;155;367.5;5;413.11;416.76;368.34;69.17;;;;USPF;IPF;1986-02-01;USA;UT;Salt Lake City;Women's Nationals
Agi Balogh;F;SBD;Single-ply;;;;Open;60;60;;;;;125;;;;;75;;;;;147.5;347.5;1;385.22;387.42;342.31;64.54;;;;USPF;IPF;1985-04-21;USA;CA;San Francisco;North California Womens Open
Agi Balogh;F;SBD;Single-ply;;;;Open;60;60;;;;;122.5;;;;;;;;;;;;DQ;;;;;;;;USPF;IPF;1984-08-11;USA;CA;West Pittsburgh;California State Women's
Agi Balogh;F;SBD;Single-ply;;;;Open;56;56;;;;;127.5;;;;;77.5;;;;;145;350;1;405.69;411.81;364.26;67.85;;;;USPF;IPF;1984-07-10;USA;CA;San Francisco;Sports Palace Women's Open
Agi Balogh;F;B;Raw;;;;Novice;60;60;;;;;;;;;;77.5;;;;;;77.5;3;85.91;86.40;76.34;66.58;;;;USPF;IPF;1984-07-01;USA;CA;San Jose;Elite Bench Press Championships
Agi Balogh;F;B;Raw;;;;Open;60;60;;;;;;;;;;77.5;;;;;;77.5;2;85.91;86.40;76.34;66.58;;;;USPF;IPF;1984-07-01;USA;CA;San Jose;Elite Bench Press Championships
Agi Balogh;F;SBD;Single-ply;;;;Open;56;56;;;;;122.5;;;;;77.5;;;;;140;340;1;394.10;400.05;353.86;65.91;;;;USPF;IPF;1983-12-17;USA;CA;Santa Cruz;Iron Man/Woman
