Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ahmed Gliza;M;SBD;Single-ply;;;;Open;82.9;83;;;;;280;;;;;175;;;;;290;745;2;503.28;497.64;478.72;86.09;Yes;;;SSF;IPF;2016-01-29;Sweden;;Piteå;SM-veckan - Styrkelyft
Ahmed Gliza;M;SBD;Raw;;;;Open;87.35;93;;;;;240;;;;;152.5;;;;;285;677.5;1;444.85;439.34;421.63;91.41;Yes;;;SSF;IPF;2015-12-04;Sweden;;;Lag-SM - Klassisk styrkelyft
Ahmed Gliza;M;SBD;Single-ply;;;;Open;83;83;;;;;270;;;;;180;;;;;295;745;1;502.94;497.29;478.36;86.03;Yes;;;SSF;IPF;2015-11-14;Sweden;;;DM i styrkelyft - utrustning Västra Svealands SDF
Ahmed Gliza;M;SBD;Raw;;;;Open;82.6;83;;;;;230;;;;;152.5;;;;;275;657.5;2;445.08;440.14;423.48;91.24;Yes;;;SSF;IPF;2015-07-02;Sweden;;Sundsvall;SM-veckan - klassisk styrkelyft
Ahmed Gliza;M;SBD;Single-ply;;;;Open;82.85;83;;;;;285;;;;;187.5;;;;;292.5;765;2;516.97;511.19;491.77;88.43;Yes;;;SSF;IPF;2015-01-30;Sweden;;Örebro;SM-veckan - Styrkelyft
Ahmed Gliza;M;SBD;Single-ply;;;;Open;82.95;83;;;;;260;;;;;170;;;;;267.5;697.5;6;471.03;465.75;448.03;80.57;Yes;;;SSF;IPF;2013-12-31;Sweden;;;SM Styrkelyft
Ahmed Gliza;M;B;Single-ply;;;;Open;90.15;93;;;;;;;;;;180;;;;;;180;1;116.29;114.81;110.03;60.66;Yes;;;SSF;IPF;2013-09-28;Sweden;;;DM BP Mellersta Norrland
Ahmed Gliza;M;SBD;Raw;;;;Open;82.75;83;;;;;231;;;;;150;;;;;290.5;671.5;1;454.09;449.03;432.00;93.10;Yes;;;SSF;IPF;2013-07-04;Sweden;;;SM Klassisk Styrkelyft
Ahmed Gliza;M;SBD;Raw;;;;Open;82.8;83;;;;;220;;;;;140;;;;;275;635;1;429.26;424.47;408.36;88.01;Yes;;;SSF;IPF;2013-05-03;Sweden;;;Norrlandsmästerskapen KLSL
Ahmed Gliza;M;SBD;Single-ply;;;;Open;82.9;83;;;;;260;;;;;170;;;;;277.5;707.5;1;477.95;472.59;454.63;81.76;Yes;;;SSF;IPF;2013-05-03;Sweden;;;Norrlandsmästerskapen SL
Ahmed Gliza;M;SBD;Raw;;;;Open;83;83;;;;;230;;;;;135;;;;;282.5;647.5;2;437.12;432.21;415.75;89.63;Yes;;;SSF;IPF;2011-12-30;Sweden;;;SM Klassisk SL
Ahmed Gliza;M;SBD;Single-ply;;;;Open;84.49;93;;;;;270;;;;;170;;;;;280;720;1;481.28;475.64;457.16;82.29;Yes;;;SSF;IPF;2011-11-12;Sweden;;;DM MNSDF SL
Ahmed Gliza;M;B;Single-ply;;;;Open;86.55;93;;;;;;;;;;175;;;;;;175;3;115.47;114.05;109.50;60.53;Yes;;;SSF;IPF;2011-10-08;Sweden;;;DM MNSDF BP
Ahmed Gliza;M;SBD;Raw;;;;Open;82.1;83;;;;;210;;;;;130;;;;;270;610;4;414.35;409.84;394.43;84.91;Yes;;;SSF;IPF;2011-08-20;Sweden;;;SM Klassisk SL
Ahmed Gliza;M;SBD;Single-ply;;;;Open;82.45;83;;;;;270;;;;;160;;;;;290;720;1;487.89;482.51;464.28;83.47;Yes;;;SSF;IPF;2011-07-16;Sweden;;;Sundsvalls AK KM SL
Ahmed Gliza;M;SBD;Single-ply;;;;Open;82.58;83;;;;;260;;;;;170;;;;;280;710;1;480.68;475.36;457.37;82.23;Yes;;;SSF;IPF;2011-05-07;Sweden;;;Norrlands mästerskapet SL
Ahmed Gliza;M;SBD;Single-ply;;;;Open;82.3;82.5;;;;;270;;;;;160;;;;;280;710;1;481.61;476.33;458.37;82.40;Yes;;;SSF;IPF;2008-11-01;Sweden;;;DM SL-Mellersa Norrland
Ahmed Gliza;M;SBD;Single-ply;;;;Open;81.95;82.5;;;;;250;;;;;160;;;;;282.5;692.5;1;470.88;465.78;448.31;80.57;Yes;;;SSF;IPF;2008-04-19;Sweden;;;Norrlandsmästerskapen SL
