Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ahmed Hulameh;M;BD;Raw;39;35-39;;M-OR;87.6;90;;;;;;155;165;;;165;275;300;-310;;300;465;1;304.87;301.08;288.90;;;Australia;;GPC-AUS;GPC;2021-12-04;Australia;WA;Perth;WA Push Pull
Ahmed Hulameh;M;SBD;Wraps;38;35-39;24-39;M-OR;84.5;90;285;-300;;;285;155;-162.5;162.5;;162.5;290;-300;-320;;290;737.5;1;492.95;487.16;468.23;101.17;;Australia;;GPC-AUS;GPC;2021-10-31;Australia;WA;Perth;WA Invitational
Ahmed Hulameh;M;SBD;Wraps;34;24-34;24-39;M-OR;87.2;90;285;300;;;300;150;160;-167.5;;160;280;-300;-310;;280;740;2;486.33;480.31;460.98;99.93;;Australia;;GPC-AUS;GPC;2021-05-02;Australia;WA;Perth;WA State Powerlifting Championships
Ahmed Hulameh;M;SBD;Wraps;38;35-39;24-39;M-OR;81.65;82.5;275;287.5;-295;;287.5;152.5;157.5;162.5;;162.5;290;302.5;-310;;302.5;752.5;1;512.76;507.27;488.32;105.03;;Australia;;GPC-AUS;GPC;2021-01-30;Australia;WA;Perth;Western Classic
Ahmed Hulameh;M;SBD;Wraps;37;35-39;24-39;MO-RP;82.5;82.5;280;-300;-300;;280;155;-162.5;-162.5;;155;-290;305;-312.5;;305;740;1;501.27;495.73;476.99;102.75;;Australia;;CAPO;GPA;2020-08-29;Australia;WA;Perth;WA State Championships
Ahmed Hulameh;M;SBD;Wraps;36;35-39;24-39;MO-RP;82.5;82.5;-280;280;-300;;280;155;-165;-165;;155;285;;;;285;720;1;487.72;482.33;464.10;99.97;;Australia;WA;CAPO;GPA;2019-08-17;Australia;WA;Camp Wattle Grove;National Championships
Ahmed Hulameh;M;SBD;Wraps;36;35-39;24-39;M-OR;79.1;80;270;-300;-300;;270;150;160;-162.5;;160;290;300;-305;;300;730;3;506.76;501.97;483.91;103.55;;Australia;;ProRaw;;2019-03-15;Australia;VIC;Melbourne;XI
Ahmed Hulameh;M;BD;Raw;35;35-39;24-39;MO-R;80.1;82.5;;;;;;130;140;-150;;140;275;-300;;;275;415;1;285.95;283.10;272.76;;;Australia;;CAPO;GPA;2018-11-18;Australia;;;Deadliest Deadlift & Bench
Ahmed Hulameh;M;SBD;Wraps;35;35-39;24-39;MO-RP;80;82.5;250;275;295;;295;137.5;147.5;-152.5;;147.5;275;295;;;295;737.5;1;508.54;503.49;485.13;104.02;;Australia;;CAPO;GPA;2018-10-06;Australia;WA;Perth;Wild West Shoot-Out
Ahmed Hulameh;M;SBD;Wraps;;;;M-OR;78.8;80;255;-267.5;-267.5;;255;-135;135;-147.5;;135;275;-292.5;-292.5;;275;665;8;462.69;458.39;441.97;94.52;;Australia;;ProRaw;;2018-03-16;Australia;VIC;Melbourne;X
Ahmed Hulameh;M;SBD;Wraps;34;24-34;24-39;MO-RP;82.1;82.5;-220;220;;;220;132.5;;;;132.5;270;285;-292.5;;285;637.5;4;433.03;428.32;412.21;88.73;;Australia;;CAPO;GPA;2017-10-07;Australia;WA;Perth;Wild West Shootout 6
Ahmed Hulameh;M;SBD;Wraps;34;24-34;24-39;M-OR;81;82.5;250;-272.5;272.5;;272.5;135;145;-147.5;;145;265;280;-292.5;;280;697.5;2;477.48;472.50;455.02;97.75;;Australia;;GPC-AUS;GPC;2017-09-16;Australia;WA;Perth;Pasta Cup
Ahmed Hulameh;M;SBD;Wraps;34;24-34;24-39;MR-O;77;82.5;-255;-255;-255;;;140;-145;-145;;140;272.5;-300;-300;;272.5;;DQ;;;;;;Australia;;WRPF-AUS;WRPF;2017-06-10;Australia;WA;Perth;Western Australian Powerlifting Championships
