Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Ahmed Zellouf;M;SBD;Raw;52.5;50-54;50-59;Masters 2;72.7;74;137.5;142.5;147.5;;147.5;105;112.5;-115;;112.5;205;210;-217.5;;210;470;4;344.10;342.41;331.29;69.64;Yes;France;;FFForce;IPF;2022-06-17;France;;Beuzeville;Championnats de France Masters de Force Athlétique
Ahmed Zellouf;M;SBD;Raw;52;50-54;50-59;Masters 2;71.6;74;130;135;140;;140;100;105;-110;;105;200;210;-215;;210;455;4;336.53;335.21;324.54;67.95;Yes;France;;EPF;IPF;2022-03-07;Lithuania;;Vilnius;European Classic Masters Powerlifting Championships
Ahmed Zellouf;M;SBD;Raw;52;50-54;50-59;Masters 2;73.6;74;130;135;140;;140;100;105;115;;115;190;200;210;;210;465;1;337.69;335.77;324.70;68.46;Yes;France;;FFForce;IPF;2022-01-15;France;;Port-la-Nouvelle;Championnat Régional Occitanie
Ahmed Zellouf;M;SBD;Raw;51.5;50-54;50-59;Masters 2;72.08;74;130;135;140;;140;-110;-110;-110;;;-200;-200;;;;;DQ;;;;;Yes;France;;IPF;IPF;2021-09-23;Sweden;;Halmstad;World Classic Powerlifting Championships
Ahmed Zellouf;M;SBD;Raw;51.5;50-54;50-59;Masters 2;71.03;74;130;135;137.5;;137.5;110;-115;-115;;110;190;200;210;;210;457.5;4;340.22;339.07;328.39;68.61;Yes;France;;FFForce;IPF;2021-09-11;France;;Beuzeville;Championnats de France Masters de Force Athlétique
Ahmed Zellouf;M;SBD;Raw;50;50-54;50-59;Masters 2;72.71;74;135;140;145;;145;110;115;-117.5;;115;200;210;217.5;;217.5;477.5;4;349.55;347.84;336.54;70.75;Yes;France;;EPF;IPF;2020-03-09;France;;Albi;European Masters Classic Powerlifting Championships
Ahmed Zellouf;M;D;Raw;50;50-54;50-59;Masters;70.9;;;;;;;;;;;;195;202.5;;;202.5;202.5;1;150.78;150.29;145.56;;Yes;France;;FFForce;IPF;2020-02-01;France;;Port-la-Nouvelle;Eliminatoires Jean Villenave Occitanie
Ahmed Zellouf;M;SBD;Raw;50;50-54;50-59;Masters 2;73.8;74;120;130;;;130;100;110;;;110;180;190;200;;200;440;1;318.97;317.11;306.61;64.69;Yes;France;;FFForce;IPF;2019-12-14;France;;Port-la-Nouvelle;Régional FA PL DC BP Occitanie
Ahmed Zellouf;M;SBD;Raw;49;45-49;50-59;Masters 2;72.51;74;130;137.5;142.5;;142.5;105;107.5;-112.5;;107.5;190;200;205;;205;455;1;333.69;332.11;321.36;67.51;Yes;France;;FFForce;IPF;2019-04-19;France;;Saint-Lô;Championnats de France Force Athlétique Masters
Ahmed Zellouf;M;SBD;Raw;49;45-49;50-59;Masters 2;73.5;74;120;130;135;;135;102.5;107.5;-110;;107.5;175;185;195;;195;437.5;1;318.00;316.22;305.81;64.46;Yes;France;;FFForce;IPF;2019-01-19;France;;Port-la-Nouvelle;Challenge d'Hiver FA PL DC BP Occitanie
Ahmed Zellouf;M;SBD;Raw;49;45-49;40-49;Masters 2;72.2;74;115;120;125;;125;100;105;107.5;;107.5;170;180;190;;190;422.5;1;310.75;309.36;299.40;62.83;Yes;France;;FFForce;IPF;2018-11-03;France;;Port-la-Nouvelle;Départemental FA PL Occitanie
Ahmed Zellouf;M;SBD;Raw;48;45-49;40-49;Masters 1;72.6;74;125;135;-140;;135;100;110;-115;;110;180;190;195;;195;440;2;322.43;320.87;310.47;65.24;Yes;France;;FFForce;IPF;2017-12-02;France;;Leucate;Régional FA PL DC BP Occitanie
Ahmed Zellouf;M;SBD;Raw;47;45-49;40-49;Masters 1;73;74;120;130;135;;135;100;-110;-110;;100;170;180;185;;185;420;2;306.65;305.07;295.11;62.10;Yes;France;;FFForce;IPF;2016-12-10;France;;Leucate;Régional FA PL DC BP Occitanie
