Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aida Agüero;F;B;Raw;58;55-59;50-59;M4;73.2;75;;;;;;125;132.5;-138;;132.5;;;;;;132.5;1;130.74;127.93;112.63;103.14;;Argentina;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aida Agüero;F;B;Multi-ply;58;55-59;50-59;M4;74;75;;;;;;135;145;150;155;150;;;;;;150;1;147.14;143.81;126.57;82.78;;Argentina;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aida Agüero;F;D;Raw;58;55-59;50-59;M4;74;75;;;;;;;;;;;182.5;-195;-195;;182.5;182.5;1;179.02;174.97;153.99;;;Argentina;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aida Agüero;F;S;Multi-ply;58;55-59;50-59;M4;74.4;75;-210;210;-222.5;;210;;;;;;;;;;;210;1;205.41;200.65;176.55;;;Argentina;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aida Agüero;F;S;Wraps;58;55-59;50-59;M4;73.1;75;205;215.5;-220;;215.5;;;;;;;;;;;215.5;1;212.79;208.25;183.35;;;Argentina;;GPC;GPC;2019-10-20;Slovakia;;Nové Zámky;World Championships
Aida Agüero;F;B;Raw;55.5;55-59;50-59;O;72.7;75;;;;;;122.5;135;-140.5;;135;;;;;;135;1;133.70;130.93;115.29;105.36;;Argentina;;GPC;GPC;2017-11-24;Argentina;;Villa Maria;South American Championships
Aida Agüero;F;B;Multi-ply;55.5;55-59;50-59;O;72.3;75;;;;;;130;140;-150;;140;;;;;;140;1;139.07;136.27;120.02;78.16;;Argentina;;GPC;GPC;2017-11-24;Argentina;;Villa Maria;South American Championships
Aida Agüero;F;SBD;Wraps;56;55-59;50-59;F4;71.3;75;200;210;-222.5;;210;120;-130;;;120;170;;;;170;500;1;500.48;491.22;432.81;101.76;;Argentina;;FEPOA;GPC;2017-10-06;Argentina;;;Torneo Nacional de Potencia
Aida Agüero;F;SBD;Wraps;56;55-59;50-59;M4;73.1;75;-205;205;-215;;205;125;132.5;-140;;132.5;175;185;195;;195;532.5;1;525.80;514.58;453.06;107.00;;Argentina;;GPC;GPC;2017-09-14;Czechia;;Trutnov;World Championships
Aida Agüero;F;S;Multi-ply;56;55-59;50-59;M4;73.3;75;220;-235;-235;;220;;;;;;;;;;;220;1;216.91;212.22;186.83;;;Argentina;;GPC;GPC;2017-09-14;Czechia;;Trutnov;World Championships
Aida Agüero;F;S;Wraps;56;55-59;50-59;M4;73.6;75;200;215;;;215;;;;;;;;;;;215;1;211.52;206.85;182.08;;;Argentina;;GPC;GPC;2017-09-14;Czechia;;Trutnov;World Championships
Aida Agüero;F;B;Multi-ply;56;55-59;50-59;M4;72.8;75;;;;;;130;140.5;147.5;-152.5;147.5;;;;;;147.5;1;145.97;142.92;125.85;82.06;;Argentina;;GPC;GPC;2017-09-14;Czechia;;Trutnov;World Championships
Aida Agüero;F;B;Raw;56;55-59;50-59;M4;72;75;;;;;;122.5;130;-136;;130;;;;;;130;1;129.43;126.89;111.77;101.84;;Argentina;;GPC;GPC;2017-09-14;Czechia;;Trutnov;World Championships
Aida Agüero;F;B;Raw;56;55-59;50-59;FO;72.6;75;;;;;;120;130;;;130;;;;;;130;1;128.84;126.19;111.13;101.51;;Argentina;;FEPOA;GPC;2017-08-05;Argentina;;;Torneo Nacional de Banco y Despegue
Aida Agüero;F;B;Multi-ply;56;55-59;50-59;FO;72.6;75;;;;;;130;140;-150;;140;;;;;;140;1;138.75;135.90;119.68;78.00;;Argentina;;FEPOA;GPC;2017-08-05;Argentina;;;Torneo Nacional de Banco y Despegue
Aida Agüero;F;B;Raw;53;50-54;50-59;M3;71.2;75;;;;;;125;135;140;;140;;;;;;140;1;140.24;137.67;121.31;110.16;;Argentina;;GPC;GPC;2016-11-26;Brazil;;Santos;South American Championships
Aida Agüero;F;B;Multi-ply;53;50-54;50-59;O;71.2;75;;;;;;135;145;-150;;145;;;;;;145;1;145.25;142.59;125.64;81.59;;Argentina;;GPC;GPC;2016-11-26;Brazil;;Santos;South American Championships
Aida Agüero;F;B;Raw;54.5;50-54;50-59;M4;70.9;75;;;;;;120;130;135;;135;;;;;;135;1;135.55;133.14;117.32;106.41;;Argentina;;GPC;GPC;2016-09-18;Serbia;;Knjaževac;World Championships
Aida Agüero;F;SBD;Wraps;54.5;50-54;50-59;M4;71.6;75;190;207.5;220;;220;120;130;137;;137;180;190;-202.5;;190;547;1;546.26;535.88;472.10;111.09;;Argentina;;GPC;GPC;2016-09-18;Serbia;;Knjaževac;World Championships
Aida Agüero;F;B;Multi-ply;54.5;50-54;50-59;M4;70.8;75;;;;;;130;-140;140;;140;;;;;;140;1;140.68;138.20;121.79;79.01;;Argentina;;GPC;GPC;2016-09-18;Serbia;;Knjaževac;World Championships
Aida Agüero;F;D;Raw;54.5;50-54;50-59;M4;70.9;75;;;;;;;;;;;180;190;;;190;190;1;190.78;187.38;165.12;;;Argentina;;GPC;GPC;2016-09-18;Serbia;;Knjaževac;World Championships
Aida Agüero;F;B;Raw;64;60-64;60-69;F5;68.8;75;;;;;;115;125;-135;;125;;;;;;125;1;127.65;125.86;110.99;99.80;;Argentina;;FEPOA;GPC;2016-05-07;Argentina;;Buenos Aires;Torneo Nacional de Banco y Despegue
Aida Agüero;F;D;Raw;64;60-64;60-69;F5;68.8;75;;;;;;;;;;;180;190;;;190;190;1;194.02;191.31;168.70;;;Argentina;;FEPOA;GPC;2016-05-07;Argentina;;Buenos Aires;Torneo Nacional de Banco y Despegue
Aida Agüero;F;SBD;Wraps;54;50-54;50-59;F3;69.4;75;185;200;-210;;200;120;130;135;;135;185;-195;;;185;520;1;528.40;520.41;458.83;107.39;;Argentina;;FEPOA;GPC;2016-03-01;Argentina;;;Torneo Nacional de Potencia
Aida Agüero;F;D;Raw;;50-54;50-59;M3;68.5;75;;;;;;;;;;;175;;;;175;175;1;179.15;176.75;155.87;;;Argentina;;GPC;GPC;2015-11-26;Argentina;;Cordoba;South American Championships
Aida Agüero;F;B;Raw;54;50-54;50-59;M3;68.5;75;;;;;;125;135;-141;;135;;;;;;135;1;138.20;136.35;120.25;108.00;;Argentina;;GPC;GPC;2015-11-26;Argentina;;Cordoba;South American Championships
Aida Agüero;F;SBD;Wraps;54;50-54;50-59;M3;68.4;75;-175;175;190;;190;125;135;-140;;135;160;;;;160;485;1;496.92;490.35;432.45;100.97;;Argentina;;GPC;GPC;2015-11-26;Argentina;;Cordoba;South American Championships
Aida Agüero;F;D;Raw;54;50-54;50-59;F3;68;75;;;;;;;;;;;;;;;190;190;1;195.32;192.90;170.14;;;Argentina;;FEPOA;GPC;2015-10-10;Argentina;;Villa Maria;Torneo Nacional de Banco y Despegue
Aida Agüero;F;B;Raw;54;50-54;50-59;F3;68;75;;;;;;;;;;130;;;;;;130;1;133.64;131.98;116.41;104.35;;Argentina;;FEPOA;GPC;2015-10-10;Argentina;;Villa Maria;Torneo Nacional de Banco y Despegue
Aida Agüero;F;B;Raw;53;50-54;50-59;M3;67.8;75;;;;;;125;135;140;;140;;;;;;140;1;144.17;142.43;125.64;112.52;;Argentina;;GPC;GPC;2015-09-13;USA;NV;Las Vegas;World Championships
Aida Agüero;F;SBD;Wraps;53;50-54;50-59;M3;68;75;-185;185;-195;;185;125;-135;135;-140;135;180;-190;;;180;500;1;514.01;507.63;447.74;104.44;;Argentina;;GPC;GPC;2015-09-13;USA;NV;Las Vegas;World Championships
Aida Agüero;F;D;Raw;54;50-54;50-59;M3;67.8;75;;;;;;;;;;;185;200;-205;;200;200;1;205.95;203.48;179.48;;;Argentina;;GPC;GPC;2015-09-13;USA;NV;Las Vegas;World Championships
Aida Agüero;F;SBD;Wraps;54;50-54;50-59;F3;68;75;-185;185;;;185;125;;;;125;185;;;;185;495;2;508.87;502.55;443.26;103.40;;Argentina;;FEPOA;GPC;2015-08-21;Argentina;;Cordoba;Torneo Nacional de Potencia
Aida Agüero;F;B;Raw;53;50-54;50-59;O;66.5;67.5;;;;;;-120;120;125;130;125;;;;;;125;1;130.17;128.96;113.79;101.40;;Argentina;;GPC;GPC;2014-09-30;Argentina;;Puerto Iguazú;World Championships
Aida Agüero;F;SBD;Wraps;53;50-54;50-59;O;66.2;67.5;180;-193;-193;;180;120;127.5;132.5;;132.5;180;190;-195;;190;502.5;1;524.68;520.13;458.97;106.62;;Argentina;;GPC;GPC;2014-09-30;Argentina;;Puerto Iguazú;World Championships
Aida Agüero;F;D;Raw;53;50-54;50-59;O;66.5;67.5;;;;;;;;;;;175.5;187.5;195;;195;195;1;203.07;201.18;177.51;;;Argentina;;GPC;GPC;2014-09-30;Argentina;;Puerto Iguazú;World Championships
Aida Agüero;F;SBD;Wraps;52;50-54;50-59;FO;67;67.5;170;185;-195;;185;125;-132.5;-132.5;;125;175;-185;-185;;175;485;1;502.87;497.66;439.06;102.18;;Argentina;;FEPOA;GPC;2014-07-19;Argentina;;Bariloche;Torneo Nacional de Banco y Despegue
Aida Agüero;F;D;Raw;52;50-54;50-59;FO;67;67.5;;;;;;;;;;;175;-185;-185;;175;175;1;181.45;179.57;158.42;;;Argentina;;FEPOA;GPC;2014-07-19;Argentina;;Bariloche;Torneo Nacional de Banco y Despegue
Aida Agüero;F;B;Raw;52;50-54;50-59;FO;64.9;67.5;;;;;;115;125;-130.5;;125;;;;;;125;1;132.06;131.29;115.88;102.65;;Argentina;;FEPOA;GPC;2014-05-10;Argentina;;;Torneo Nacional de Banco
Aida Agüero;F;B;Raw;52;50-54;50-59;O;66.4;67.5;;;;;;117.5;125;-130;;125;;;;;;125;1;130.29;129.10;113.92;101.47;;Argentina;;GPC;GPC;2013-11-17;Brazil;;Sao Paolo;South American Championships
Aida Agüero;F;SBD;Wraps;52;50-54;50-59;O;66.4;67.5;180;-190;-190;;180;120;-130;-130;;120;170;185;-195;;185;485;1;505.51;500.91;442.00;102.72;;Argentina;;GPC;GPC;2013-11-17;Brazil;;Sao Paolo;South American Championships
