Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aimee Romig;F;D;Raw;45;45-49;40-49;Masters 45-49;87.75;90;;;;;;;;;;;177.5;190;-192.5;;190;190;1;171.32;165.97;144.60;;;USA;AK;USPA;IPL;2021-12-18;USA;AK;Fairbanks;Alaska Winter Classic
Aimee Romig;F;SBD;Raw;45;45-49;40-49;Masters 45-49;87.75;90;137.5;147.5;155;;155;87.5;90;-92.5;;90;177.5;190;-192.5;;190;435;1;392.23;379.98;331.05;80.82;;USA;AK;USPA;IPL;2021-12-18;USA;AK;Fairbanks;Alaska Winter Classic
Aimee Romig;F;SBD;Raw;43;40-44;40-49;Masters 40-44;108.8;90+;125;135;145;;145;80;90;-92.5;;90;165;180;182.5;;182.5;417.5;1;345.43;340.26;289.75;72.94;;USA;AK;USPA;IPL;2019-12-14;USA;AK;Fairbanks;Top of the World Classic
Aimee Romig;F;SBD;Raw;43;40-44;40-49;Open;108.8;90+;125;135;145;;145;80;90;-92.5;;90;165;180;182.5;;182.5;417.5;1;345.43;340.26;289.75;72.94;;USA;AK;USPA;IPL;2019-12-14;USA;AK;Fairbanks;Top of the World Classic
Aimee Romig;F;SBD;Single-ply;40.5;40-44;40-49;F-O;102.7;84+;102.5;110;115;;115;57.5;62.5;-65;;62.5;125;-127.5;-127.5;;125;302.5;9;255.52;249.99;214.02;44.43;Yes;USA;AK;USAPL;IPF;2017-10-28;USA;AK;;Tundra Rumble
Aimee Romig;F;SBD;Raw;40.5;40-44;40-49;FR-M;96.4;84+;100;-107.5;112.5;;112.5;57.5;60;-62.5;;60;125;130;137.5;;137.5;310;1;268.43;261.08;225.28;55.86;Yes;USA;AK;USAPL;IPF;2017-04-22;USA;AK;;Alaska State Championship
Aimee Romig;F;SBD;Raw;40.5;40-44;40-49;FR-O;93.9;84+;95;97.5;100;;100;52.5;57.5;60;;60;115;122.5;130;;130;290;2;253.86;246.48;213.32;52.67;Yes;USA;AK;USAPL;IPF;2017-02-25;USA;AK;;3rd Frostbite Challenge
Aimee Romig;F;SBD;Raw;40.5;40-44;40-49;FR-M1a;93.9;84+;95;97.5;100;;100;52.5;57.5;60;;60;115;122.5;130;;130;290;1;253.86;246.48;213.32;52.67;Yes;USA;AK;USAPL;IPF;2017-02-25;USA;AK;;3rd Frostbite Challenge
Aimee Romig;F;SBD;Raw;39.5;35-39;40-49;FR-M1a;93.3;84+;70;77.5;85;;85;-47.5;47.5;-52.5;;47.5;97.5;107.5;-112.5;;107.5;240;3;210.66;204.46;177.08;43.68;Yes;USA;AK;USAPL;IPF;2016-04-30;USA;AK;;32nd Alaska State Championship
Aimee Romig;F;SBD;Single-ply;39.5;35-39;40-49;F-M1a;96;84+;45;52.5;62.5;;62.5;35;42.5;50;;50;82.5;87.5;-100;;87.5;200;1;173.47;168.67;145.62;29.99;Yes;USA;AK;USAPL;IPF;2016-02-20;USA;AK;;3rd Frostbite Challenge
