Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aislinn Curry;F;SBD;Raw;21.5;20-23;19-23;FR-Jr;56.6;57;110;117.5;122.5;;122.5;75;80;85;;85;125;132.5;137.5;;137.5;345;1;397.09;402.55;356.00;81.36;Yes;USA;RI;USAPL;IPF;2019-10-06;USA;MA;;Mass Barbell Open
Aislinn Curry;F;SBD;Raw;21.5;20-23;19-23;FR-O;56.6;57;110;117.5;122.5;;122.5;75;80;85;;85;125;132.5;137.5;;137.5;345;1;397.09;402.55;356.00;81.36;Yes;USA;RI;USAPL;IPF;2019-10-06;USA;MA;;Mass Barbell Open
Aislinn Curry;F;SBD;Single-ply;21.5;20-23;19-23;F-C;55.35;57;170;177.5;185;;185;-90;-90;-95;;;140;-152.5;155;;155;;DQ;;;;;Yes;USA;RI;USAPL;IPF;2019-04-12;USA;OH;Columbus;Collegiate Nationals
Aislinn Curry;F;SBD;Single-ply;21.5;20-23;19-23;F-Jr;56.12;57;160;167.5;-172.5;;167.5;-87.5;87.5;95;;95;140;147.5;152.5;;152.5;415;1;480.35;487.47;431.17;80.34;Yes;USA;RI;USAPL;IPF;2019-01-19;USA;CT;;Southern New England Open
Aislinn Curry;F;SBD;Raw;20.5;20-23;19-23;FR-Jr;55.56;57;105;112.5;115;;115;60;65;70;;70;112.5;117.5;125;;125;310;1;361.21;367.01;324.69;74.15;Yes;USA;RI;USAPL;IPF;2018-08-18;USA;CT;;Northeast Regionals
Aislinn Curry;F;SBD;Raw;20.5;20-23;19-23;FR-O;55.56;57;105;112.5;115;;115;60;65;70;;70;112.5;117.5;125;;125;310;3;361.21;367.01;324.69;74.15;Yes;USA;RI;USAPL;IPF;2018-08-18;USA;CT;;Northeast Regionals
Aislinn Curry;F;SBD;Single-ply;20.5;20-23;19-23;F-C;53.62;57;145;152.5;160;;160;-82.5;-82.5;-82.5;;;132.5;140;147.5;;147.5;;DQ;;;;;Yes;USA;RI;USAPL;IPF;2018-04-19;USA;TX;College Station;Collegiate Nationals
Aislinn Curry;F;SBD;Single-ply;19.5;20-23;19-23;F-Jr;53.7;57;-140;140;145;;145;80;-85;85;;85;122.5;130;-137.5;;130;360;1;429.20;437.71;387.58;71.73;Yes;USA;RI;USAPL;IPF;2017-08-19;USA;MA;;Northeast Regional Championships
Aislinn Curry;F;SBD;Single-ply;19.5;20-23;19-23;F-O;53.7;57;-140;140;145;;145;80;-85;85;;85;122.5;130;-137.5;;130;360;1;429.20;437.71;387.58;71.73;Yes;USA;RI;USAPL;IPF;2017-08-19;USA;MA;;Northeast Regional Championships
Aislinn Curry;F;SBD;Single-ply;19.5;20-23;19-23;F-C;55.6;57;125;132.5;-140;;132.5;72.5;-77.5;77.5;;77.5;115;125;132.5;;132.5;342.5;5;398.89;405.26;358.52;66.70;Yes;USA;RI;USAPL;IPF;2017-04-07;USA;TX;;Collegiate National Championship
Aislinn Curry;F;SBD;Raw;18.5;18-19;19-23;FR-O;56.4;57;95;100;-102.5;;100;-50;50;52.5;;52.5;95;102.5;105;;105;257.5;5;297.07;301.29;266.46;60.89;Yes;USA;RI;USAPL;IPF;2016-12-03;USA;RI;;New England Open
Aislinn Curry;F;SBD;Raw;18.5;18-19;19-23;FR-Jr;56.4;57;95;100;-102.5;;100;-50;50;52.5;;52.5;95;102.5;105;;105;257.5;1;297.07;301.29;266.46;60.89;Yes;USA;RI;USAPL;IPF;2016-12-03;USA;RI;;New England Open
Aislinn Curry;F;SBD;Raw;18.5;18-19;19-23;FR-C;59;63;97.5;102.5;-110;;102.5;42.5;-45;45;;45;110;-120;-120;;110;257.5;14;288.51;290.86;257.05;58.90;Yes;USA;RI;USAPL;IPF;2016-04-14;USA;RI;Providence;Collegiate Nationals
Aislinn Curry;F;SBD;Raw;18.5;18-19;19-23;FR-C;60;63;90;-97.5;97.5;;97.5;42.5;-47.5;-47.5;;42.5;92.5;105;115;;115;255;1;282.68;284.30;251.19;57.64;Yes;USA;;USAPL;IPF;2016-02-13;USA;NY;;Northeast Regional Championships
