Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aistė Motiečė;F;SBD;Raw;25.5;24-34;24-39;Open;57;57;70;80;87.5;;87.5;42.5;50;-52.5;;50;110;122.5;-127.5;;122.5;260;2;297.88;301.70;266.78;60.99;Yes;Lithuania;;LJTF;IPF;2022-06-04;Lithuania;;Jonava;Classic National Championship
Aistė Motiečė;F;B;Raw;25.5;24-34;24-39;Open;57;57;;;;;;40;45;47.5;;47.5;;;;;;47.5;2;54.42;55.12;48.74;42.24;Yes;Lithuania;;LJTF;IPF;2022-04-23;Lithuania;;Mažeikiai;Classic Bench Press National Championship
Aistė Motiečė;F;B;Single-ply;24.5;24-34;24-39;Open;56.9;57;;;;;;55;60;-65;;60;;;;;;60;2;68.82;69.72;61.65;38.79;Yes;Lithuania;;LJTF;IPF;2021-12-05;Lithuania;;Kuršėnai;Bench Press National Championship
Aistė Motiečė;F;SBD;Single-ply;24.5;24-34;24-39;F-O;56.9;57;105;115;-125;;115;55;60;-65;;60;115;130;-152.5;;130;305;1;349.84;354.41;313.39;58.53;Yes;Lithuania;;LJTF;IPF;2021-12-04;Lithuania;;Kuršėnai;National Championship
Aistė Motiečė;F;SBD;Raw;24.5;24-34;24-39;Open;51.45;52;82.5;-90;-90;;82.5;42.5;50;-55;;50;122.5;-132.5;-132.5;;122.5;255;2;313.13;320.51;284.22;64.98;Yes;Lithuania;;EPF;IPF;2021-08-26;France;;Merignac;European University Powerlifting Cup
Aistė Motiečė;F;SBD;Raw;24.5;24-34;24-39;Open;55.4;57;70;82.5;-90;;82.5;42.5;50;-52.5;;50;120;130;-135;;130;262.5;6;306.45;311.48;275.58;62.93;Yes;Lithuania;;IPF;IPF;2021-07-08;Lithuania;;Vilnius;World University Powerlifting Cup
Aistė Motiečė;F;SBD;Raw;24.5;24-34;24-39;Open;56.2;57;50;65;80;;80;40;50;-52.5;;50;90;120;-140;;120;250;2;289.10;293.33;259.44;59.27;Yes;Lithuania;;LJTF;IPF;2021-05-29;Lithuania;;Pravieniškės;Classic National Championship
Aistė Motiečė;F;SBD;Raw;23.5;24-34;24-39;FR-O;59.9;63;65;-75;75;;75;50;-55;-55;;50;90;110;117.5;;117.5;242.5;2;269.11;270.71;239.19;54.88;Yes;Lithuania;;LJTF;IPF;2020-10-17;Lithuania;;Kaunas;Students Classic Championship
Aistė Motiečė;F;B;Raw;23.5;24-34;24-39;FR-O;62.1;63;;;;;;50;-55;55;;55;;;;;;55;3;59.68;59.72;52.74;46.27;Yes;Lithuania;;LJTF;IPF;2020-10-03;Lithuania;;Rokiskis;National Classic Benchpress Championship
Aistė Motiečė;F;SBD;Raw;22.5;20-23;19-23;Open;62.7;63;100;105;110;;110;60;65;-67.5;;65;130;142.5;-157.5;;142.5;317.5;1;342.47;342.22;302.20;69.68;Yes;Lithuania;;LJTF;IPF;2019-05-16;Lithuania;;Kaunas;XXXV SELL Student Games
Aistė Motiečė;F;SBD;Raw;22.5;20-23;19-23;Junior;62.9;63;100;105;107.5;;107.5;62.5;67.5;-70;;67.5;130;-145;-158.5;;130;305;2;328.35;327.95;289.59;66.80;Yes;Lithuania;;LJTF;IPF;2019-04-06;Lithuania;;Siauliai;National Championship
Aistė Motiečė;F;SBD;Raw;22.5;20-23;19-23;Open;62.62;63;100;107.5;110;;110;62.5;70;-72.5;;70;130;140;150;;150;330;2;356.23;356.04;314.41;72.48;Yes;Lithuania;;EPF;IPF;2019-03-22;Belarus;;Oshmiany;European Classic Cup
Aistė Motiečė;F;SBD;Raw;21.5;20-23;19-23;Junior;62.6;63;90;100;-110;;100;55;-60;60;;60;115;120;125;;125;285;2;307.72;307.56;271.60;62.61;Yes;Lithuania;;LJTF;IPF;2018-10-27;Lithuania;;Joniskis;National Championship
