Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Aivaras Šimkaitis;M;SBD;Raw;30.5;24-34;24-39;Open;91.35;93;200;210;215;;215;135;145;150;;150;210;220;-225;;220;585;4;375.47;370.69;355.04;77.20;Yes;;;LJTF;IPF;2022-06-04;Lithuania;;Jonava;Classic National Championship
Aivaras Šimkaitis;M;B;Raw;30.5;24-34;24-39;Open;94.25;105;;;;;;140;147.5;150;;150;;;;;;150;6;94.83;93.64;89.58;70.70;Yes;;;LJTF;IPF;2022-04-23;Lithuania;;Mažeikiai;Classic Bench Press National Championship
Aivaras Šimkaitis;M;B;Single-ply;29.5;24-34;24-39;Open;91.65;93;;;;;;180;195;;;195;;;;;;195;3;124.95;123.36;118.14;65.06;Yes;;;LJTF;IPF;2021-12-05;Lithuania;;Kuršėnai;Bench Press National Championship
Aivaras Šimkaitis;M;SBD;Single-ply;29.5;24-34;24-39;M-O;91.65;93;200;215;-225;;215;180;195;-200;;195;200;220;235;;235;645;2;413.31;408.05;390.77;70.49;Yes;;;LJTF;IPF;2021-12-04;Lithuania;;Kuršėnai;National Championship
Aivaras Šimkaitis;M;B;Raw;29.5;24-34;24-39;Open;89.55;93;;;;;;135;142.5;145;;145;;;;;;145;7;93.99;92.80;88.96;70.09;Yes;;;LJTF;IPF;2021-07-24;Lithuania;;Rokiškis;Classic Bench Press National Championship
Aivaras Šimkaitis;M;SBD;Raw;28.5;24-34;24-39;MR-O;84.8;93;160;170;180;;180;120;127.5;130;;130;200;215;225;;225;535;7;356.90;352.68;338.92;73.26;Yes;;;LJTF;IPF;2020-09-12;Lithuania;;Vilnius;National Championship
Aivaras Šimkaitis;M;SBD;Single-ply;23.5;24-34;24-39;Open;81.3;83;200;-220;220;;220;140;150;155;;155;230;245;-250;;245;620;3;423.52;419.05;403.48;72.47;Yes;;;LJTF;IPF;2015-11-01;Lithuania;;Kaunas;National Cup
Aivaras Šimkaitis;M;SBD;Raw;23.5;24-34;24-39;Open;79.55;83;160;170;180;;180;105;110;115;;115;210;220;-225;;220;515;3;356.30;352.85;340.07;72.84;Yes;;;LJTF;IPF;2015-01-01;Lithuania;;Vilnius;National Championship
Aivaras Šimkaitis;M;SBD;Raw;22.5;20-23;19-23;Open;82.05;83;160;170;180;;180;105;107.5;117.5;;117.5;200;215;225;;225;522.5;5;355.04;351.18;337.99;72.75;Yes;;;LJTF;IPF;2014-10-25;Lithuania;;Prienai;National Championship
Aivaras Šimkaitis;M;SBD;Raw;20.5;20-23;19-23;Open;82.7;83;;;;;190;;;;;117.5;;;;;215;522.5;2;353.45;349.52;336.27;72.46;Yes;;;LJTF;IPF;2012-11-17;Lithuania;;Vilnius;Classic National Championship
Aivaras Šimkaitis;M;SBD;Single-ply;16.5;16-17;14-18;Junior;70.6;75;;;;;155;;;;;105;;;;;172.5;432.5;5;322.97;322.01;311.95;55.29;Yes;;;LJTF;IPF;2008-05-10;Lithuania;;Joniškis;National Junior Championship
