Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
AJ Foxx;M;SBD;Raw;24;24-34;24-39;MR-O;75.8;83;182.5;192.5;-197.5;;192.5;-117.5;122.5;-127.5;;122.5;182.5;192.5;202.5;;202.5;517.5;3;368.77;366.06;353.54;75.03;Yes;USA;MS;USAPL;IPF;2018-02-25;USA;TX;;Texas Strength Classic
AJ Foxx;M;SBD;Wraps;24;24-34;24-39;Amateur Open;74.75;75;;;;;207.5;;;;;120;;;;;210;537.49;2;386.43;383.89;370.98;78.50;Yes;USA;;RPS;;2017-12-09;USA;TX;Leander;Texas Merry Gainzmas
AJ Foxx;M;BD;Raw;24;24-34;24-39;Amateur Open;74.8;75;;;;;;;;;;130;;;;;210;340;1;244.34;242.72;234.55;;Yes;USA;;RPS;;2017-09-09;USA;TX;Leander;Texas Gainzsaw Massacre
AJ Foxx;M;SBD;Wraps;24;24-34;24-39;Open;73.57;75;;;;;197.5;;;;;127.5;;;;;205;530;1;384.99;382.82;370.20;78.04;;USA;TX;APA;WPA;2017-07-15;USA;TX;El Paso;Lone Star Raw Championships
AJ Foxx;M;SBD;Wraps;23;20-23;24-39;Amateur Open;74.84;75;;;;;200;;;;;125;;;;;207.5;532.49;1;382.54;380.00;367.20;77.72;Yes;USA;;RPS;;2017-05-06;USA;MS;Olive Branch;Resurrection
AJ Foxx;M;SBD;Wraps;23;20-23;24-39;Amateur Juniors 20-23;74.84;75;;;;;200;;;;;125;;;;;207.5;532.49;1;382.54;380.00;367.20;77.72;Yes;USA;;RPS;;2017-05-06;USA;MS;Olive Branch;Resurrection
AJ Foxx;M;SBD;Raw;23;20-23;19-23;Juniors 20-23;74.8;75;;;;;197.5;;;;;115;;;;;200;512.5;1;368.31;365.87;353.56;74.82;;USA;MS;USPA;IPL;2016-11-12;USA;MS;Southaven;Reload the Bar Powerlifting Championships
AJ Foxx;M;SBD;Raw;23;20-23;19-23;Open;74.8;75;;;;;197.5;;;;;115;;;;;200;512.5;1;368.31;365.87;353.56;74.82;;USA;MS;USPA;IPL;2016-11-12;USA;MS;Southaven;Reload the Bar Powerlifting Championships
AJ Foxx;M;SBD;Wraps;23;20-23;19-23;Amateur Juniors 20-23;74.7;75;;;;;195;;;;;122.5;;;;;197.5;515;1;370.42;368.00;355.63;75.24;Yes;USA;;RPS;;2016-10-15;USA;TX;Leander;Texas Gainzsaw Massacre
AJ Foxx;M;SBD;Wraps;23;20-23;19-23;Amateur Open;74.7;75;;;;;195;;;;;122.5;;;;;197.5;515;1;370.42;368.00;355.63;75.24;Yes;USA;;RPS;;2016-10-15;USA;TX;Leander;Texas Gainzsaw Massacre
AJ Foxx;M;SBD;Wraps;22;20-23;19-23;Open;74.98;75;;;;;185;;;;;122.5;;;;;185;492.5;2;353.39;351.00;339.16;71.81;;USA;MS;SPF;;2016-06-11;USA;TX;Austin;Austin Simply Fit Open
AJ Foxx;M;SBD;Wraps;22;20-23;19-23;Juniors;74.98;75;;;;;185;;;;;122.5;;;;;185;492.5;1;353.39;351.00;339.16;71.81;;USA;MS;SPF;;2016-06-11;USA;TX;Austin;Austin Simply Fit Open
AJ Foxx;M;SBD;Wraps;22;20-23;19-23;Military Amateur Open;74.35;75;;;;;170;;;;;120;;;;;182.5;472.5;1;340.88;338.74;327.43;69.20;Yes;USA;;RPS;;2016-03-26;USA;TX;Leander;Texas Max Madness
