Name;Sex;Event;Equipment;Age;AgeClass;BirthYearClass;Division;BodyweightKg;WeightClassKg;Squat1Kg;Squat2Kg;Squat3Kg;Squat4Kg;Best3SquatKg;Bench1Kg;Bench2Kg;Bench3Kg;Bench4Kg;Best3BenchKg;Deadlift1Kg;Deadlift2Kg;Deadlift3Kg;Deadlift4Kg;Best3DeadliftKg;TotalKg;Place;Dots;Wilks;Glossbrenner;Goodlift;Tested;Country;State;Federation;ParentFederation;Date;MeetCountry;MeetState;MeetTown;MeetName
Akane Ishibashi;F;B;Single-ply;28.5;24-34;24-39;Open;55.42;57;;;;;;125;130;-135;;130;;;;;;130;1;151.73;154.21;136.44;85.69;Yes;Japan;;IPF;IPF;2022-05-21;Kazakhstan;;Almaty;World Bench Press Championships
Akane Ishibashi;F;B;Raw;28.5;24-34;24-39;Open;55.3;57;;;;;;-107.5;107.5;-122.5;;107.5;;;;;;107.5;2;125.65;127.74;113.02;97.78;Yes;Japan;;IPF;IPF;2022-05-21;Kazakhstan;;Almaty;World Bench Press Championships
Akane Ishibashi;F;B;Single-ply;28.5;24-34;24-39;Open;55.65;57;;;;;;130;-141;-150;;130;;;;;;130;1;151.31;153.71;135.98;85.42;Yes;Japan;;JPA;IPF;2022-02-12;Japan;;Tsukuba;All Japan Bench Press Championships
Akane Ishibashi;F;B;Single-ply;26.5;24-34;24-39;Open;54.7;57;;;;;;120;130;-140.5;;130;;;;;;130;1;153.07;155.80;137.89;86.54;Yes;Japan;;JPA;IPF;2020-11-21;Japan;;Nakama;All Japan Bench Press Championships
Akane Ishibashi;F;B;Raw;26.5;24-34;24-39;Open;55.3;57;;;;;;-92.5;92.5;-125;;92.5;;;;;;92.5;1;108.12;109.91;97.25;84.14;Yes;Japan;;JPA;IPF;2020-10-31;Japan;;Tokushima;Japanese Classic Bench Press Championships
Akane Ishibashi;F;B;Raw;26.5;24-34;24-39;Open;55.75;57;;;;;;100;-121.5;123.5;;123.5;;;;;;123.5;1;143.58;145.82;129.00;111.64;Yes;Japan;;JPA;IPF;2020-01-25;Japan;;Tsu-shi;Japanese Classic Bench Press Championships
Akane Ishibashi;F;B;Single-ply;25.5;24-34;24-39;Open;55.4;57;;;;;;130;140;-166.5;;140;;;;;;140;1;163.44;166.12;146.98;92.30;Yes;Japan;;JPA;IPF;2019-10-26;Japan;;Odawara;Japanese Bench Press Championships
Akane Ishibashi;F;B;Raw;25.5;24-34;24-39;Open;55.2;57;;;;;;107.5;116;120;;120;;;;;;120;3;140.43;142.79;126.35;109.30;Yes;Japan;;IPF;IPF;2019-05-18;Japan;;Tokyo;World Bench Press Championships
Akane Ishibashi;F;B;Single-ply;25.5;24-34;24-39;Open;54.9;57;;;;;;120;125;135;;135;;;;;;135;1;158.56;161.33;142.77;89.62;Yes;Japan;;IPF;IPF;2019-05-18;Japan;;Tokyo;World Bench Press Championships
Akane Ishibashi;F;B;Raw;25.5;24-34;24-39;Open;57.1;63;;;;;;97.5;105.5;-110;;105.5;;;;;;105.5;1;120.73;122.25;108.10;93.71;Yes;Japan;;JPA;IPF;2019-01-19;Japan;;Sakai;Japanese Classic Bench Press Championships
